,0,1,7,
0,0,0,0,
1,2163.076015,30,57,56
2,2167.301905,30,57,56
3,2168.910845,30,57,56
4,2169.954325,30,57,56
5,2171.936107,30,57,56
6,2173.898775,30,57,56
7,2174.824473,30,58,57
8,2175.851525,30,57,56
9,2176.850083,30,57,56
10,2177.863536,32,57,56
11,2178.928669,32,58,57
12,2180.8147,32,57,56
13,2181.854153,32,58,57
14,2183.058199,32,57,56
15,2184.921115,32,57,56
16,2185.864824,32,57,56
17,2186.820845,32,57,56
18,2187.825744,32,56,55
19,2188.788465,32,57,56
20,2189.747704,34,57,56
21,2190.870113,34,57,56
22,2191.95967,34,57,56
23,2193.926518,34,57,56
24,2195.927272,34,56,55
25,2197.887143,34,56,55
26,2198.756396,34,57,56
27,2199.671471,34,57,56
28,2200.790048,34,58,57
29,2201.833946,34,57,56
30,2202.857174,36,57,56
31,2203.966405,36,57,56
32,2205.889292,36,57,56
33,2206.826155,36,57,56
34,2207.769885,36,57,56
35,2208.891882,36,57,56
36,2209.91919,36,57,56
37,2210.841327,36,57,56
38,2211.864513,36,57,56
39,2212.950822,36,57,56
40,2214.853618,38,57,56
41,2215.8559,38,57,56
42,2216.960383,38,58,57
43,2218.895485,38,56,55
44,2219.84815,38,57,56
45,2220.765751,38,57,56
46,2221.872252,38,58,57
47,2222.765046,38,57,56
48,2223.921686,38,58,57
49,2224.855343,38,57,56
50,2225.806139,40,57,56
51,2226.930181,40,57,56
52,2228.861715,40,57,56
53,2229.797797,40,58,57
54,2230.912235,40,57,56
55,2231.868033,40,57,56
56,2232.905372,40,57,56
57,2233.78363,40,57,56
58,2234.813347,40,57,56
59,2235.850885,40,57,56
60,2236.850567,42,57,56
61,2237.779073,42,57,56
62,2238.74424,42,57,56
63,2239.802627,42,57,56
64,2240.839671,42,57,56
65,2241.813173,42,57,56
66,2243.0955,42,57,56
67,2244.958924,42,57,56
68,2246.927174,42,57,56
69,2248.764668,42,57,56
70,2249.845923,44,57,56
71,2250.73354,44,57,56
72,2251.804554,44,57,56
73,2252.769323,44,57,56
74,2253.910364,44,57,56
75,2254.86917,44,57,56
76,2255.786714,44,57,56
77,2257.032913,44,57,56
78,2258.757635,44,57,56
79,2259.731245,44,57,56
80,2260.768166,46,57,56
81,2261.767144,46,57,56
82,2262.662053,46,57,56
83,2263.744509,46,57,56
84,2264.713099,46,57,56
85,2265.625303,46,57,56
86,2266.908185,46,58,57
87,2267.884428,46,56,55
88,2268.929517,46,57,56
89,2270.897862,46,58,57
90,2271.859125,48,58,57
91,2272.943403,48,57,56
92,2274.813537,48,57,56
93,2275.903083,48,57,56
94,2276.814119,48,57,56
95,2277.850049,48,57,56
96,2278.753472,48,57,56
97,2279.775689,48,57,56
98,2280.806481,48,57,56
99,2281.932083,48,57,56
100,2283.927165,50,57,56
101,2285.766579,50,58,57
102,2286.840603,50,58,57
103,2288.010399,50,58,57
104,2289.952135,50,57,56
105,2291.890176,50,57,56
106,2292.851511,50,58,57
107,2293.793267,50,58,57
108,2294.98381,50,58,57
