,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,494.109834,229.0,168.0,75.0,76.0,76.0,78.0,78.0,76.0,78.0,77.0,75.0,73.0
2,494.228105,229.0,168.0,76.0,76.0,77.0,79.0,79.0,77.0,79.0,78.0,76.0,74.0
3,494.353011,229.0,168.0,76.0,76.0,76.0,79.0,79.0,77.0,79.0,79.0,77.0,73.0
4,494.478173,229.0,168.0,76.0,77.0,77.0,79.0,79.0,76.0,78.0,77.0,75.0,73.0
5,494.603084,229.0,168.0,77.0,77.0,77.0,79.0,79.0,77.0,79.0,77.0,76.0,73.0
6,494.730241,229.0,168.0,76.0,76.0,77.0,78.0,79.0,76.0,78.0,77.0,75.0,73.0
7,494.853098,230.0,168.0,76.0,76.0,76.0,78.0,78.0,76.0,78.0,77.0,75.0,73.0
8,494.983313,229.0,168.0,75.0,76.0,76.0,78.0,78.0,76.0,79.0,77.0,75.0,73.0
9,495.103044,230.0,168.0,76.0,76.0,76.0,78.0,78.0,76.0,78.0,77.0,75.0,73.0
10,495.228023,229.0,168.0,75.0,76.0,76.0,78.0,78.0,77.0,78.0,77.0,76.0,73.0
11,495.353059,230.0,168.0,76.0,76.0,76.0,79.0,79.0,77.0,79.0,77.0,75.0,73.0
12,495.478141,228.0,163.0,79.0,76.0,77.0,79.0,79.0,77.0,78.0,77.0,76.0,73.0
13,495.603191,228.0,164.0,75.0,77.0,77.0,79.0,79.0,77.0,79.0,77.0,76.0,73.0
14,495.728137,229.0,161.0,82.0,78.0,77.0,79.0,79.0,77.0,79.0,78.0,76.0,73.0
15,495.853079,229.0,162.0,82.0,78.0,77.0,79.0,79.0,77.0,79.0,78.0,76.0,73.0
16,495.978429,229.0,161.0,81.0,77.0,77.0,79.0,79.0,77.0,78.0,77.0,75.0,73.0
17,496.103137,231.0,162.0,81.0,79.0,77.0,78.0,79.0,77.0,78.0,77.0,76.0,73.0
18,496.228087,231.0,163.0,85.0,85.0,78.0,79.0,79.0,77.0,78.0,77.0,76.0,73.0
