,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2193.401587,241.0,119.0,66.0,66.0,67.0,67.0,66.0,66.0,67.0,65.0,66.0,65.0
2,2194.137011,241.0,118.0,65.0,66.0,66.0,67.0,66.0,66.0,67.0,65.0,66.0,65.0
3,2195.136951,241.0,119.0,65.0,66.0,66.0,66.0,66.0,65.0,67.0,65.0,65.0,65.0
4,2196.137654,241.0,119.0,65.0,66.0,66.0,66.0,67.0,65.0,67.0,65.0,65.0,65.0
5,2197.137683,241.0,119.0,65.0,66.0,66.0,66.0,66.0,65.0,67.0,65.0,65.0,65.0
6,2198.137054,241.0,119.0,66.0,66.0,66.0,67.0,66.0,66.0,67.0,65.0,66.0,65.0
7,2199.138579,241.0,118.0,66.0,67.0,66.0,67.0,67.0,65.0,67.0,66.0,66.0,65.0
8,2200.137563,242.0,119.0,66.0,67.0,66.0,67.0,67.0,66.0,67.0,65.0,66.0,65.0
9,2201.137664,242.0,118.0,66.0,67.0,67.0,67.0,66.0,66.0,67.0,65.0,66.0,65.0
10,2202.137755,241.0,119.0,65.0,66.0,66.0,67.0,66.0,66.0,67.0,65.0,66.0,65.0
11,2203.137403,241.0,119.0,66.0,67.0,67.0,67.0,67.0,66.0,67.0,65.0,66.0,66.0
12,2204.137063,241.0,119.0,66.0,67.0,67.0,67.0,66.0,66.0,68.0,66.0,66.0,66.0
13,2205.137469,241.0,119.0,66.0,67.0,67.0,67.0,66.0,66.0,67.0,65.0,66.0,66.0
14,2206.137933,241.0,119.0,66.0,67.0,67.0,68.0,67.0,66.0,68.0,66.0,67.0,66.0
15,2207.137922,241.0,119.0,66.0,67.0,67.0,67.0,67.0,66.0,67.0,65.0,66.0,66.0
16,2208.13771,241.0,119.0,66.0,66.0,66.0,67.0,66.0,66.0,67.0,65.0,66.0,65.0
17,2209.13776,241.0,119.0,66.0,66.0,66.0,67.0,66.0,66.0,67.0,65.0,66.0,65.0
18,2210.138351,241.0,119.0,66.0,66.0,66.0,67.0,66.0,66.0,67.0,65.0,65.0,65.0
19,2211.137777,242.0,119.0,66.0,67.0,67.0,67.0,67.0,66.0,68.0,66.0,66.0,66.0
20,2212.13775,241.0,118.0,65.0,67.0,66.0,67.0,66.0,66.0,67.0,65.0,65.0,65.0
21,2213.13758,241.0,119.0,66.0,67.0,67.0,68.0,67.0,66.0,68.0,66.0,67.0,66.0
22,2214.15132,241.0,119.0,66.0,67.0,67.0,68.0,67.0,67.0,68.0,66.0,67.0,67.0
23,2215.137582,241.0,118.0,65.0,67.0,66.0,67.0,66.0,66.0,68.0,66.0,66.0,66.0
24,2216.140642,241.0,119.0,66.0,67.0,67.0,68.0,67.0,67.0,68.0,66.0,67.0,66.0
25,2217.137404,241.0,118.0,66.0,66.0,66.0,67.0,66.0,66.0,67.0,65.0,66.0,66.0
26,2218.138989,242.0,118.0,67.0,67.0,67.0,68.0,67.0,66.0,68.0,66.0,66.0,66.0
27,2219.138285,241.0,119.0,66.0,67.0,67.0,68.0,67.0,67.0,68.0,66.0,66.0,66.0
28,2220.137478,241.0,119.0,65.0,66.0,66.0,67.0,66.0,66.0,67.0,65.0,66.0,65.0
29,2221.137456,241.0,119.0,66.0,66.0,66.0,67.0,66.0,66.0,67.0,65.0,66.0,66.0
30,2222.137966,241.0,118.0,66.0,67.0,66.0,67.0,67.0,66.0,67.0,65.0,66.0,65.0
31,2223.137204,242.0,119.0,66.0,67.0,67.0,67.0,67.0,66.0,68.0,66.0,66.0,67.0
32,2224.137654,241.0,118.0,67.0,68.0,67.0,68.0,67.0,67.0,68.0,66.0,67.0,66.0
33,2225.162324,242.0,118.0,67.0,68.0,67.0,68.0,67.0,67.0,68.0,66.0,67.0,67.0
34,2226.137882,242.0,118.0,67.0,67.0,67.0,68.0,68.0,67.0,68.0,66.0,67.0,67.0
35,2227.144004,242.0,119.0,67.0,67.0,67.0,68.0,67.0,67.0,68.0,66.0,67.0,66.0
36,2228.138567,241.0,118.0,67.0,68.0,67.0,68.0,67.0,67.0,68.0,66.0,67.0,66.0
37,2229.156285,242.0,118.0,67.0,68.0,67.0,68.0,68.0,67.0,69.0,67.0,67.0,67.0
38,2230.139472,241.0,118.0,66.0,67.0,67.0,67.0,67.0,66.0,67.0,66.0,67.0,66.0
39,2231.138184,241.0,118.0,67.0,67.0,67.0,68.0,67.0,67.0,68.0,68.0,67.0,67.0
40,2232.147514,242.0,118.0,67.0,68.0,67.0,68.0,67.0,67.0,68.0,67.0,67.0,67.0
41,2233.138253,241.0,118.0,66.0,67.0,67.0,67.0,66.0,66.0,67.0,65.0,66.0,66.0
42,2234.13703,241.0,118.0,66.0,66.0,66.0,67.0,66.0,66.0,67.0,65.0,66.0,66.0
43,2235.137874,242.0,118.0,66.0,66.0,66.0,66.0,66.0,66.0,67.0,65.0,66.0,65.0
44,2236.13787,241.0,119.0,66.0,66.0,66.0,67.0,66.0,66.0,67.0,65.0,66.0,65.0
45,2237.138124,241.0,119.0,66.0,67.0,67.0,67.0,67.0,66.0,67.0,66.0,67.0,66.0
46,2238.137435,241.0,119.0,67.0,67.0,67.0,68.0,67.0,67.0,68.0,66.0,66.0,66.0
47,2239.137751,242.0,118.0,67.0,67.0,67.0,68.0,67.0,67.0,68.0,66.0,67.0,67.0
48,2240.138159,242.0,119.0,67.0,67.0,67.0,68.0,67.0,67.0,68.0,66.0,67.0,66.0
49,2241.137125,241.0,119.0,67.0,67.0,67.0,68.0,67.0,67.0,68.0,66.0,67.0,67.0
50,2242.137727,241.0,118.0,66.0,67.0,67.0,67.0,67.0,66.0,67.0,66.0,66.0,66.0
51,2243.137074,241.0,119.0,66.0,67.0,67.0,67.0,67.0,66.0,67.0,66.0,66.0,66.0
52,2244.137828,241.0,119.0,66.0,67.0,67.0,67.0,67.0,66.0,67.0,66.0,66.0,66.0
53,2245.136815,241.0,119.0,67.0,68.0,68.0,69.0,68.0,67.0,69.0,67.0,67.0,67.0
54,2246.138948,241.0,119.0,67.0,67.0,67.0,68.0,67.0,67.0,68.0,66.0,67.0,67.0
55,2247.137712,241.0,119.0,66.0,67.0,67.0,67.0,67.0,66.0,67.0,66.0,66.0,66.0
56,2248.137411,241.0,119.0,67.0,67.0,67.0,68.0,68.0,67.0,69.0,67.0,67.0,66.0
57,2249.137893,241.0,119.0,66.0,67.0,67.0,68.0,67.0,67.0,68.0,67.0,67.0,66.0
58,2250.137425,241.0,120.0,67.0,67.0,66.0,67.0,67.0,66.0,67.0,66.0,66.0,66.0
59,2251.155044,242.0,120.0,67.0,67.0,67.0,68.0,68.0,67.0,68.0,67.0,67.0,66.0
60,2252.137277,242.0,121.0,67.0,67.0,67.0,68.0,67.0,67.0,68.0,67.0,67.0,66.0
61,2253.137081,241.0,122.0,67.0,67.0,67.0,68.0,68.0,67.0,68.0,67.0,67.0,67.0
62,2254.137726,240.0,123.0,67.0,67.0,67.0,68.0,68.0,67.0,68.0,67.0,67.0,66.0
63,2255.137054,241.0,124.0,67.0,67.0,68.0,68.0,68.0,67.0,68.0,67.0,67.0,66.0
64,2256.137711,237.0,123.0,67.0,67.0,67.0,68.0,68.0,67.0,68.0,67.0,67.0,66.0
65,2257.137719,240.0,124.0,67.0,67.0,67.0,68.0,68.0,67.0,68.0,67.0,67.0,66.0
66,2258.137192,241.0,125.0,67.0,68.0,67.0,68.0,68.0,67.0,68.0,67.0,67.0,66.0
67,2259.136335,241.0,125.0,67.0,68.0,68.0,68.0,69.0,67.0,68.0,68.0,67.0,67.0
68,2260.1381,241.0,125.0,67.0,67.0,67.0,68.0,68.0,67.0,68.0,67.0,67.0,66.0
69,2261.136937,241.0,125.0,67.0,67.0,67.0,68.0,68.0,67.0,68.0,67.0,67.0,66.0
70,2262.137213,240.0,125.0,68.0,68.0,68.0,69.0,68.0,68.0,69.0,68.0,67.0,67.0
71,2263.146222,239.0,126.0,68.0,68.0,68.0,69.0,69.0,68.0,69.0,68.0,67.0,67.0
72,2264.13709,240.0,128.0,68.0,68.0,67.0,69.0,69.0,67.0,68.0,68.0,67.0,66.0
73,2265.137315,239.0,128.0,68.0,68.0,68.0,69.0,69.0,68.0,69.0,68.0,68.0,67.0
74,2266.145892,239.0,129.0,67.0,68.0,67.0,68.0,69.0,67.0,68.0,68.0,67.0,67.0
75,2267.138623,239.0,130.0,68.0,68.0,67.0,68.0,68.0,67.0,68.0,68.0,67.0,66.0
76,2268.137658,240.0,131.0,68.0,68.0,68.0,69.0,69.0,68.0,69.0,68.0,68.0,67.0
77,2269.137439,240.0,131.0,69.0,69.0,69.0,69.0,70.0,69.0,69.0,69.0,68.0,67.0
78,2270.138094,240.0,131.0,69.0,69.0,68.0,69.0,70.0,68.0,69.0,69.0,68.0,67.0
79,2271.137886,240.0,132.0,68.0,68.0,68.0,69.0,69.0,68.0,69.0,68.0,67.0,67.0
80,2272.137232,239.0,132.0,68.0,68.0,68.0,69.0,69.0,68.0,69.0,68.0,68.0,67.0
81,2273.137176,239.0,135.0,68.0,68.0,68.0,69.0,70.0,68.0,69.0,68.0,68.0,67.0
82,2274.13733,238.0,137.0,68.0,68.0,68.0,70.0,70.0,68.0,69.0,69.0,68.0,67.0
83,2275.137874,238.0,139.0,68.0,68.0,68.0,70.0,70.0,69.0,70.0,68.0,67.0,67.0
84,2276.137934,239.0,139.0,68.0,68.0,68.0,69.0,70.0,68.0,69.0,69.0,67.0,67.0
85,2277.137302,238.0,139.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,68.0,67.0,67.0
86,2278.13704,237.0,139.0,68.0,68.0,68.0,69.0,70.0,68.0,69.0,69.0,68.0,67.0
87,2279.137523,238.0,140.0,68.0,69.0,68.0,70.0,70.0,69.0,70.0,69.0,68.0,67.0
88,2280.137759,237.0,140.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,68.0,67.0,67.0
89,2281.137601,237.0,140.0,68.0,68.0,68.0,69.0,70.0,69.0,70.0,69.0,68.0,67.0
90,2282.137689,237.0,140.0,68.0,68.0,67.0,69.0,69.0,68.0,69.0,68.0,67.0,67.0
91,2283.137344,237.0,140.0,68.0,69.0,68.0,70.0,70.0,68.0,70.0,70.0,68.0,67.0
92,2284.13781,237.0,141.0,68.0,68.0,69.0,70.0,70.0,69.0,70.0,70.0,68.0,67.0
93,2285.137832,237.0,143.0,69.0,69.0,68.0,69.0,70.0,69.0,70.0,69.0,68.0,67.0
94,2286.137089,237.0,143.0,69.0,68.0,68.0,70.0,70.0,68.0,69.0,69.0,68.0,67.0
95,2287.137137,237.0,143.0,69.0,69.0,68.0,70.0,70.0,69.0,70.0,69.0,68.0,67.0
96,2288.137065,237.0,143.0,69.0,69.0,68.0,70.0,70.0,69.0,70.0,69.0,68.0,67.0
97,2289.137802,237.0,144.0,69.0,69.0,68.0,70.0,70.0,69.0,70.0,69.0,68.0,67.0
98,2290.137053,236.0,144.0,69.0,69.0,69.0,70.0,70.0,69.0,70.0,70.0,69.0,68.0
99,2291.138238,237.0,144.0,69.0,69.0,69.0,71.0,71.0,70.0,71.0,70.0,69.0,67.0
100,2292.13782,237.0,145.0,69.0,69.0,69.0,70.0,70.0,69.0,70.0,69.0,69.0,67.0
101,2293.137365,237.0,146.0,70.0,69.0,69.0,71.0,71.0,70.0,71.0,70.0,69.0,68.0
102,2294.137084,237.0,148.0,69.0,69.0,69.0,71.0,71.0,69.0,71.0,69.0,68.0,67.0
103,2295.137432,237.0,148.0,70.0,70.0,69.0,71.0,71.0,70.0,71.0,71.0,69.0,68.0
104,2296.137777,235.0,149.0,69.0,69.0,69.0,71.0,71.0,69.0,71.0,69.0,69.0,67.0
105,2297.137362,236.0,149.0,69.0,69.0,69.0,70.0,71.0,69.0,71.0,70.0,69.0,67.0
106,2298.14188,236.0,150.0,70.0,69.0,69.0,71.0,71.0,70.0,71.0,70.0,69.0,67.0
107,2299.137216,235.0,150.0,69.0,70.0,69.0,71.0,71.0,70.0,71.0,70.0,68.0,67.0
108,2300.137859,235.0,150.0,70.0,70.0,69.0,71.0,71.0,70.0,71.0,71.0,69.0,68.0
109,2301.138066,235.0,153.0,70.0,70.0,69.0,71.0,71.0,70.0,71.0,71.0,69.0,68.0
110,2302.13775,235.0,150.0,70.0,70.0,69.0,71.0,71.0,70.0,71.0,71.0,69.0,68.0
