,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1529.153798,30.0,231.0,153.0,72.0,73.0,73.0,76.0,75.0,74.0,76.0,74.0,72.0,70.0
2,1529.716846,30.0,231.0,147.0,73.0,73.0,73.0,74.0,74.0,73.0,73.0,74.0,73.0,71.0
3,1530.716792,30.0,231.0,149.0,71.0,72.0,72.0,73.0,73.0,71.0,73.0,73.0,71.0,69.0
4,1531.716836,30.0,236.0,149.0,72.0,73.0,72.0,73.0,73.0,72.0,73.0,73.0,71.0,69.0
5,1532.716866,30.0,231.0,149.0,72.0,73.0,72.0,73.0,73.0,72.0,73.0,73.0,72.0,70.0
6,1533.716819,30.0,231.0,149.0,71.0,73.0,72.0,73.0,73.0,73.0,73.0,73.0,72.0,70.0
7,1534.716766,30.0,231.0,150.0,72.0,72.0,72.0,73.0,73.0,71.0,73.0,73.0,71.0,69.0
8,1535.716998,30.0,231.0,150.0,72.0,73.0,73.0,73.0,74.0,72.0,73.0,73.0,72.0,70.0
9,1536.716892,30.0,231.0,150.0,72.0,73.0,73.0,73.0,73.0,72.0,73.0,73.0,72.0,70.0
10,1537.717085,37.0,231.0,151.0,73.0,73.0,73.0,73.0,74.0,72.0,74.0,74.0,72.0,70.0
11,1538.717163,37.0,231.0,152.0,73.0,74.0,74.0,75.0,75.0,73.0,75.0,74.0,73.0,71.0
12,1539.718451,37.0,231.0,153.0,72.0,73.0,73.0,75.0,75.0,73.0,74.0,73.0,72.0,70.0
13,1540.717181,37.0,230.0,153.0,73.0,73.0,74.0,75.0,75.0,73.0,75.0,74.0,73.0,71.0
14,1541.717885,37.0,230.0,154.0,73.0,74.0,74.0,75.0,75.0,74.0,75.0,74.0,73.0,71.0
15,1542.716852,37.0,230.0,155.0,72.0,73.0,73.0,74.0,74.0,73.0,75.0,73.0,72.0,70.0
16,1543.715985,37.0,231.0,154.0,72.0,73.0,73.0,74.0,74.0,73.0,74.0,73.0,72.0,70.0
17,1544.716754,37.0,230.0,155.0,72.0,73.0,73.0,74.0,75.0,73.0,74.0,73.0,72.0,70.0
18,1545.716747,37.0,231.0,155.0,72.0,73.0,73.0,74.0,75.0,73.0,74.0,73.0,72.0,70.0
19,1546.716759,37.0,231.0,155.0,72.0,73.0,73.0,74.0,74.0,73.0,74.0,73.0,72.0,70.0
20,1547.718028,40.0,229.0,155.0,74.0,74.0,74.0,75.0,76.0,74.0,76.0,74.0,73.0,71.0
21,1548.721017,40.0,231.0,155.0,73.0,74.0,74.0,76.0,76.0,74.0,75.0,75.0,73.0,71.0
22,1549.716734,40.0,230.0,155.0,73.0,73.0,73.0,75.0,75.0,74.0,75.0,74.0,73.0,70.0
23,1550.716719,40.0,231.0,156.0,73.0,73.0,73.0,75.0,75.0,73.0,75.0,74.0,73.0,70.0
24,1551.715978,40.0,231.0,156.0,73.0,73.0,73.0,75.0,75.0,73.0,75.0,74.0,73.0,70.0
25,1552.71678,40.0,230.0,156.0,73.0,73.0,73.0,75.0,75.0,74.0,75.0,74.0,73.0,70.0
26,1553.716764,40.0,231.0,157.0,73.0,74.0,73.0,75.0,75.0,74.0,75.0,74.0,72.0,70.0
27,1554.717234,40.0,231.0,157.0,74.0,74.0,74.0,75.0,76.0,74.0,75.0,75.0,73.0,71.0
28,1555.71673,40.0,229.0,158.0,73.0,73.0,73.0,75.0,75.0,74.0,75.0,74.0,73.0,71.0
29,1556.716729,40.0,231.0,157.0,73.0,74.0,74.0,75.0,75.0,74.0,75.0,75.0,74.0,71.0
30,1557.716641,42.0,230.0,158.0,73.0,73.0,73.0,75.0,76.0,73.0,75.0,74.0,73.0,70.0
31,1558.716755,42.0,231.0,157.0,73.0,74.0,73.0,75.0,75.0,74.0,75.0,74.0,73.0,70.0
32,1559.716891,42.0,231.0,158.0,73.0,75.0,74.0,76.0,76.0,74.0,75.0,75.0,73.0,71.0
33,1560.71694,42.0,230.0,159.0,74.0,75.0,74.0,76.0,76.0,75.0,76.0,75.0,74.0,71.0
34,1561.716764,42.0,230.0,159.0,75.0,75.0,75.0,76.0,77.0,75.0,77.0,75.0,73.0,71.0
35,1562.716059,42.0,231.0,160.0,73.0,73.0,73.0,75.0,76.0,74.0,75.0,74.0,73.0,71.0
36,1563.716125,42.0,231.0,159.0,75.0,75.0,75.0,77.0,77.0,75.0,77.0,76.0,74.0,71.0
37,1564.718044,42.0,229.0,160.0,74.0,74.0,74.0,76.0,76.0,74.0,75.0,75.0,73.0,71.0
38,1565.716901,42.0,229.0,160.0,74.0,75.0,74.0,76.0,76.0,74.0,76.0,75.0,73.0,71.0
39,1566.716894,42.0,230.0,160.0,74.0,74.0,74.0,76.0,76.0,74.0,76.0,75.0,73.0,71.0
40,1567.717421,45.0,230.0,161.0,74.0,75.0,74.0,77.0,76.0,75.0,76.0,75.0,74.0,71.0
