,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2147.544544,30,244,112,57,58,58,58,58,57,58,57,57,57
2,2151.624523,30,244,113,55,57,57,57,57,56,57,55,56,56
3,2153.505472,30,243,112,56,56,56,57,57,55,57,55,56,56
4,2154.418054,30,244,113,56,56,56,57,56,56,57,55,56,55
5,2155.344336,30,244,113,56,56,56,56,56,55,57,55,56,55
6,2156.350126,30,243,113,56,56,56,57,56,56,57,55,56,56
7,2157.243739,30,244,113,56,56,57,57,57,56,57,55,56,56
8,2158.3711,30,244,112,56,56,56,57,56,56,57,55,56,55
9,2159.362917,30,244,113,56,56,56,57,56,56,57,55,56,56
10,2160.371724,32,244,113,56,57,56,57,56,56,57,55,56,56
11,2161.356672,32,244,112,56,56,56,57,57,55,57,55,55,55
12,2162.308976,32,243,113,56,56,56,56,56,55,56,55,56,55
13,2163.235441,32,244,113,55,56,56,56,56,55,56,55,55,55
14,2164.256403,32,244,113,55,56,56,56,56,55,56,55,55,55
15,2165.312851,32,244,112,55,56,56,57,56,55,56,55,55,55
16,2166.232317,32,244,113,56,56,56,57,56,56,57,55,55,55
17,2167.272038,32,243,113,56,56,56,57,56,55,57,55,55,55
18,2168.401876,32,244,113,56,57,56,57,56,55,57,55,55,56
19,2169.265876,32,243,112,55,56,56,57,56,55,57,55,56,55
20,2170.252783,34,244,113,56,56,56,57,57,56,57,55,55,55
21,2171.174089,34,243,113,56,56,56,56,56,55,57,55,55,55
22,2172.254807,34,244,112,56,56,56,56,56,55,57,55,56,55
23,2173.248766,34,244,113,55,56,56,56,56,55,56,55,55,55
24,2174.184655,34,244,113,55,56,56,56,56,55,57,55,56,55
25,2175.289814,34,241,113,56,56,56,56,56,55,57,55,55,55
26,2176.29105,34,243,114,55,56,56,57,56,55,57,55,56,55
27,2177.317826,34,243,113,55,56,56,56,56,55,56,55,55,55
28,2178.268217,34,244,113,55,56,56,56,56,55,57,55,55,55
29,2179.253098,34,244,113,55,56,56,56,56,55,56,54,55,55
30,2180.250399,36,244,113,55,56,56,56,56,55,56,55,55,55
31,2181.155688,36,244,113,55,56,56,56,56,55,56,55,55,55
32,2182.288519,36,243,113,55,56,55,56,56,55,56,55,55,55
33,2183.341725,36,244,112,56,56,56,57,57,56,57,55,56,56
34,2184.106152,36,243,113,56,56,56,57,56,55,57,55,56,55
35,2185.265132,36,244,113,55,56,55,56,56,55,56,55,56,55
36,2186.276621,36,244,113,56,57,56,56,56,55,56,55,56,55
37,2187.222806,36,244,113,56,57,56,57,57,56,57,56,56,56
38,2188.286308,36,244,112,56,57,56,57,57,56,57,55,55,55
39,2189.292655,36,243,113,55,56,56,56,56,55,57,55,55,55
40,2190.323331,38,244,112,55,56,56,56,56,55,56,55,55,55
41,2191.199878,38,243,112,55,56,56,57,56,55,57,55,55,55
42,2192.244665,38,244,113,55,56,56,56,56,55,56,55,55,55
43,2193.243312,38,244,112,55,56,56,56,56,55,56,55,55,55
44,2194.189875,38,243,113,56,56,56,57,56,55,57,55,56,55
45,2195.263148,38,244,113,56,57,56,57,57,56,57,55,56,56
46,2196.30612,38,243,113,56,56,56,57,56,55,57,55,55,55
47,2197.348166,38,244,113,56,57,56,57,57,56,57,55,56,55
48,2198.472689,38,243,113,56,57,56,57,57,56,57,55,56,56
49,2199.37587,38,244,113,56,56,56,57,56,55,56,55,56,55
50,2200.318451,40,244,113,56,56,56,57,56,55,56,55,55,55
51,2201.323713,40,243,113,56,56,56,57,56,55,57,55,55,56
52,2202.35835,40,244,112,56,57,57,57,57,56,58,56,56,56
53,2203.345426,40,244,113,55,56,56,57,56,55,57,55,55,55
54,2204.327567,40,244,113,56,57,56,57,56,56,57,55,56,56
55,2205.352995,40,244,113,56,56,56,57,56,55,57,55,55,55
56,2206.271167,40,243,113,56,56,56,57,56,55,57,55,55,55
57,2207.321327,40,243,113,55,56,56,57,56,55,56,55,56,55
58,2208.321458,40,244,113,55,56,56,57,57,55,57,55,55,55
59,2209.298787,40,243,112,56,56,57,57,57,56,57,56,56,56
