,1,1,,2,2
0,0,0,,0,0
1,2277.701063,30,76,75,75
2,2281.667863,30,74.8,73.8,73.8
3,2282.666681,30,75.8,74.8,74.8
4,2283.6999,30,75,74,74
5,2284.668048,30,74.4,73.4,73.4
6,2285.66471,30,75,74,74
7,2286.662092,30,75.6,74.6,74.6
8,2287.663318,30,74.4,73.4,73.4
9,2288.664806,30,75,74,74
10,2290.704869,32,75,74,74
11,2291.705363,32,75.4,74.4,74.4
12,2293.663507,32,74.6,73.6,73.6
13,2294.663722,32,74.4,73.4,73.4
14,2296.700568,32,74.8,73.8,73.8
15,2298.697621,32,73.6,72.6,72.6
16,2300.686012,32,74.6,73.6,73.6
17,2302.66498,32,74.2,73.2,73.2
18,2303.669514,32,75,74,74
19,2305.675863,32,75.6,74.6,74.6
20,2306.675261,34,75,74,74
21,2308.695504,34,74.6,73.6,73.6
22,2310.712352,34,75.2,74.2,74.2
23,2312.668467,34,74.4,73.4,73.4
24,2313.661588,34,74.8,73.8,73.8
25,2314.668275,34,76.4,75.4,75.4
26,2315.659762,34,76,75,75
27,2316.662989,34,75.2,74.2,74.2
28,2317.664854,34,75.2,74.2,74.2
29,2318.688985,34,73.2,72.2,72.2
30,2320.697457,36,75,74,74
31,2321.69672,36,73.8,72.8,72.8
32,2323.692059,36,75.2,74.2,74.2
33,2325.710176,36,75.2,74.2,74.2
34,2326.67039,36,75,74,74
35,2328.669746,36,75.2,74.2,74.2
36,2330.707931,36,75.8,74.8,74.8
37,2331.667367,36,73.6,72.6,72.6
38,2332.665283,36,75.2,74.2,74.2
39,2333.648313,36,75,74,74
40,2334.662987,38,74.4,73.4,73.4
41,2335.663482,38,75.4,74.4,74.4
42,2336.660034,38,74.6,73.6,73.6
43,2337.707804,38,75.2,74.2,74.2
44,2338.661196,38,75.6,74.6,74.6
45,2339.659893,38,74.6,73.6,73.6
46,2340.662297,38,76.6,75.6,75.6
47,2341.715852,38,75.4,74.4,74.4
48,2342.689228,38,74.4,73.4,73.4
49,2343.660188,38,75.4,74.4,74.4
50,2344.660523,40,74.4,73.4,73.4
51,2345.664101,40,74.6,73.6,73.6
52,2346.649204,40,76.2,75.2,75.2
53,2347.67038,40,75,74,74
54,2348.677286,40,75.6,74.6,74.6
55,2349.671924,40,73.8,72.8,72.8
56,2350.660283,40,74.6,73.6,73.6
57,2351.662274,40,75.2,74.2,74.2
58,2352.658857,40,75,74,74
59,2353.660426,40,74.8,73.8,73.8
60,2354.658412,42,74,73,73
61,2356.651231,42,74.8,73.8,73.8
62,2357.701529,42,75,74,74
63,2358.657884,42,74.8,73.8,73.8
64,2359.6612,42,77,76,76
65,2360.660756,42,73.4,72.4,72.4
66,2361.660509,42,75.8,74.8,74.8
67,2362.660566,42,74.8,73.8,73.8
68,2363.663136,42,74.4,73.4,73.4
69,2364.658447,42,74.6,73.6,73.6
70,2365.660948,44,75.6,74.6,74.6
71,2366.660505,44,74.8,73.8,73.8
72,2367.661206,44,74.4,73.4,73.4
73,2368.657406,44,75,74,74
74,2369.645842,44,74.4,73.4,73.4
75,2371.660455,44,74.6,73.6,73.6
76,2372.649459,44,75,74,74
77,2374.665332,44,75.8,74.8,74.8
78,2375.659328,44,75.2,74.2,74.2
79,2376.666099,44,74.2,73.2,73.2
80,2377.665354,46,74.4,73.4,73.4
81,2378.664353,46,76,75,75
82,2379.665612,46,75.6,74.6,74.6
83,2380.679753,46,74.6,73.6,73.6
84,2381.675213,46,74.2,73.2,73.2
85,2382.660804,46,76,75,75
86,2383.684083,46,74.2,73.2,73.2
87,2385.697188,46,74.4,73.4,73.4
88,2386.694992,46,75.4,74.4,74.4
89,2388.696724,46,74,73,73
90,2390.67882,48,74.6,73.6,73.6
91,2391.673687,48,75,74,74
92,2392.66258,48,74.4,73.4,73.4
93,2393.661592,48,75.8,74.8,74.8
94,2394.660562,48,75.2,74.2,74.2
95,2395.661619,48,74.8,73.8,73.8
96,2396.645245,48,73.8,72.8,72.8
97,2397.661848,48,74.6,73.6,73.6
98,2398.662204,48,74.6,73.6,73.6
99,2399.663621,48,75,74,74
100,2400.670967,50,75.2,74.2,74.2
101,2401.676288,50,74.8,73.8,73.8
102,2402.670818,50,74,73,73
103,2403.65955,50,74.4,73.4,73.4
104,2404.658723,50,74.2,73.2,73.2
105,2405.659816,50,75,74,74
106,2406.661168,50,74.4,73.4,73.4
107,2407.657962,50,74.2,73.2,73.2
108,2408.658757,50,74.8,73.8,73.8
109,2409.660916,50,74.4,73.4,73.4
110,2410.660886,52,74.4,73.4,73.4
111,2411.664397,52,73.8,72.8,72.8
112,2412.737496,52,75.4,74.4,74.4
113,2414.665909,52,74.8,73.8,73.8
114,2416.667994,52,74,73,73
115,2417.685873,52,75.4,74.4,74.4
116,2418.658779,52,74.8,73.8,73.8
117,2419.662037,52,74.6,73.6,73.6
118,2420.658527,52,73.8,72.8,72.8
119,2421.664976,52,74.6,73.6,73.6
120,2422.658962,54,74.8,73.8,73.8
121,2423.661848,54,75.6,74.6,74.6
122,2424.670654,54,75,74,74
123,2425.661782,54,74.8,73.8,73.8
124,2426.660994,54,74.2,73.2,73.2
125,2427.65921,54,73.8,72.8,72.8
126,2428.660669,54,75,74,74
127,2429.646162,54,74.4,73.4,73.4
128,2430.664673,54,76,75,75
129,2431.658331,54,75,74,74
130,2432.659546,56,74.8,73.8,73.8
131,2433.700024,56,74.4,73.4,73.4
132,2434.669978,56,74.4,73.4,73.4
133,2435.661278,56,75.2,74.2,74.2
134,2436.669652,56,74,73,73
135,2438.706418,56,74,73,73
136,2440.668213,56,76.2,75.2,75.2
137,2442.677196,56,73.8,72.8,72.8
138,2443.662216,56,74.6,73.6,73.6
139,2444.675758,56,73.8,72.8,72.8
140,2446.670627,58,76.6,75.6,75.6
141,2447.663052,58,74.6,73.6,73.6
142,2448.662336,58,74.2,73.2,73.2
143,2449.672598,58,73.8,72.8,72.8
144,2450.659589,58,73.6,72.6,72.6
145,2452.699602,58,73,72,72
146,2453.669318,58,75,74,74
147,2454.662735,58,74.8,73.8,73.8
148,2455.663187,58,74.2,73.2,73.2
149,2456.662761,58,74,73,73
150,2457.657852,60,74,73,73
151,2458.662044,60,75.2,74.2,74.2
152,2459.662091,60,73.6,72.6,72.6
153,2461.662009,60,73.8,72.8,72.8
154,2462.673217,60,74.8,73.8,73.8
155,2463.648025,60,74,73,73
156,2464.702019,60,74.6,73.6,73.6
157,2465.671431,60,74.8,73.8,73.8
158,2466.663951,60,74.2,73.2,73.2
159,2467.658376,60,73.6,72.6,72.6
160,2468.662725,62,74.4,73.4,73.4
161,2469.658237,62,74.2,73.2,73.2
162,2470.654965,62,74.6,73.6,73.6
163,2471.659257,62,74.2,73.2,73.2
164,2472.659459,62,74.4,73.4,73.4
165,2473.658269,62,75.4,74.4,74.4
166,2474.661874,62,74.6,73.6,73.6
167,2476.659847,62,73.6,72.6,72.6
168,2477.663262,62,74.4,73.4,73.4
169,2478.661599,62,74.8,73.8,73.8
170,2479.659524,64,73.6,72.6,72.6
171,2480.663156,64,74.4,73.4,73.4
172,2481.664064,64,74,73,73
173,2482.663145,64,75.2,74.2,74.2
174,2483.660906,64,73,72,72
175,2484.659575,64,74.8,73.8,73.8
176,2485.661821,64,75.4,74.4,74.4
177,2486.658796,64,73.6,72.6,72.6
178,2487.661525,64,74,73,73
179,2488.658948,64,73.8,72.8,72.8
180,2489.659696,66,73.6,72.6,72.6
181,2490.729095,66,73.8,72.8,72.8
182,2492.659667,66,72.6,71.6,71.6
183,2493.658199,66,74.4,73.4,73.4
184,2494.662774,66,74,73,73
185,2495.710417,66,73.6,72.6,72.6
186,2496.677569,66,73.4,72.4,72.4
187,2497.659002,66,73.6,72.6,72.6
188,2498.657765,66,74,73,73
189,2499.660354,66,73.2,72.2,72.2
190,2500.658515,68,74.2,73.2,73.2
191,2501.66479,68,73.4,72.4,72.4
192,2502.651005,68,73.8,72.8,72.8
193,2503.700039,68,73.4,72.4,72.4
194,2504.659457,68,74.4,73.4,73.4
195,2506.672533,68,74,73,73
196,2507.659644,68,73.4,72.4,72.4
197,2508.663203,68,74.6,73.6,73.6
198,2509.661467,68,73.4,72.4,72.4
199,2510.673903,68,74,73,73
200,2511.65913,70,73.6,72.6,72.6
201,2512.671248,70,72.4,71.4,71.4
202,2513.66108,70,73.8,72.8,72.8
203,2514.661273,70,73.4,72.4,72.4
204,2515.646441,70,72.2,71.2,71.2
205,2516.684627,70,74.6,73.6,73.6
206,2517.657712,70,73,72,72
207,2518.651179,70,74.8,73.8,73.8
208,2519.667143,70,73,72,72
209,2521.665171,70,74,73,73
210,2522.708844,72,72.6,71.6,71.6
211,2523.675222,72,72.4,71.4,71.4
212,2524.660757,72,74.2,73.2,73.2
213,2525.662965,72,72.6,71.6,71.6
214,2526.660883,72,72.8,71.8,71.8
215,2527.661206,72,72.6,71.6,71.6
216,2528.673066,72,72.8,71.8,71.8
217,2529.660712,72,72.2,71.2,71.2
218,2530.662964,72,73.2,72.2,72.2
219,2531.651399,72,73.8,72.8,72.8
220,2532.65979,74,73.4,72.4,72.4
221,2534.664513,74,73.6,72.6,72.6
222,2535.658383,74,73.6,72.6,72.6
223,2536.669071,74,73.8,72.8,72.8
224,2537.66112,74,72.2,71.2,71.2
225,2538.658782,74,73,72,72
226,2539.661737,74,73.6,72.6,72.6
227,2540.663557,74,73,72,72
228,2541.665727,74,72.6,71.6,71.6
229,2542.662075,74,72.8,71.8,71.8
230,2543.664366,76,73,72,72
231,2544.645523,76,72.4,71.4,71.4
232,2545.658759,76,73.6,72.6,72.6
233,2546.659568,76,73.8,72.8,72.8
234,2547.661584,76,73,72,72
235,2548.681705,76,72.8,71.8,71.8
236,2549.659744,76,73,72,72
237,2550.668592,76,72.2,71.2,71.2
238,2551.65825,76,72.6,71.6,71.6
239,2552.667777,76,73.4,72.4,72.4
240,2553.660815,78,72.8,71.8,71.8
241,2554.644974,78,72.8,71.8,71.8
242,2555.659491,78,73.8,72.8,72.8
243,2556.657782,78,72.6,71.6,71.6
244,2557.666976,78,73.8,72.8,72.8
245,2558.658101,78,73.2,72.2,72.2
246,2559.663732,78,71.6,70.6,70.6
247,2560.663034,78,72.6,71.6,71.6
248,2561.660342,78,74,73,73
249,2562.668945,78,72.8,71.8,71.8
250,2563.660757,80,73.4,72.4,72.4
251,2564.650719,80,72.8,71.8,71.8
252,2565.72269,80,72,71,71
253,2567.662351,80,73,72,72
254,2568.661164,80,72.6,71.6,71.6
255,2569.662949,80,73,72,72
256,2570.663457,80,72.2,71.2,71.2
257,2571.658158,80,73,72,72
258,2572.661288,80,72.4,71.4,71.4
259,2573.648539,80,71.2,70.2,70.2
260,2574.68619,82,72.2,71.2,71.2
261,2575.659934,82,72.8,71.8,71.8
262,2576.660112,82,72,71,71
263,2577.662074,82,72,71,71
264,2578.660435,82,72.2,71.2,71.2
265,2579.661375,82,72.4,71.4,71.4
266,2580.664446,82,72.4,71.4,71.4
267,2581.660025,82,74,73,73
268,2582.668903,82,71.6,70.6,70.6
269,2583.650085,82,72.2,71.2,71.2
270,2584.667606,84,72.4,71.4,71.4
271,2585.660981,84,71.6,70.6,70.6
272,2586.658718,84,71.8,70.8,70.8
273,2587.688393,84,72.8,71.8,71.8
274,2588.661664,84,72.4,71.4,71.4
275,2589.660548,84,71.4,70.4,70.4
276,2590.679693,84,72.2,71.2,71.2
277,2591.658766,84,71.4,70.4,70.4
278,2592.659353,84,71.4,70.4,70.4
279,2593.657989,84,72.4,71.4,71.4
280,2594.657388,86,73.6,72.6,72.6
281,2596.65874,86,72,71,71
282,2597.695777,86,72.4,71.4,71.4
283,2598.661769,86,72.2,71.2,71.2
284,2599.714717,86,71.2,70.2,70.2
285,2600.696929,86,71.4,70.4,70.4
286,2601.658214,86,72.2,71.2,71.2
287,2602.659922,86,71.6,70.6,70.6
288,2603.664375,86,71,70,70
289,2604.662856,86,71.6,70.6,70.6
290,2605.659766,88,71.6,70.6,70.6
291,2606.705077,88,72.2,71.2,71.2
292,2607.657428,88,72,71,71
293,2608.657448,88,71.4,70.4,70.4
294,2609.660619,88,71.6,70.6,70.6
295,2610.659742,88,71.6,70.6,70.6
296,2611.661506,88,73,72,72
297,2612.658291,88,72.4,71.4,71.4
298,2613.664203,88,72.8,71.8,71.8
299,2614.661257,88,70.2,69.2,69.2
300,2615.659918,90,72.4,71.4,71.4
301,2616.667984,90,71.6,70.6,70.6
302,2617.660337,90,71.4,70.4,70.4
303,2618.660505,90,72.4,71.4,71.4
304,2619.658129,90,70.8,69.8,69.8
305,2620.6593,90,71.6,70.6,70.6
306,2621.661163,90,71.4,70.4,70.4
307,2622.662425,90,71.8,70.8,70.8
308,2623.662817,90,71.6,70.6,70.6
309,2624.659841,90,71.6,70.6,70.6
310,2626.66848,92,72.2,71.2,71.2
311,2627.65918,92,71,70,70
312,2628.660305,92,71.8,70.8,70.8
313,2629.666298,92,71.6,70.6,70.6
314,2631.675593,92,71.6,70.6,70.6
315,2633.674901,92,71.4,70.4,70.4
316,2634.663695,92,71.2,70.2,70.2
317,2635.668173,92,71.2,70.2,70.2
318,2637.668869,92,71.6,70.6,70.6
319,2639.671919,92,71,70,70
320,2641.734245,94,71.2,70.2,70.2
321,2643.718282,94,70.6,69.6,69.6
322,2645.714562,94,70.6,69.6,69.6
323,2647.669456,94,72,71,71
324,2649.66086,94,71.4,70.4,70.4
325,2651.66802,94,71,70,70
326,2653.666192,94,72.6,71.6,71.6
327,2655.705902,94,71.4,70.4,70.4
328,2657.719096,94,70.6,69.6,69.6
329,2659.661857,94,70.6,69.6,69.6
330,2660.666621,96,70.8,69.8,69.8
331,2662.6746,96,72,71,71
332,2663.687124,96,70.8,69.8,69.8
333,2664.704722,96,71,70,70
334,2666.697684,96,70.4,69.4,69.4
335,2668.700164,96,72.4,71.4,71.4
336,2670.710128,96,71.4,70.4,70.4
337,2672.695839,96,70.8,69.8,69.8
338,2673.672515,96,70.4,69.4,69.4
339,2674.662956,96,70.6,69.6,69.6
340,2675.668444,98,70,69,69
341,2676.654582,98,70.4,69.4,69.4
342,2677.673661,98,71.2,70.2,70.2
343,2679.661643,98,69.6,68.6,68.6
344,2681.669621,98,70.4,69.4,69.4
345,2683.662376,98,71.2,70.2,70.2
346,2685.712465,98,69.6,68.6,68.6
347,2687.663657,98,71.2,70.2,70.2
348,2688.661576,98,70.4,69.4,69.4
349,2689.662397,98,70,69,69
350,2690.667021,100,71,70,70
351,2691.688815,100,69.6,68.6,68.6
352,2692.680218,100,70,69,69
353,2693.705749,100,70.6,69.6,69.6
354,2694.690587,100,71.2,70.2,70.2
355,2696.676427,100,70.8,69.8,69.8
356,2698.665989,100,70.6,69.6,69.6
357,2699.661365,100,70.4,69.4,69.4
358,2701.666102,100,69.4,68.4,68.4
359,2703.663036,100,70.6,69.6,69.6
360,2705.691802,102,70,69,69
361,2706.668369,102,70.6,69.6,69.6
362,2707.668805,102,70.4,69.4,69.4
363,2709.662633,102,70,69,69
364,2710.663524,102,70.6,69.6,69.6
365,2711.662489,102,69.6,68.6,68.6
366,2712.664633,102,70.6,69.6,69.6
367,2713.667158,102,70.6,69.6,69.6
368,2715.670522,102,71,70,70
369,2716.667324,102,69.6,68.6,68.6
370,2717.668445,104,70,69,69
371,2718.664295,104,70.6,69.6,69.6
372,2719.683801,104,70.4,69.4,69.4
373,2721.665491,104,68.6,67.6,67.6
374,2723.675384,104,70.8,69.8,69.8
375,2725.689157,104,69.8,68.8,68.8
376,2726.670265,104,71.2,70.2,70.2
377,2728.668124,104,68.8,67.8,67.8
378,2730.702228,104,69.8,68.8,68.8
379,2732.705896,104,68.6,67.6,67.6
380,2734.68493,106,69.4,68.4,68.4
381,2736.704357,106,70.2,69.2,69.2
382,2738.69017,106,69.8,68.8,68.8
383,2739.657312,106,69,68,68
384,2740.671751,106,69.8,68.8,68.8
385,2741.669317,106,69.8,68.8,68.8
386,2742.663723,106,69.6,68.6,68.6
387,2743.666788,106,68.8,67.8,67.8
388,2745.702577,106,70,69,69
389,2747.69398,106,70.4,69.4,69.4
390,2749.687435,108,69.4,68.4,68.4
391,2751.663943,108,69,68,68
392,2753.647765,108,69.8,68.8,68.8
393,2755.663119,108,70,69,69
394,2756.660415,108,69.6,68.6,68.6
395,2757.667136,108,70.4,69.4,69.4
396,2758.663509,108,69.2,68.2,68.2
397,2759.669915,108,69,68,68
398,2761.669567,108,68.8,67.8,67.8
399,2763.672749,108,69,68,68
400,2764.669419,110,69.6,68.6,68.6
401,2765.691534,110,70,69,69
402,2767.668511,110,68.4,67.4,67.4
403,2768.674217,110,69.4,68.4,68.4
404,2769.66266,110,68.4,67.4,67.4
405,2771.663216,110,68.6,67.6,67.6
406,2772.674185,110,69.4,68.4,68.4
407,2773.693636,110,68.6,67.6,67.6
408,2775.707781,110,68,67,67
409,2777.66828,110,69.2,68.2,68.2
410,2778.677799,108,69.6,68.6,68.6
411,2780.666572,108,68.2,67.2,67.2
412,2781.673747,108,70,69,69
413,2783.669329,108,67.8,66.8,66.8
414,2784.659085,108,68.6,67.6,67.6
415,2786.665923,108,68.2,67.2,67.2
416,2787.66285,108,69,68,68
417,2788.69887,108,68.6,67.6,67.6
418,2789.701271,108,68.6,67.6,67.6
419,2791.690231,106,69.4,68.4,68.4
420,2793.66621,106,69.4,68.4,68.4
421,2794.669904,106,69.4,68.4,68.4
422,2795.665805,106,69.6,68.6,68.6
423,2797.663184,106,69.4,68.4,68.4
424,2798.668823,106,68.6,67.6,67.6
425,2800.67671,106,68.4,67.4,67.4
426,2802.667508,106,69.8,68.8,68.8
427,2803.663804,106,67.6,66.6,66.6
