,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,21.99164,30.0,236.0,133.0,56.0,56.0,57.0,57.0,58.0,56.0,57.0,56.0,56.0,56.0
2,25.751403,30.0,237.0,132.0,56.0,56.0,57.0,57.0,57.0,56.0,57.0,55.0,56.0,56.0
3,27.51784,30.0,237.0,132.0,56.0,56.0,56.0,57.0,57.0,55.0,57.0,55.0,56.0,56.0
4,29.30506,30.0,237.0,132.0,56.0,57.0,57.0,57.0,58.0,56.0,57.0,56.0,56.0,57.0
5,31.137632,30.0,237.0,132.0,56.0,56.0,57.0,57.0,57.0,56.0,57.0,56.0,56.0,57.0
6,32.940791,30.0,237.0,132.0,56.0,57.0,57.0,57.0,58.0,56.0,57.0,56.0,56.0,57.0
7,34.882177,30.0,237.0,131.0,57.0,57.0,57.0,58.0,58.0,56.0,57.0,56.0,56.0,57.0
8,36.563837,30.0,237.0,132.0,56.0,56.0,57.0,58.0,57.0,56.0,58.0,56.0,56.0,57.0
9,38.346015,30.0,237.0,132.0,56.0,56.0,57.0,57.0,57.0,56.0,58.0,56.0,56.0,57.0
10,40.12215,32.0,237.0,132.0,56.0,57.0,57.0,57.0,58.0,56.0,57.0,56.0,56.0,57.0
11,41.884091,32.0,237.0,131.0,56.0,56.0,57.0,57.0,57.0,55.0,57.0,55.0,56.0,56.0
12,43.634043,32.0,237.0,132.0,56.0,56.0,57.0,57.0,57.0,56.0,57.0,56.0,56.0,56.0
13,45.508223,32.0,237.0,131.0,57.0,57.0,58.0,58.0,58.0,57.0,58.0,56.0,56.0,57.0
14,47.109701,32.0,236.0,131.0,56.0,56.0,57.0,57.0,57.0,56.0,57.0,56.0,56.0,57.0
15,48.856457,32.0,236.0,132.0,56.0,57.0,57.0,57.0,57.0,56.0,57.0,56.0,56.0,56.0
16,50.710004,32.0,237.0,132.0,56.0,57.0,57.0,57.0,57.0,55.0,57.0,55.0,56.0,56.0
17,52.384238,32.0,237.0,131.0,56.0,56.0,56.0,57.0,57.0,55.0,57.0,55.0,56.0,56.0
18,54.171185,32.0,237.0,132.0,56.0,56.0,57.0,57.0,57.0,55.0,57.0,55.0,56.0,56.0
19,56.042088,32.0,237.0,131.0,57.0,57.0,58.0,58.0,57.0,56.0,58.0,56.0,56.0,57.0
20,57.852021,34.0,237.0,131.0,56.0,56.0,57.0,57.0,57.0,55.0,57.0,55.0,56.0,56.0
21,59.58029,34.0,237.0,131.0,56.0,57.0,57.0,57.0,57.0,55.0,57.0,56.0,56.0,56.0
22,61.441105,34.0,237.0,131.0,57.0,57.0,57.0,58.0,58.0,56.0,58.0,57.0,57.0,57.0
23,63.22178,34.0,237.0,132.0,56.0,56.0,57.0,57.0,58.0,56.0,57.0,56.0,56.0,57.0
24,64.972378,34.0,237.0,131.0,56.0,57.0,57.0,57.0,58.0,56.0,58.0,57.0,57.0,57.0
25,66.702846,34.0,237.0,131.0,56.0,56.0,57.0,57.0,57.0,55.0,57.0,55.0,56.0,56.0
26,68.523388,34.0,237.0,131.0,56.0,56.0,56.0,57.0,57.0,55.0,58.0,56.0,56.0,57.0
27,70.256349,34.0,237.0,131.0,56.0,57.0,57.0,57.0,58.0,56.0,57.0,56.0,56.0,56.0
28,72.031832,34.0,237.0,131.0,56.0,56.0,57.0,57.0,57.0,56.0,57.0,55.0,56.0,56.0
29,73.874058,34.0,237.0,130.0,56.0,57.0,57.0,57.0,58.0,56.0,58.0,56.0,56.0,56.0
30,75.663692,36.0,237.0,131.0,56.0,57.0,57.0,57.0,57.0,56.0,57.0,55.0,56.0,56.0
31,77.402302,36.0,237.0,130.0,56.0,57.0,57.0,57.0,57.0,56.0,57.0,56.0,56.0,57.0
32,79.195054,36.0,236.0,130.0,56.0,57.0,57.0,57.0,57.0,56.0,57.0,55.0,56.0,56.0
33,80.932764,36.0,237.0,130.0,56.0,56.0,57.0,57.0,57.0,56.0,57.0,55.0,56.0,57.0
34,82.751069,36.0,237.0,131.0,56.0,56.0,57.0,57.0,57.0,56.0,57.0,56.0,56.0,56.0
35,84.608819,36.0,237.0,130.0,56.0,57.0,57.0,57.0,57.0,56.0,57.0,56.0,56.0,57.0
36,86.433766,36.0,237.0,130.0,56.0,57.0,57.0,57.0,58.0,56.0,57.0,56.0,56.0,56.0
37,88.325693,36.0,237.0,131.0,56.0,56.0,57.0,58.0,58.0,56.0,57.0,55.0,56.0,56.0
38,90.145861,36.0,237.0,130.0,56.0,56.0,57.0,57.0,58.0,56.0,57.0,56.0,56.0,56.0
39,91.985392,36.0,237.0,130.0,56.0,56.0,56.0,57.0,57.0,55.0,57.0,55.0,56.0,56.0
40,93.719927,38.0,237.0,130.0,57.0,57.0,57.0,58.0,58.0,56.0,58.0,56.0,57.0,57.0
41,95.417865,38.0,237.0,130.0,56.0,56.0,56.0,57.0,57.0,56.0,57.0,55.0,56.0,56.0
42,97.122564,38.0,236.0,130.0,56.0,56.0,56.0,57.0,57.0,56.0,57.0,55.0,56.0,56.0
43,98.769082,38.0,237.0,129.0,56.0,56.0,56.0,57.0,58.0,55.0,57.0,55.0,56.0,56.0
44,100.523558,38.0,237.0,130.0,56.0,56.0,56.0,57.0,57.0,55.0,57.0,56.0,56.0,56.0
45,102.316555,38.0,237.0,129.0,57.0,57.0,57.0,57.0,58.0,56.0,57.0,56.0,56.0,56.0
46,104.03994,38.0,237.0,129.0,56.0,57.0,57.0,57.0,58.0,56.0,58.0,56.0,56.0,56.0
47,105.610976,38.0,237.0,130.0,56.0,56.0,56.0,57.0,56.0,56.0,57.0,55.0,56.0,56.0
48,107.321352,38.0,236.0,130.0,56.0,56.0,57.0,57.0,57.0,55.0,57.0,55.0,56.0,55.0
49,109.022783,38.0,237.0,130.0,56.0,57.0,57.0,57.0,57.0,56.0,58.0,56.0,56.0,56.0
50,110.881292,40.0,238.0,130.0,56.0,56.0,56.0,57.0,57.0,55.0,57.0,56.0,56.0,56.0
51,112.624594,40.0,237.0,130.0,56.0,56.0,57.0,57.0,58.0,55.0,57.0,55.0,56.0,56.0
