,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3060.324045,30.0,255.0,26.0,66.0,66.0,66.0,67.0,66.0,66.0,67.0,65.0,65.0,65.0
2,3060.454742,30.0,255.0,26.0,65.0,66.0,65.0,66.0,65.0,65.0,66.0,65.0,65.0,66.0
3,3061.466639,30.0,255.0,26.0,65.0,66.0,66.0,66.0,66.0,65.0,66.0,65.0,65.0,65.0
4,3062.455637,30.0,255.0,26.0,65.0,66.0,66.0,66.0,65.0,65.0,66.0,65.0,66.0,66.0
5,3063.455458,30.0,255.0,26.0,65.0,66.0,66.0,66.0,66.0,66.0,66.0,65.0,66.0,66.0
6,3064.45547,30.0,255.0,26.0,65.0,66.0,65.0,66.0,65.0,65.0,66.0,65.0,66.0,65.0
7,3065.455497,30.0,255.0,26.0,65.0,65.0,65.0,66.0,65.0,65.0,66.0,65.0,66.0,65.0
8,3066.455637,30.0,255.0,26.0,65.0,66.0,65.0,66.0,66.0,65.0,67.0,65.0,65.0,65.0
9,3067.456434,30.0,255.0,26.0,66.0,67.0,66.0,66.0,66.0,65.0,67.0,65.0,66.0,66.0
10,3068.455505,37.0,255.0,26.0,65.0,66.0,66.0,66.0,66.0,65.0,66.0,65.0,66.0,66.0
11,3069.455485,37.0,255.0,26.0,65.0,65.0,65.0,66.0,65.0,65.0,66.0,65.0,65.0,65.0
12,3070.455474,37.0,255.0,25.0,65.0,65.0,65.0,66.0,65.0,65.0,66.0,65.0,65.0,65.0
13,3071.455853,37.0,255.0,26.0,65.0,65.0,65.0,66.0,65.0,65.0,66.0,65.0,65.0,65.0
14,3072.455925,37.0,255.0,26.0,66.0,66.0,66.0,67.0,67.0,66.0,67.0,66.0,66.0,66.0
15,3073.464344,37.0,255.0,26.0,66.0,66.0,66.0,66.0,66.0,65.0,66.0,65.0,65.0,65.0
16,3074.455441,37.0,255.0,26.0,65.0,65.0,65.0,66.0,65.0,65.0,66.0,65.0,65.0,65.0
17,3075.456597,37.0,255.0,26.0,66.0,67.0,66.0,67.0,66.0,65.0,66.0,65.0,66.0,65.0
18,3076.455472,37.0,255.0,26.0,65.0,66.0,66.0,66.0,66.0,65.0,66.0,66.0,66.0,66.0
19,3077.455731,37.0,255.0,26.0,66.0,66.0,66.0,66.0,66.0,66.0,67.0,66.0,66.0,66.0
20,3078.455506,40.0,255.0,26.0,65.0,65.0,65.0,66.0,65.0,65.0,66.0,65.0,65.0,65.0
21,3079.45544,40.0,255.0,26.0,65.0,65.0,65.0,66.0,65.0,65.0,66.0,65.0,66.0,65.0
22,3080.455883,40.0,255.0,26.0,66.0,66.0,66.0,67.0,66.0,66.0,66.0,65.0,66.0,66.0
23,3081.455528,40.0,255.0,26.0,65.0,66.0,66.0,66.0,66.0,65.0,66.0,65.0,66.0,66.0
24,3082.455934,40.0,255.0,27.0,66.0,67.0,67.0,67.0,67.0,66.0,67.0,66.0,67.0,66.0
25,3083.455516,40.0,255.0,26.0,65.0,66.0,66.0,67.0,66.0,65.0,67.0,65.0,66.0,66.0
26,3084.456037,40.0,255.0,26.0,66.0,67.0,67.0,67.0,67.0,66.0,67.0,66.0,67.0,66.0
27,3085.455498,40.0,255.0,26.0,65.0,66.0,65.0,66.0,66.0,65.0,67.0,65.0,66.0,65.0
28,3086.455519,40.0,255.0,26.0,65.0,65.0,66.0,66.0,65.0,65.0,66.0,65.0,65.0,65.0
29,3087.455589,40.0,255.0,26.0,65.0,66.0,66.0,66.0,66.0,65.0,66.0,65.0,65.0,65.0
30,3088.455627,42.0,255.0,26.0,65.0,66.0,66.0,66.0,66.0,66.0,67.0,65.0,66.0,66.0
31,3089.455525,42.0,255.0,26.0,66.0,66.0,66.0,66.0,66.0,66.0,67.0,65.0,66.0,66.0
32,3090.456414,42.0,255.0,26.0,66.0,66.0,66.0,67.0,66.0,66.0,67.0,65.0,66.0,65.0
33,3091.455741,42.0,255.0,26.0,65.0,66.0,66.0,66.0,66.0,66.0,67.0,65.0,66.0,66.0
34,3092.455417,42.0,255.0,26.0,66.0,66.0,66.0,67.0,66.0,66.0,67.0,66.0,66.0,66.0
35,3093.455518,42.0,255.0,26.0,66.0,66.0,66.0,67.0,66.0,66.0,67.0,66.0,66.0,66.0
36,3094.457484,42.0,255.0,26.0,66.0,67.0,67.0,67.0,66.0,66.0,67.0,65.0,66.0,66.0
37,3095.455494,42.0,255.0,25.0,65.0,66.0,66.0,66.0,66.0,66.0,67.0,65.0,66.0,66.0
38,3096.454675,42.0,255.0,26.0,65.0,66.0,66.0,67.0,66.0,65.0,66.0,65.0,67.0,66.0
39,3097.455513,42.0,255.0,26.0,66.0,66.0,66.0,66.0,66.0,66.0,67.0,66.0,66.0,66.0
40,3098.455513,45.0,255.0,26.0,65.0,66.0,66.0,66.0,66.0,66.0,67.0,65.0,66.0,66.0
41,3099.45551,45.0,255.0,25.0,65.0,66.0,66.0,66.0,66.0,65.0,66.0,65.0,66.0,65.0
42,3100.45546,45.0,255.0,26.0,65.0,65.0,66.0,66.0,66.0,65.0,66.0,66.0,66.0,66.0
43,3101.455928,45.0,255.0,26.0,64.0,65.0,65.0,66.0,66.0,65.0,65.0,64.0,65.0,64.0
44,3102.455539,45.0,255.0,26.0,64.0,65.0,65.0,65.0,65.0,65.0,65.0,64.0,65.0,64.0
45,3103.455641,45.0,255.0,25.0,64.0,65.0,65.0,65.0,65.0,65.0,66.0,64.0,65.0,65.0
46,3104.455541,45.0,255.0,26.0,64.0,65.0,65.0,65.0,65.0,65.0,66.0,65.0,65.0,65.0
47,3105.455628,45.0,255.0,26.0,64.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
48,3106.45566,45.0,255.0,26.0,65.0,65.0,65.0,66.0,66.0,65.0,66.0,65.0,65.0,65.0
49,3107.457683,45.0,255.0,26.0,65.0,66.0,66.0,66.0,66.0,65.0,66.0,65.0,65.0,65.0
50,3108.455627,47.0,255.0,25.0,65.0,65.0,65.0,65.0,65.0,65.0,66.0,64.0,65.0,64.0
51,3109.455459,47.0,255.0,26.0,65.0,65.0,65.0,66.0,66.0,65.0,65.0,65.0,65.0,65.0
52,3110.455421,47.0,255.0,26.0,65.0,65.0,65.0,65.0,66.0,65.0,66.0,65.0,65.0,65.0
53,3111.455442,47.0,255.0,25.0,64.0,65.0,65.0,66.0,66.0,65.0,66.0,65.0,65.0,65.0
54,3112.455493,47.0,255.0,25.0,64.0,65.0,65.0,66.0,66.0,65.0,66.0,65.0,65.0,65.0
55,3113.455517,47.0,255.0,26.0,65.0,65.0,65.0,66.0,66.0,65.0,66.0,65.0,65.0,65.0
56,3114.455452,47.0,255.0,25.0,65.0,65.0,65.0,66.0,66.0,65.0,66.0,65.0,65.0,65.0
57,3115.455732,47.0,255.0,26.0,65.0,65.0,65.0,66.0,67.0,65.0,66.0,65.0,65.0,65.0
58,3116.455618,47.0,255.0,26.0,65.0,65.0,65.0,66.0,66.0,66.0,66.0,65.0,65.0,65.0
59,3117.455531,47.0,255.0,25.0,65.0,65.0,65.0,66.0,66.0,65.0,66.0,65.0,65.0,65.0
60,3118.4556,50.0,255.0,25.0,65.0,65.0,65.0,66.0,66.0,66.0,66.0,66.0,66.0,65.0
61,3119.455527,50.0,255.0,24.0,65.0,65.0,65.0,67.0,67.0,66.0,67.0,66.0,66.0,65.0
62,3120.455451,50.0,255.0,25.0,66.0,66.0,66.0,67.0,68.0,66.0,68.0,67.0,67.0,66.0
63,3121.456912,50.0,255.0,24.0,66.0,67.0,67.0,68.0,68.0,67.0,67.0,67.0,66.0,66.0
64,3122.457086,50.0,255.0,24.0,67.0,67.0,67.0,68.0,68.0,67.0,68.0,67.0,67.0,66.0
65,3123.455596,50.0,255.0,24.0,65.0,66.0,66.0,67.0,67.0,66.0,67.0,66.0,66.0,65.0
66,3124.45747,50.0,255.0,23.0,66.0,66.0,66.0,67.0,67.0,66.0,67.0,65.0,66.0,66.0
67,3125.455474,50.0,255.0,23.0,66.0,66.0,66.0,67.0,67.0,66.0,67.0,66.0,66.0,65.0
68,3126.455503,50.0,255.0,23.0,66.0,66.0,66.0,67.0,68.0,66.0,67.0,66.0,66.0,65.0
69,3127.455787,50.0,255.0,24.0,67.0,67.0,67.0,68.0,68.0,67.0,68.0,67.0,67.0,66.0
70,3128.455524,52.0,255.0,23.0,66.0,66.0,66.0,67.0,67.0,66.0,67.0,67.0,66.0,66.0
71,3129.455493,52.0,255.0,22.0,66.0,66.0,67.0,68.0,68.0,67.0,68.0,67.0,66.0,66.0
72,3130.455502,52.0,255.0,22.0,66.0,66.0,67.0,68.0,68.0,67.0,68.0,67.0,66.0,66.0
73,3131.454909,52.0,255.0,22.0,67.0,67.0,67.0,69.0,69.0,68.0,68.0,68.0,67.0,66.0
74,3132.455752,52.0,255.0,22.0,66.0,67.0,67.0,68.0,68.0,67.0,68.0,67.0,66.0,66.0
75,3133.455597,52.0,255.0,22.0,66.0,66.0,67.0,68.0,68.0,67.0,68.0,67.0,66.0,66.0
76,3134.455641,52.0,255.0,23.0,67.0,67.0,68.0,68.0,69.0,67.0,68.0,67.0,67.0,66.0
77,3135.455622,52.0,255.0,23.0,66.0,67.0,67.0,68.0,68.0,67.0,67.0,67.0,66.0,66.0
78,3136.455555,52.0,255.0,23.0,66.0,67.0,67.0,68.0,68.0,67.0,68.0,67.0,66.0,65.0
79,3137.455675,52.0,255.0,23.0,67.0,67.0,67.0,68.0,68.0,67.0,68.0,67.0,67.0,67.0
80,3138.455516,55.0,255.0,23.0,67.0,67.0,67.0,68.0,69.0,67.0,68.0,67.0,67.0,66.0
81,3139.457769,55.0,255.0,23.0,67.0,67.0,67.0,69.0,69.0,67.0,69.0,68.0,67.0,67.0
82,3140.455501,55.0,255.0,22.0,66.0,67.0,67.0,69.0,69.0,67.0,68.0,67.0,66.0,66.0
83,3141.459832,55.0,255.0,22.0,67.0,68.0,68.0,69.0,69.0,68.0,69.0,68.0,67.0,66.0
84,3142.455475,55.0,255.0,22.0,67.0,68.0,68.0,69.0,69.0,68.0,69.0,68.0,67.0,66.0
85,3143.455538,55.0,255.0,22.0,67.0,68.0,68.0,69.0,69.0,68.0,69.0,68.0,67.0,66.0
86,3144.455523,55.0,255.0,23.0,67.0,68.0,68.0,69.0,69.0,68.0,69.0,68.0,67.0,66.0
87,3145.455545,55.0,255.0,23.0,67.0,67.0,68.0,69.0,69.0,67.0,69.0,68.0,67.0,66.0
88,3146.455499,55.0,255.0,23.0,67.0,67.0,68.0,69.0,69.0,68.0,69.0,68.0,67.0,66.0
89,3147.455567,55.0,255.0,23.0,67.0,68.0,68.0,69.0,69.0,68.0,69.0,68.0,67.0,67.0
90,3148.456047,57.0,255.0,23.0,68.0,68.0,69.0,69.0,69.0,68.0,69.0,69.0,67.0,66.0
91,3149.454688,57.0,255.0,21.0,67.0,67.0,68.0,70.0,70.0,69.0,70.0,69.0,68.0,67.0
92,3150.455509,57.0,255.0,21.0,67.0,68.0,69.0,69.0,69.0,68.0,69.0,68.0,67.0,66.0
93,3151.455501,57.0,255.0,22.0,67.0,68.0,68.0,69.0,69.0,68.0,69.0,68.0,67.0,66.0
94,3152.456813,57.0,255.0,22.0,68.0,69.0,69.0,70.0,70.0,69.0,70.0,69.0,68.0,67.0
95,3153.455102,57.0,255.0,21.0,67.0,68.0,68.0,69.0,69.0,68.0,69.0,69.0,67.0,66.0
96,3154.455619,57.0,255.0,22.0,68.0,68.0,68.0,69.0,69.0,68.0,69.0,69.0,67.0,66.0
97,3155.45579,57.0,255.0,22.0,68.0,69.0,69.0,70.0,70.0,69.0,70.0,69.0,68.0,66.0
98,3156.455451,57.0,255.0,22.0,68.0,68.0,69.0,70.0,70.0,68.0,70.0,69.0,67.0,67.0
99,3157.455366,57.0,255.0,22.0,67.0,68.0,68.0,69.0,70.0,68.0,69.0,68.0,67.0,67.0
100,3158.455456,60.0,255.0,22.0,68.0,68.0,68.0,69.0,70.0,68.0,69.0,69.0,67.0,66.0
101,3159.454651,60.0,255.0,22.0,68.0,68.0,69.0,71.0,71.0,69.0,70.0,69.0,68.0,67.0
102,3160.455397,60.0,255.0,22.0,68.0,69.0,69.0,70.0,71.0,69.0,70.0,69.0,68.0,67.0
103,3161.455626,60.0,255.0,22.0,68.0,69.0,69.0,71.0,71.0,69.0,71.0,70.0,68.0,66.0
104,3162.455531,60.0,255.0,22.0,68.0,70.0,69.0,71.0,71.0,69.0,71.0,69.0,69.0,67.0
105,3163.455458,60.0,255.0,23.0,68.0,69.0,69.0,70.0,71.0,69.0,70.0,69.0,68.0,66.0
106,3164.455512,60.0,255.0,22.0,68.0,69.0,69.0,70.0,71.0,69.0,70.0,69.0,68.0,67.0
107,3165.455534,60.0,255.0,22.0,69.0,69.0,69.0,71.0,71.0,70.0,71.0,70.0,68.0,67.0
108,3166.454657,60.0,255.0,22.0,68.0,69.0,70.0,71.0,72.0,70.0,71.0,71.0,68.0,67.0
109,3167.455554,60.0,255.0,23.0,69.0,69.0,69.0,71.0,71.0,69.0,71.0,70.0,68.0,67.0
110,3168.455503,62.0,255.0,22.0,69.0,69.0,69.0,70.0,71.0,69.0,70.0,70.0,68.0,67.0
111,3169.457752,62.0,255.0,21.0,69.0,69.0,69.0,71.0,71.0,69.0,70.0,69.0,68.0,66.0
112,3170.455445,62.0,255.0,22.0,69.0,69.0,70.0,71.0,71.0,70.0,71.0,70.0,68.0,67.0
113,3171.45551,62.0,255.0,22.0,69.0,70.0,70.0,71.0,71.0,70.0,71.0,70.0,68.0,67.0
114,3172.455725,62.0,255.0,22.0,70.0,70.0,71.0,71.0,72.0,70.0,71.0,70.0,69.0,67.0
115,3173.455512,62.0,255.0,23.0,69.0,70.0,70.0,71.0,71.0,70.0,71.0,71.0,69.0,67.0
116,3174.455546,62.0,255.0,23.0,69.0,70.0,70.0,71.0,72.0,70.0,71.0,70.0,69.0,67.0
117,3175.455635,62.0,255.0,22.0,69.0,70.0,70.0,71.0,71.0,70.0,71.0,71.0,68.0,67.0
118,3176.45693,62.0,255.0,23.0,69.0,70.0,70.0,71.0,71.0,69.0,71.0,70.0,68.0,67.0
119,3177.455662,62.0,255.0,23.0,69.0,69.0,69.0,71.0,71.0,70.0,71.0,69.0,68.0,66.0
120,3178.455633,65.0,255.0,23.0,69.0,69.0,70.0,71.0,71.0,70.0,71.0,70.0,68.0,67.0
121,3179.456188,65.0,255.0,24.0,69.0,70.0,70.0,71.0,71.0,70.0,71.0,70.0,68.0,67.0
122,3180.455618,65.0,255.0,24.0,69.0,70.0,70.0,72.0,72.0,70.0,72.0,71.0,69.0,67.0
123,3181.455572,65.0,255.0,24.0,70.0,70.0,70.0,71.0,72.0,70.0,71.0,70.0,68.0,67.0
124,3182.455787,65.0,255.0,26.0,70.0,70.0,71.0,72.0,72.0,71.0,72.0,71.0,69.0,67.0
125,3183.455786,65.0,255.0,25.0,70.0,71.0,70.0,72.0,72.0,71.0,72.0,71.0,70.0,67.0
126,3184.455614,65.0,255.0,25.0,69.0,70.0,70.0,71.0,72.0,70.0,72.0,70.0,69.0,67.0
127,3185.455805,65.0,255.0,26.0,70.0,71.0,71.0,72.0,72.0,71.0,72.0,71.0,70.0,68.0
128,3186.45639,65.0,255.0,26.0,70.0,71.0,71.0,72.0,72.0,71.0,72.0,71.0,69.0,68.0
129,3187.455694,65.0,255.0,25.0,70.0,70.0,70.0,72.0,72.0,71.0,72.0,71.0,69.0,67.0
130,3188.455173,67.0,255.0,26.0,71.0,71.0,71.0,72.0,73.0,71.0,72.0,71.0,70.0,68.0
131,3189.454668,67.0,255.0,26.0,71.0,71.0,72.0,73.0,73.0,71.0,73.0,71.0,69.0,67.0
132,3190.455518,67.0,255.0,27.0,70.0,71.0,71.0,72.0,73.0,71.0,72.0,71.0,69.0,67.0
133,3191.455636,67.0,255.0,27.0,71.0,71.0,71.0,73.0,73.0,71.0,73.0,71.0,70.0,67.0
134,3192.454718,67.0,255.0,27.0,71.0,71.0,71.0,73.0,73.0,72.0,73.0,71.0,70.0,68.0
135,3193.455502,67.0,255.0,27.0,70.0,71.0,71.0,72.0,73.0,71.0,72.0,71.0,69.0,67.0
136,3194.457008,67.0,255.0,28.0,70.0,71.0,71.0,72.0,73.0,71.0,72.0,71.0,69.0,67.0
137,3195.457635,67.0,255.0,28.0,71.0,71.0,71.0,73.0,73.0,71.0,73.0,72.0,70.0,68.0
138,3196.458279,67.0,255.0,28.0,71.0,71.0,71.0,73.0,73.0,71.0,73.0,72.0,70.0,68.0
139,3197.458169,67.0,255.0,28.0,71.0,72.0,71.0,74.0,74.0,72.0,73.0,72.0,70.0,68.0
140,3198.456582,70.0,255.0,28.0,70.0,71.0,71.0,72.0,72.0,71.0,72.0,71.0,70.0,67.0
141,3199.455503,70.0,255.0,28.0,71.0,71.0,71.0,73.0,74.0,71.0,73.0,71.0,70.0,67.0
142,3200.456499,70.0,255.0,29.0,71.0,71.0,71.0,73.0,73.0,71.0,73.0,72.0,70.0,68.0
143,3201.455894,70.0,255.0,29.0,71.0,71.0,71.0,73.0,73.0,71.0,73.0,72.0,70.0,68.0
144,3202.457395,70.0,255.0,30.0,71.0,72.0,72.0,74.0,74.0,72.0,73.0,72.0,71.0,68.0
145,3203.4571,70.0,255.0,31.0,71.0,72.0,72.0,74.0,74.0,72.0,74.0,73.0,72.0,69.0
146,3204.456119,70.0,255.0,31.0,71.0,72.0,72.0,73.0,74.0,72.0,73.0,72.0,71.0,69.0
147,3205.457074,70.0,255.0,31.0,71.0,71.0,71.0,73.0,73.0,72.0,73.0,72.0,71.0,68.0
148,3206.456685,70.0,255.0,32.0,71.0,71.0,72.0,73.0,73.0,71.0,73.0,72.0,70.0,68.0
