,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,9.0
8,23.0
9,23.0
10,23.0
11,23.0
12,22.0
13,31.0
14,23.0
15,26.0
16,50.0
17,56.0
18,56.0
19,57.0
20,56.0
21,57.0
22,57.0
23,52.0
24,81.0
25,85.0
26,85.0
27,84.0
28,94.0
29,84.0
30,84.0
31,102.0
32,105.0
33,102.0
34,101.0
35,103.0
36,103.0
37,103.0
38,103.0
39,143.0
40,140.0
41,139.0
42,143.0
43,141.0
44,142.0
45,141.0
46,141.0
47,168.0
48,172.0
49,0.0
50,144.0
51,192.0
52,209.0
53,178.0
54,189.0
55,155.0
56,128.0
57,151.0
58,165.0
59,154.0
60,150.0
61,156.0
62,158.0
63,135.0
64,115.0
65,117.0
66,118.0
67,119.0
68,118.0
69,118.0
70,118.0
71,113.0
72,95.0
73,100.0
74,98.0
75,98.0
76,98.0
77,98.0
78,79.0
79,56.0
80,62.0
81,62.0
82,62.0
83,63.0
84,62.0
85,62.0
86,45.0
87,25.0
88,28.0
89,24.0
90,25.0
91,24.0
92,24.0
93,25.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
