,0,1,2,3,4,5,6,7,8,9,10,11,,0.098039216,9.803921569,,
0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,
1,52,67,55,58,63,67,64,64,67,61,57,62,,1.31372549,52.54901961,38.57421875,16.6015625
2,53,69,58,56,63,67,64,64,67,62,57,65,,1.31372549,52.54901961,38.57421875,11.71875
3,57,76,58,64,63,67,65,65,67,62,57,63,,1.31372549,52.54901961,38.57421875,31.25
4,52,74,58,57,64,67,66,63,67,63,57,62,,1.31372549,52.54901961,38.57421875,14.16015625
5,51,77,59,59,64,67,66,66,67,65,57,62,,1.31372549,52.54901961,38.57421875,19.04296875
6,52,74,56,60,64,67,66,63,67,59,57,63,,1.31372549,52.54901961,38.57421875,21.484375
7,51,77,60,59,65,67,67,65,68,61,57,59,,1.31372549,52.54901961,38.57421875,19.04296875
8,51,78,58,54,65,68,67,63,67,58,57,66,,1.333333333,53.33333333,41.015625,6.8359375
9,53,92,59,57,65,67,67,66,67,60,57,60,,1.31372549,52.54901961,38.57421875,14.16015625
10,52,90,60,52,66,67,65,65,68,59,57,57,,1.31372549,52.54901961,38.57421875,1.953125
11,52,94,62,55,67,67,65,66,67,61,57,61,,1.31372549,52.54901961,38.57421875,9.27734375
12,52,83,62,53,66,68,67,66,67,61,57,63,,1.333333333,53.33333333,41.015625,4.39453125
13,52,78,66,55,65,67,67,68,68,61,57,62,,1.31372549,52.54901961,38.57421875,9.27734375
14,52,92,65,51,66,67,68,65,67,59,56,60,,1.31372549,52.54901961,38.57421875,-0.48828125
15,52,88,71,57,66,68,67,65,68,60,57,65,,1.333333333,53.33333333,41.015625,14.16015625
16,52,91,70,64,66,67,66,65,68,60,57,60,,1.31372549,52.54901961,38.57421875,31.25
17,52,88,63,56,66,67,67,67,67,61,57,62,,1.31372549,52.54901961,38.57421875,11.71875
18,51,88,68,62,66,67,64,66,67,59,57,62,,1.31372549,52.54901961,38.57421875,26.3671875
19,52,92,71,55,66,68,66,65,67,60,57,56,,1.333333333,53.33333333,41.015625,9.27734375
20,51,89,70,57,73,68,67,66,67,65,57,62,,1.333333333,53.33333333,41.015625,14.16015625
21,52,89,70,59,70,68,67,66,67,62,57,58,,1.333333333,53.33333333,41.015625,19.04296875
22,52,87,67,59,65,68,67,66,67,65,56,62,,1.333333333,53.33333333,41.015625,19.04296875
23,53,97,71,58,72,67,66,65,68,59,57,57,,1.31372549,52.54901961,38.57421875,16.6015625
24,53,92,71,62,72,69,67,67,68,62,57,61,,1.352941176,54.11764706,43.45703125,26.3671875
25,52,92,72,64,71,68,67,67,68,63,56,61,,1.333333333,53.33333333,41.015625,31.25
26,52,90,72,58,69,73,67,68,68,62,57,61,,1.431372549,57.25490196,53.22265625,16.6015625
27,53,90,73,67,75,75,67,66,68,62,57,59,,1.470588235,58.82352941,58.10546875,38.57421875
28,52,88,71,57,72,74,67,65,67,62,57,59,,1.450980392,58.03921569,55.6640625,14.16015625
29,53,87,72,61,78,72,70,66,69,58,57,59,,1.411764706,56.47058824,50.78125,23.92578125
30,54,87,70,65,81,69,70,67,68,61,57,57,,1.352941176,54.11764706,43.45703125,33.69140625
31,53,86,71,64,83,80,73,67,68,59,57,61,,1.568627451,62.74509804,70.3125,31.25
32,54,85,69,63,84,86,75,67,68,61,57,58,,1.68627451,67.45098039,84.9609375,28.80859375
33,54,84,67,66,88,87,73,67,67,59,57,62,,1.705882353,68.23529412,87.40234375,36.1328125
34,54,81,60,66,84,85,82,68,67,60,57,61,,1.666666667,66.66666667,82.51953125,36.1328125
35,54,81,62,61,76,82,81,72,68,63,57,57,,1.607843137,64.31372549,75.1953125,23.92578125
36,55,80,56,67,85,83,77,65,68,62,57,62,,1.62745098,65.09803922,77.63671875,38.57421875
37,55,79,55,60,82,84,77,70,67,64,57,62,,1.647058824,65.88235294,80.078125,21.484375
38,55,77,58,65,80,86,77,73,66,60,56,60,,1.68627451,67.45098039,84.9609375,33.69140625
39,55,77,53,63,74,97,83,73,66,63,57,66,,1.901960784,76.07843137,111.8164063,28.80859375
40,56,75,59,62,80,95,87,73,72,61,56,59,,1.862745098,74.50980392,106.9335938,26.3671875
41,56,74,54,61,75,98,77,71,71,60,57,63,,1.921568627,76.8627451,114.2578125,23.92578125
42,56,74,59,61,81,82,87,74,72,63,56,60,,1.607843137,64.31372549,75.1953125,23.92578125
43,56,74,57,58,80,89,82,78,70,63,57,58,,1.745098039,69.80392157,92.28515625,16.6015625
