,0,1
0,0.0,0.0
1,1.0,52.0
2,2.0,52.4
3,3.0,52.6
4,4.0,52.4
5,5.0,51.8
6,6.0,52.2
7,7.0,52.4
8,8.0,52.0
9,9.0,52.4
10,10.0,52.8
11,11.0,53.0
12,12.0,52.0
13,13.0,52.0
14,14.0,52.8
15,15.0,52.4
16,16.0,52.4
17,17.0,52.4
18,18.0,53.4
19,19.0,53.8
20,20.0,52.6
21,21.0,53.4
22,22.0,52.8
23,23.0,53.8
24,24.0,52.6
25,25.0,53.2
26,26.0,53.2
27,27.0,52.8
28,28.0,52.4
29,29.0,53.4
30,30.0,53.8
31,31.0,53.4
32,32.0,53.2
33,33.0,52.2
34,34.0,52.0
35,35.0,53.2
36,36.0,52.4
37,37.0,52.8
38,38.0,52.4
39,39.0,52.8
40,40.0,53.2
41,41.0,53.2
42,42.0,52.0
43,43.0,52.8
44,44.0,52.2
45,45.0,53.8
46,46.0,53.0
47,47.0,52.8
48,48.0,53.2
49,49.0,52.8
50,50.0,52.4
51,51.0,52.8
