,0,1,2
0,0,0,0
1,1,277.884566,73
2,2,295.909737,72.2
3,3,313.882101,72.6
4,4,331.883651,71.6
5,5,349.903726,71.2
6,6,367.890561,72.6
7,7,385.885053,71.4
8,8,403.881259,71.6
9,9,421.901978,71.6
10,10,439.888451,71.8
11,11,457.874964,72
12,12,475.875435,72.8
13,13,493.888461,72.8
14,14,511.893684,71.8
15,15,529.896343,72
16,16,547.882949,72.2
17,17,565.912515,73.2
18,18,583.895103,71.2
19,19,601.88321,71.6
20,20,619.912029,72.4
21,21,637.907149,72.2
22,22,655.879601,72.4
23,23,673.907775,71.6
24,24,691.906058,72.2
25,25,709.891961,71.4
26,26,727.91699,71.8
27,27,745.890524,70.6
28,28,763.890929,72.4
29,29,781.899381,72.2
30,30,799.884618,72.8
31,31,817.884921,72.2
32,32,835.896623,72.6
33,33,853.894223,72.2
34,34,871.876014,72.6
35,35,889.893885,72.4
36,36,907.876612,72.4
37,37,925.877123,72.8
38,38,943.879886,72
39,39,961.882824,72
40,40,979.876376,72.4
41,41,997.882565,72.2
42,42,1015.892643,71.6
43,43,1033.882526,71.8
44,44,1051.876399,71.4
45,45,1069.879939,72
46,46,1087.878254,72.2
47,47,1105.876277,72.4
48,48,1123.880866,72
49,49,1141.876157,72.4
50,50,1159.888788,72.4
