,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,97.0,66.0,56.0,50.0,63.0,66.0,66.0,64.0,65.0,60.0,56.0,63.0
2,59.0,68.0,61.0,58.0,64.0,66.0,65.0,63.0,66.0,58.0,56.0,62.0
3,55.0,66.0,60.0,56.0,64.0,66.0,64.0,61.0,66.0,59.0,56.0,65.0
4,55.0,74.0,61.0,56.0,63.0,66.0,65.0,63.0,66.0,57.0,56.0,61.0
5,54.0,83.0,58.0,60.0,63.0,67.0,67.0,66.0,66.0,60.0,56.0,63.0
6,52.0,84.0,59.0,55.0,65.0,67.0,65.0,61.0,66.0,60.0,56.0,62.0
7,51.0,86.0,58.0,61.0,64.0,67.0,64.0,61.0,66.0,61.0,56.0,62.0
8,52.0,83.0,60.0,58.0,64.0,67.0,66.0,63.0,66.0,61.0,56.0,61.0
9,51.0,87.0,57.0,59.0,65.0,68.0,66.0,62.0,66.0,63.0,56.0,60.0
10,50.0,84.0,64.0,59.0,64.0,66.0,67.0,63.0,66.0,61.0,56.0,62.0
11,52.0,87.0,62.0,57.0,64.0,66.0,67.0,63.0,66.0,62.0,55.0,61.0
12,51.0,89.0,66.0,55.0,65.0,66.0,66.0,64.0,66.0,61.0,56.0,63.0
13,52.0,102.0,63.0,57.0,65.0,68.0,66.0,66.0,66.0,61.0,56.0,63.0
14,52.0,102.0,71.0,51.0,66.0,68.0,66.0,65.0,66.0,61.0,55.0,63.0
15,53.0,96.0,70.0,57.0,66.0,67.0,65.0,63.0,66.0,60.0,55.0,62.0
16,51.0,94.0,72.0,57.0,66.0,67.0,65.0,63.0,66.0,61.0,56.0,61.0
17,51.0,93.0,71.0,55.0,66.0,67.0,67.0,63.0,66.0,62.0,55.0,61.0
18,52.0,97.0,69.0,54.0,66.0,67.0,66.0,63.0,66.0,62.0,56.0,63.0
19,49.0,94.0,73.0,59.0,66.0,67.0,66.0,63.0,66.0,61.0,56.0,62.0
20,50.0,94.0,75.0,57.0,67.0,68.0,66.0,63.0,67.0,59.0,56.0,61.0
21,50.0,89.0,76.0,61.0,68.0,68.0,67.0,63.0,67.0,58.0,56.0,61.0
22,51.0,99.0,75.0,58.0,67.0,67.0,67.0,61.0,66.0,59.0,56.0,59.0
23,50.0,100.0,73.0,59.0,69.0,67.0,67.0,63.0,67.0,60.0,56.0,62.0
24,52.0,107.0,80.0,62.0,74.0,68.0,68.0,63.0,68.0,61.0,56.0,63.0
25,51.0,101.0,77.0,60.0,74.0,71.0,67.0,65.0,67.0,64.0,56.0,63.0
26,52.0,100.0,81.0,58.0,75.0,74.0,67.0,64.0,67.0,61.0,56.0,64.0
27,52.0,99.0,76.0,63.0,79.0,73.0,67.0,64.0,66.0,62.0,56.0,63.0
28,53.0,97.0,79.0,61.0,85.0,79.0,67.0,63.0,67.0,60.0,56.0,62.0
29,50.0,96.0,75.0,61.0,91.0,69.0,68.0,65.0,66.0,60.0,56.0,60.0
30,51.0,95.0,75.0,58.0,89.0,76.0,71.0,64.0,67.0,60.0,56.0,61.0
