,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,100.0,220.0,255.0,243.0,255.0,255.0,255.0,255.0,248.0,255.0,255.0,0.0
2,19.0,225.0,255.0,243.0,255.0,255.0,254.0,249.0,230.0,242.0,255.0,0.0
3,9.0,218.0,253.0,238.0,251.0,253.0,255.0,255.0,254.0,255.0,255.0,0.0
4,6.0,227.0,255.0,250.0,255.0,255.0,249.0,246.0,247.0,251.0,255.0,0.0
5,7.0,215.0,255.0,255.0,255.0,255.0,255.0,255.0,249.0,255.0,247.0,0.0
6,7.0,213.0,249.0,225.0,238.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
7,5.0,222.0,255.0,222.0,253.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
8,4.0,226.0,255.0,254.0,255.0,255.0,254.0,249.0,240.0,241.0,255.0,0.0
9,6.0,213.0,255.0,229.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
10,6.0,210.0,246.0,218.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
11,4.0,220.0,253.0,230.0,251.0,248.0,239.0,239.0,255.0,255.0,255.0,0.0
12,3.0,231.0,255.0,236.0,255.0,253.0,250.0,252.0,245.0,255.0,255.0,0.0
13,6.0,207.0,251.0,231.0,255.0,255.0,255.0,255.0,255.0,254.0,250.0,0.0
14,6.0,217.0,255.0,231.0,243.0,249.0,255.0,255.0,255.0,255.0,255.0,0.0
15,4.0,232.0,255.0,214.0,248.0,247.0,250.0,255.0,255.0,255.0,255.0,0.0
16,3.0,218.0,255.0,240.0,255.0,255.0,255.0,255.0,249.0,255.0,255.0,0.0
17,6.0,206.0,255.0,241.0,255.0,255.0,255.0,255.0,255.0,251.0,247.0,0.0
18,5.0,215.0,243.0,225.0,255.0,255.0,255.0,255.0,248.0,255.0,255.0,0.0
19,4.0,216.0,255.0,236.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
20,5.0,219.0,255.0,245.0,255.0,247.0,243.0,255.0,255.0,255.0,255.0,0.0
21,4.0,208.0,255.0,244.0,255.0,239.0,239.0,255.0,255.0,249.0,244.0,0.0
22,6.0,220.0,255.0,230.0,252.0,251.0,244.0,249.0,255.0,255.0,255.0,0.0
23,3.0,225.0,255.0,233.0,245.0,250.0,253.0,255.0,255.0,255.0,255.0,0.0
24,3.0,212.0,255.0,243.0,255.0,255.0,255.0,255.0,255.0,254.0,253.0,0.0
25,6.0,215.0,255.0,237.0,244.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
26,6.0,237.0,255.0,255.0,255.0,250.0,247.0,250.0,255.0,255.0,255.0,0.0
27,3.0,221.0,255.0,255.0,255.0,255.0,255.0,255.0,247.0,248.0,255.0,0.0
