,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,114.0,208.0,255.0,236.0,255.0,255.0,255.0,255.0,251.0,252.0,255.0,0.0
2,27.0,226.0,255.0,224.0,249.0,253.0,255.0,255.0,238.0,255.0,255.0,0.0
3,12.0,225.0,255.0,237.0,255.0,255.0,253.0,244.0,231.0,255.0,255.0,0.0
4,8.0,205.0,242.0,222.0,255.0,255.0,255.0,255.0,235.0,250.0,248.0,0.0
5,10.0,212.0,245.0,232.0,253.0,255.0,255.0,255.0,247.0,255.0,255.0,0.0
6,10.0,220.0,255.0,219.0,255.0,255.0,247.0,245.0,255.0,255.0,255.0,0.0
7,6.0,225.0,255.0,237.0,255.0,255.0,255.0,250.0,221.0,249.0,255.0,0.0
8,6.0,211.0,252.0,232.0,255.0,255.0,255.0,255.0,242.0,254.0,254.0,0.0
9,8.0,215.0,252.0,202.0,243.0,245.0,255.0,255.0,253.0,255.0,255.0,0.0
10,8.0,213.0,244.0,211.0,253.0,255.0,255.0,255.0,236.0,255.0,255.0,0.0
11,6.0,223.0,255.0,229.0,252.0,254.0,247.0,242.0,231.0,255.0,255.0,0.0
12,5.0,206.0,236.0,210.0,255.0,255.0,255.0,255.0,249.0,251.0,248.0,0.0
13,8.0,213.0,254.0,226.0,251.0,255.0,255.0,255.0,239.0,255.0,255.0,0.0
14,8.0,223.0,252.0,226.0,253.0,254.0,247.0,241.0,233.0,255.0,255.0,0.0
15,5.0,222.0,255.0,249.0,255.0,255.0,255.0,253.0,215.0,253.0,255.0,0.0
16,5.0,212.0,255.0,237.0,255.0,255.0,255.0,255.0,251.0,253.0,253.0,0.0
17,8.0,216.0,255.0,215.0,244.0,246.0,255.0,255.0,250.0,255.0,255.0,0.0
18,6.0,233.0,255.0,243.0,253.0,251.0,250.0,252.0,244.0,255.0,255.0,0.0
19,5.0,221.0,255.0,226.0,255.0,255.0,255.0,254.0,223.0,244.0,242.0,0.0
20,4.0,217.0,255.0,222.0,255.0,255.0,255.0,255.0,247.0,254.0,255.0,0.0
21,7.0,212.0,255.0,255.0,255.0,255.0,255.0,255.0,237.0,255.0,255.0,0.0
22,8.0,225.0,255.0,211.0,255.0,255.0,251.0,243.0,229.0,255.0,255.0,0.0
23,5.0,213.0,255.0,255.0,255.0,255.0,255.0,253.0,241.0,248.0,252.0,0.0
24,4.0,210.0,255.0,245.0,255.0,255.0,255.0,255.0,241.0,254.0,253.0,0.0
25,7.0,214.0,255.0,233.0,244.0,252.0,255.0,255.0,251.0,255.0,255.0,0.0
26,9.0,236.0,255.0,255.0,255.0,255.0,247.0,251.0,237.0,255.0,255.0,0.0
27,5.0,220.0,255.0,253.0,255.0,255.0,255.0,255.0,255.0,254.0,248.0,0.0
28,6.0,212.0,255.0,255.0,255.0,255.0,255.0,255.0,240.0,255.0,253.0,0.0
29,8.0,219.0,255.0,238.0,255.0,255.0,255.0,255.0,251.0,255.0,255.0,0.0
30,10.0,223.0,255.0,255.0,255.0,255.0,255.0,246.0,220.0,255.0,255.0,0.0
31,4.0,213.0,255.0,255.0,255.0,255.0,255.0,253.0,242.0,249.0,251.0,0.0
32,4.0,219.0,255.0,255.0,255.0,255.0,255.0,255.0,241.0,245.0,243.0,0.0
33,6.0,213.0,255.0,255.0,255.0,255.0,255.0,255.0,249.0,255.0,255.0,0.0
34,8.0,217.0,255.0,255.0,255.0,247.0,255.0,255.0,248.0,255.0,255.0,0.0
35,6.0,223.0,255.0,255.0,255.0,255.0,255.0,244.0,236.0,255.0,255.0,0.0
36,3.0,213.0,255.0,255.0,255.0,255.0,255.0,255.0,228.0,248.0,251.0,0.0
