,0,1
0,0.0,0.0
1,1.0,34.2
2,2.0,33.2
3,3.0,34.2
4,4.0,33.8
5,5.0,33.8
6,6.0,34.2
7,7.0,34.2
8,8.0,33.8
9,9.0,33.6
10,10.0,33.6
11,11.0,34.2
12,12.0,33.4
13,13.0,33.4
14,14.0,34.0
15,15.0,33.6
16,16.0,33.0
17,17.0,33.2
18,18.0,34.0
19,19.0,34.0
20,20.0,33.4
21,21.0,33.8
22,22.0,33.6
23,23.0,34.2
24,24.0,33.6
25,25.0,33.2
26,26.0,34.4
27,27.0,34.2
28,28.0,33.0
29,29.0,33.6
30,30.0,34.8
31,31.0,34.4
32,32.0,33.2
33,33.0,34.4
34,34.0,33.8
35,35.0,34.6
36,36.0,33.2
37,37.0,33.2
38,38.0,33.8
39,39.0,34.2
40,40.0,33.4
41,41.0,33.8
42,42.0,33.4
43,43.0,33.2
44,44.0,33.8
45,45.0,34.6
46,46.0,33.6
47,47.0,34.2
48,48.0,33.4
49,49.0,33.2
50,50.0,34.0
51,51.0,34.0
52,52.0,33.0
53,53.0,33.2
54,54.0,33.2
55,55.0,33.4
56,56.0,34.2
57,57.0,34.2
58,58.0,34.0
59,59.0,34.4
