,0,1
0,0.0,0.0
1,1.0,40.2
2,2.0,39.2
3,3.0,40.2
4,4.0,38.8
5,5.0,39.2
6,6.0,40.2
7,7.0,38.6
8,8.0,39.6
9,9.0,37.6
10,10.0,38.4
11,11.0,38.2
12,12.0,38.4
13,13.0,38.0
14,14.0,38.6
15,15.0,39.0
16,16.0,36.8
17,17.0,38.0
18,18.0,37.6
19,19.0,38.2
20,20.0,38.6
21,21.0,37.6
22,22.0,38.2
23,23.0,36.0
24,24.0,39.0
25,25.0,37.4
26,26.0,37.2
27,27.0,38.8
28,28.0,38.2
29,29.0,38.0
30,30.0,38.2
31,31.0,38.2
32,32.0,36.6
33,33.0,37.8
34,34.0,38.6
35,35.0,38.4
36,36.0,38.4
37,37.0,37.8
38,38.0,37.8
39,39.0,38.0
40,40.0,38.2
41,41.0,37.4
42,42.0,37.8
43,43.0,37.2
44,44.0,37.4
45,45.0,38.0
46,46.0,38.6
47,47.0,38.4
48,48.0,38.2
49,49.0,38.0
50,50.0,37.4
51,51.0,37.4
52,52.0,36.6
53,53.0,37.2
54,54.0,38.0
55,55.0,37.4
56,56.0,38.8
57,57.0,37.6
58,58.0,38.6
59,59.0,36.8
60,60.0,37.8
61,61.0,37.8
62,62.0,38.6
63,63.0,37.6
64,64.0,38.0
65,65.0,37.8
66,66.0,38.4
67,67.0,38.4
68,68.0,37.6
69,69.0,38.4
70,70.0,38.6
71,71.0,38.2
