,0,1
0,0.0,0.0
1,1.0,31.0
2,2.0,30.2
3,3.0,30.8
4,4.0,30.4
5,5.0,31.4
6,6.0,30.4
7,7.0,30.8
8,8.0,30.6
9,9.0,31.2
10,10.0,30.6
11,11.0,30.4
12,12.0,29.8
13,13.0,30.6
14,14.0,30.2
15,15.0,30.0
16,16.0,29.8
17,17.0,30.0
18,18.0,29.8
19,19.0,30.6
20,20.0,31.0
21,21.0,30.8
22,22.0,30.0
23,23.0,30.6
24,24.0,30.6
25,25.0,30.4
26,26.0,30.4
27,27.0,30.0
28,28.0,30.2
29,29.0,29.6
30,30.0,30.4
31,31.0,30.0
32,32.0,29.8
33,33.0,31.0
34,34.0,29.2
35,35.0,30.2
36,36.0,30.4
37,37.0,29.8
38,38.0,30.2
39,39.0,29.6
40,40.0,29.4
41,41.0,30.0
42,42.0,30.0
43,43.0,30.4
44,44.0,30.8
45,45.0,30.4
46,46.0,30.0
47,47.0,29.8
48,48.0,30.0
49,49.0,29.8
50,50.0,29.8
51,51.0,30.4
52,52.0,29.8
53,53.0,30.2
54,54.0,30.0
55,55.0,29.6
56,56.0,29.8
57,57.0,29.8
58,58.0,29.6
59,59.0,30.6
60,60.0,30.4
61,61.0,29.8
62,62.0,30.6
63,63.0,29.4
64,64.0,29.6
