,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,112.0,216.0,248.0,218.0,227.0,250.0,255.0,255.0,253.0,255.0,252.0,0.0
2,25.0,238.0,255.0,217.0,253.0,247.0,250.0,255.0,246.0,255.0,255.0,0.0
3,13.0,236.0,255.0,249.0,242.0,244.0,248.0,251.0,228.0,255.0,255.0,0.0
4,14.0,233.0,255.0,248.0,238.0,238.0,247.0,247.0,242.0,255.0,255.0,0.0
5,7.0,233.0,255.0,246.0,236.0,238.0,249.0,247.0,216.0,255.0,255.0,0.0
6,9.0,224.0,255.0,237.0,241.0,248.0,254.0,249.0,245.0,253.0,255.0,0.0
7,9.0,221.0,255.0,248.0,252.0,255.0,255.0,251.0,229.0,249.0,255.0,0.0
8,5.0,207.0,255.0,244.0,255.0,255.0,255.0,255.0,231.0,248.0,249.0,0.0
9,10.0,207.0,255.0,229.0,252.0,255.0,255.0,255.0,234.0,246.0,250.0,0.0
10,8.0,208.0,241.0,227.0,222.0,255.0,255.0,255.0,246.0,247.0,247.0,0.0
11,6.0,215.0,241.0,218.0,249.0,255.0,255.0,255.0,248.0,253.0,247.0,0.0
12,10.0,219.0,255.0,221.0,234.0,235.0,245.0,255.0,255.0,255.0,255.0,0.0
13,8.0,223.0,255.0,225.0,226.0,251.0,247.0,243.0,215.0,255.0,255.0,0.0
14,6.0,227.0,255.0,241.0,226.0,253.0,252.0,244.0,237.0,255.0,255.0,0.0
15,10.0,227.0,255.0,229.0,240.0,251.0,255.0,248.0,223.0,246.0,255.0,0.0
16,6.0,227.0,255.0,247.0,254.0,246.0,255.0,254.0,227.0,242.0,253.0,0.0
17,7.0,225.0,255.0,255.0,244.0,246.0,255.0,254.0,231.0,243.0,243.0,0.0
18,10.0,220.0,255.0,255.0,244.0,249.0,255.0,255.0,246.0,250.0,243.0,0.0
19,5.0,227.0,255.0,255.0,240.0,243.0,254.0,249.0,231.0,241.0,255.0,0.0
20,9.0,226.0,255.0,255.0,255.0,249.0,255.0,255.0,222.0,242.0,255.0,0.0
21,8.0,214.0,255.0,255.0,255.0,255.0,255.0,255.0,245.0,252.0,251.0,0.0
22,4.0,211.0,255.0,249.0,255.0,255.0,255.0,255.0,227.0,255.0,254.0,0.0
