,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
2,64.0,251.0,255.0,255.0,255.0,255.0,255.0,255.0,252.0,255.0,255.0,0.0
3,33.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,247.0,250.0,255.0,0.0
4,27.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
5,24.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
6,21.0,245.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
7,19.0,237.0,241.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
8,15.0,251.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
9,20.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
10,15.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,254.0,255.0,255.0,0.0
11,20.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
12,18.0,252.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
13,16.0,244.0,255.0,255.0,255.0,255.0,255.0,255.0,253.0,255.0,255.0,0.0
14,15.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
15,14.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
16,13.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
17,15.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
18,19.0,249.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
19,15.0,241.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
20,16.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,246.0,255.0,255.0,0.0
21,13.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
22,13.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
23,14.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
24,13.0,233.0,255.0,255.0,255.0,255.0,255.0,255.0,253.0,255.0,255.0,0.0
25,16.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,245.0,237.0,255.0,0.0
26,17.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,247.0,255.0,255.0,0.0
27,14.0,239.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
28,11.0,246.0,255.0,255.0,255.0,255.0,255.0,255.0,231.0,251.0,255.0,0.0
29,10.0,238.0,255.0,255.0,255.0,255.0,255.0,255.0,247.0,253.0,255.0,0.0
30,12.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,237.0,255.0,0.0
31,14.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
32,16.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
33,16.0,251.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
34,12.0,234.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
35,11.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,244.0,246.0,255.0,0.0
36,11.0,243.0,255.0,255.0,255.0,255.0,255.0,255.0,242.0,244.0,255.0,0.0
37,14.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,243.0,246.0,255.0,0.0
38,16.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
39,15.0,251.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
40,14.0,244.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
41,14.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
42,10.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,235.0,253.0,255.0,0.0
43,13.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
44,15.0,244.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
45,16.0,237.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
46,14.0,239.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
47,14.0,254.0,255.0,255.0,255.0,255.0,255.0,255.0,247.0,255.0,255.0,0.0
48,10.0,248.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
49,11.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,241.0,255.0,255.0,0.0
50,14.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
51,15.0,243.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0
