,0,1
0,0.0,0.0
1,1.0,30.8
2,2.0,31.2
3,3.0,30.0
4,4.0,30.6
5,5.0,30.6
6,6.0,31.0
7,7.0,30.0
8,8.0,30.2
9,9.0,30.6
10,10.0,31.6
11,11.0,31.6
12,12.0,30.4
13,13.0,31.4
14,14.0,30.8
15,15.0,30.8
16,16.0,31.0
17,17.0,31.2
18,18.0,30.8
19,19.0,30.6
20,20.0,30.8
21,21.0,31.4
22,22.0,31.2
23,23.0,31.2
24,24.0,30.4
25,25.0,30.8
26,26.0,30.4
27,27.0,30.4
28,28.0,30.0
29,29.0,30.8
30,30.0,31.2
31,31.0,31.6
32,32.0,30.6
33,33.0,31.4
34,34.0,29.8
35,35.0,30.2
36,36.0,31.8
37,37.0,30.8
38,38.0,30.4
39,39.0,30.8
40,40.0,31.0
41,41.0,30.4
