,0,1
0,0.0,0.0
1,1.0,39.4
2,2.0,37.8
3,3.0,38.0
4,4.0,37.8
5,5.0,38.8
6,6.0,38.6
7,7.0,38.4
8,8.0,38.4
9,9.0,38.4
10,10.0,39.2
11,11.0,39.4
12,12.0,38.6
13,13.0,38.2
14,14.0,38.6
15,15.0,38.8
16,16.0,37.8
17,17.0,38.8
18,18.0,38.4
19,19.0,39.2
20,20.0,39.4
21,21.0,39.6
22,22.0,40.0
23,23.0,40.0
24,24.0,39.6
25,25.0,39.6
26,26.0,40.0
27,27.0,38.8
28,28.0,40.2
29,29.0,40.2
30,30.0,40.6
31,31.0,41.4
32,32.0,40.4
33,33.0,40.6
34,34.0,40.8
35,35.0,40.8
36,36.0,41.8
37,37.0,42.2
38,38.0,42.0
39,39.0,41.0
40,40.0,43.0
41,41.0,42.0
42,42.0,42.4
43,43.0,42.4
44,44.0,43.4
45,45.0,42.6
46,46.0,43.2
47,47.0,43.8
48,48.0,44.6
49,49.0,43.8
50,50.0,44.0
51,51.0,43.8
52,52.0,44.4
53,53.0,44.6
54,54.0,44.4
55,55.0,45.8
56,56.0,45.2
57,57.0,45.4
58,58.0,45.2
59,59.0,45.6
60,60.0,46.0
61,61.0,46.2
62,62.0,46.8
63,63.0,46.4
64,64.0,47.8
65,65.0,47.4
66,66.0,47.2
67,67.0,46.4
68,68.0,47.8
69,69.0,48.0
70,70.0,48.2
71,71.0,46.8
72,72.0,48.2
73,73.0,48.2
74,74.0,48.0
75,75.0,48.6
76,76.0,48.4
77,77.0,49.0
78,78.0,49.8
79,79.0,49.2
80,80.0,49.4
81,81.0,49.4
82,82.0,49.8
83,83.0,50.6
84,84.0,50.8
85,85.0,50.8
86,86.0,51.0
87,87.0,51.4
88,88.0,51.8
89,89.0,51.8
90,90.0,52.8
91,91.0,51.6
92,92.0,52.0
93,93.0,52.8
94,94.0,52.6
95,95.0,53.6
96,96.0,53.2
97,97.0,55.2
98,98.0,54.6
99,99.0,54.0
100,100.0,54.2
101,101.0,55.0
102,102.0,55.6
103,103.0,56.2
104,104.0,55.4
105,105.0,56.0
106,106.0,55.6
107,107.0,57.0
108,108.0,56.4
109,109.0,57.2
110,110.0,57.6
111,111.0,58.2
112,112.0,58.4
113,113.0,58.4
114,114.0,58.8
115,115.0,59.2
116,116.0,59.0
117,117.0,58.6
118,118.0,59.0
119,119.0,60.4
120,120.0,60.2
121,121.0,61.0
122,122.0,60.8
123,123.0,60.2
124,124.0,60.8
125,125.0,61.6
126,126.0,61.4
127,127.0,63.0
128,128.0,62.4
129,129.0,62.4
130,130.0,63.2
131,131.0,63.6
132,132.0,63.4
133,133.0,63.4
134,134.0,63.2
135,135.0,64.0
136,136.0,64.8
137,137.0,65.6
138,138.0,65.0
139,139.0,64.6
140,140.0,64.4
141,141.0,64.6
142,142.0,65.6
143,143.0,65.0
144,144.0,65.0
145,145.0,65.4
146,146.0,66.0
147,147.0,66.2
148,148.0,65.8
149,149.0,66.2
150,150.0,66.8
151,151.0,65.4
152,152.0,66.2
153,153.0,65.8
154,154.0,67.2
155,155.0,67.0
156,156.0,67.4
157,157.0,68.0
158,158.0,68.4
159,159.0,67.6
160,160.0,68.8
161,161.0,68.6
162,162.0,67.8
163,163.0,68.4
164,164.0,66.2
165,165.0,68.4
166,166.0,68.6
167,167.0,69.0
168,168.0,69.8
169,169.0,69.2
170,170.0,68.8
171,171.0,68.2
172,172.0,68.8
173,173.0,68.8
174,174.0,69.2
175,175.0,69.2
176,176.0,70.6
177,177.0,69.2
178,178.0,70.4
179,179.0,70.2
180,180.0,69.4
181,181.0,69.8
182,182.0,70.8
183,183.0,69.4
184,184.0,70.8
185,185.0,70.8
186,186.0,70.6
187,187.0,69.6
188,188.0,70.4
189,189.0,70.8
190,190.0,69.8
191,191.0,70.8
192,192.0,70.4
193,193.0,69.8
194,194.0,72.0
195,195.0,71.2
