,0,1
0,0.0,0.0
1,1.0,32.8
2,2.0,33.8
3,3.0,34.0
4,4.0,34.0
5,5.0,33.6
6,6.0,32.8
7,7.0,33.0
8,8.0,32.2
9,9.0,32.0
10,10.0,33.2
11,11.0,33.2
12,12.0,33.0
13,13.0,33.2
14,14.0,32.4
15,15.0,32.4
16,16.0,32.8
17,17.0,33.0
18,18.0,32.6
19,19.0,33.2
20,20.0,32.6
21,21.0,32.8
22,22.0,33.4
23,23.0,32.4
24,24.0,32.0
25,25.0,32.4
26,26.0,32.4
27,27.0,33.0
28,28.0,33.6
29,29.0,32.8
30,30.0,33.0
31,31.0,33.0
32,32.0,33.0
33,33.0,32.8
34,34.0,32.0
35,35.0,33.6
36,36.0,33.4
37,37.0,32.8
38,38.0,32.0
39,39.0,32.8
40,40.0,32.8
41,41.0,32.4
42,42.0,32.8
43,43.0,32.2
44,44.0,32.2
45,45.0,32.4
46,46.0,32.2
47,47.0,33.0
48,48.0,33.0
49,49.0,33.0
50,50.0,32.6
