,0,1,2
0,0.0,0.0,0.0
1,1.0,182.596775,59.0
2,2.0,198.511971,58.4
3,3.0,214.530634,58.0
4,4.0,230.525981,59.4
5,5.0,246.579004,57.4
6,6.0,262.532601,58.0
7,7.0,278.531397,59.0
8,8.0,294.538847,58.2
9,9.0,310.535071,58.6
10,10.0,326.538495,58.8
11,11.0,342.52549,58.8
12,12.0,358.532593,57.4
13,13.0,374.552241,59.2
14,14.0,390.533166,58.2
15,15.0,406.542777,59.2
16,16.0,422.568409,58.2
17,17.0,438.541906,58.0
18,18.0,454.58514,58.4
19,19.0,470.513471,58.6
20,20.0,486.52847,58.4
21,21.0,502.522933,60.4
22,22.0,518.512518,59.4
23,23.0,534.515992,59.4
24,24.0,550.5407,58.8
25,25.0,566.511656,59.4
26,26.0,582.568224,57.8
27,27.0,598.542264,59.0
28,28.0,614.537589,58.8
29,29.0,630.528687,57.8
30,30.0,646.55098,59.2
31,31.0,662.528611,57.6
32,32.0,678.533002,58.6
33,33.0,694.531645,58.6
34,34.0,710.535663,59.0
35,35.0,726.519651,58.2
36,36.0,742.52083,58.0
37,37.0,758.522225,58.2
38,38.0,774.514144,57.8
39,39.0,790.567395,58.2
40,40.0,806.534926,58.2
41,41.0,822.564047,58.6
42,42.0,838.577785,57.8
43,43.0,854.542176,57.4
44,44.0,870.514733,57.6
45,45.0,886.545924,59.2
46,46.0,902.533332,57.8
47,47.0,918.533027,58.4
48,48.0,934.534224,57.4
49,49.0,950.516517,58.4
50,50.0,966.556292,57.8
51,51.0,982.527966,58.6
52,52.0,998.547133,58.0
