,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,28.0,51.0,57.0,57.0,57.0,58.0,58.0,57.0,58.0,57.0,68.0,57.0
2,27.0,31.0,56.0,57.0,57.0,57.0,57.0,56.0,57.0,56.0,68.0,57.0
3,27.0,28.0,56.0,57.0,57.0,57.0,57.0,56.0,57.0,56.0,67.0,56.0
4,27.0,26.0,56.0,57.0,57.0,57.0,57.0,56.0,57.0,56.0,67.0,56.0
5,27.0,26.0,56.0,57.0,57.0,58.0,57.0,56.0,57.0,56.0,67.0,56.0
6,27.0,25.0,57.0,57.0,57.0,58.0,59.0,57.0,57.0,57.0,68.0,57.0
7,27.0,25.0,57.0,56.0,57.0,57.0,58.0,56.0,57.0,56.0,67.0,56.0
8,27.0,26.0,56.0,57.0,57.0,57.0,58.0,56.0,57.0,56.0,67.0,56.0
9,27.0,24.0,56.0,57.0,57.0,57.0,57.0,56.0,57.0,56.0,67.0,56.0
10,27.0,24.0,56.0,57.0,57.0,58.0,57.0,56.0,57.0,56.0,68.0,57.0
11,27.0,24.0,57.0,57.0,58.0,58.0,58.0,57.0,57.0,57.0,68.0,58.0
12,27.0,24.0,56.0,57.0,57.0,58.0,58.0,56.0,57.0,56.0,68.0,56.0
13,27.0,23.0,56.0,57.0,57.0,57.0,57.0,56.0,57.0,57.0,68.0,56.0
14,28.0,24.0,58.0,58.0,59.0,58.0,58.0,57.0,58.0,57.0,68.0,57.0
15,25.0,23.0,57.0,57.0,57.0,58.0,58.0,57.0,57.0,57.0,68.0,57.0
16,27.0,24.0,58.0,57.0,57.0,58.0,58.0,57.0,57.0,57.0,68.0,57.0
17,27.0,24.0,57.0,57.0,57.0,58.0,58.0,57.0,57.0,57.0,68.0,57.0
18,31.0,24.0,56.0,57.0,57.0,57.0,58.0,57.0,58.0,58.0,68.0,57.0
19,27.0,23.0,56.0,57.0,57.0,57.0,58.0,57.0,57.0,56.0,67.0,56.0
20,27.0,23.0,56.0,57.0,57.0,57.0,58.0,56.0,57.0,56.0,68.0,56.0
21,27.0,23.0,57.0,57.0,57.0,58.0,58.0,57.0,58.0,57.0,68.0,57.0
22,27.0,23.0,56.0,57.0,57.0,57.0,57.0,56.0,57.0,56.0,67.0,56.0
23,26.0,23.0,56.0,57.0,57.0,57.0,57.0,56.0,57.0,56.0,67.0,56.0
24,27.0,24.0,56.0,57.0,57.0,57.0,57.0,56.0,57.0,56.0,67.0,56.0
25,28.0,24.0,57.0,57.0,57.0,58.0,57.0,56.0,57.0,56.0,68.0,56.0
26,28.0,23.0,56.0,57.0,57.0,57.0,57.0,56.0,57.0,56.0,68.0,57.0
27,27.0,23.0,56.0,57.0,57.0,57.0,57.0,56.0,57.0,56.0,67.0,56.0
28,27.0,23.0,56.0,57.0,57.0,57.0,58.0,56.0,57.0,56.0,68.0,56.0
29,27.0,23.0,56.0,57.0,57.0,57.0,58.0,56.0,57.0,56.0,68.0,57.0
30,27.0,23.0,56.0,57.0,57.0,57.0,58.0,56.0,57.0,56.0,68.0,56.0
31,27.0,23.0,56.0,56.0,57.0,57.0,57.0,56.0,57.0,56.0,68.0,56.0
32,27.0,23.0,56.0,57.0,57.0,57.0,58.0,56.0,57.0,56.0,67.0,57.0
33,27.0,23.0,57.0,57.0,57.0,57.0,58.0,56.0,57.0,56.0,68.0,56.0
34,27.0,23.0,56.0,57.0,57.0,57.0,57.0,56.0,57.0,56.0,67.0,56.0
