,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,24.0,87.0,68.0,62.0,68.0,71.0,68.0,71.0,72.0,69.0,70.0,63.0
2,23.0,35.0,66.0,61.0,68.0,71.0,68.0,71.0,72.0,69.0,70.0,62.0
3,25.0,36.0,66.0,62.0,67.0,72.0,68.0,71.0,72.0,69.0,70.0,62.0
4,23.0,31.0,66.0,65.0,67.0,71.0,68.0,71.0,72.0,69.0,70.0,61.0
5,24.0,31.0,66.0,63.0,67.0,71.0,68.0,71.0,72.0,68.0,70.0,62.0
6,23.0,29.0,66.0,62.0,67.0,71.0,69.0,71.0,72.0,69.0,70.0,64.0
7,25.0,30.0,66.0,63.0,67.0,71.0,68.0,71.0,72.0,69.0,71.0,61.0
8,23.0,29.0,66.0,64.0,67.0,72.0,68.0,71.0,72.0,69.0,71.0,61.0
9,24.0,29.0,66.0,64.0,67.0,71.0,68.0,71.0,71.0,69.0,70.0,61.0
10,24.0,29.0,67.0,63.0,67.0,72.0,68.0,71.0,72.0,69.0,70.0,61.0
11,25.0,26.0,72.0,62.0,67.0,71.0,68.0,71.0,72.0,69.0,70.0,62.0
12,25.0,27.0,71.0,63.0,67.0,71.0,68.0,71.0,72.0,69.0,70.0,61.0
13,23.0,27.0,74.0,62.0,68.0,72.0,69.0,71.0,72.0,69.0,70.0,62.0
14,23.0,27.0,75.0,62.0,67.0,72.0,68.0,71.0,72.0,69.0,70.0,62.0
15,20.0,26.0,79.0,68.0,68.0,72.0,69.0,71.0,72.0,69.0,71.0,63.0
16,23.0,26.0,79.0,69.0,68.0,72.0,68.0,71.0,72.0,69.0,71.0,62.0
17,26.0,25.0,82.0,69.0,69.0,73.0,69.0,71.0,72.0,69.0,71.0,62.0
18,25.0,28.0,81.0,71.0,69.0,73.0,69.0,72.0,72.0,68.0,71.0,61.0
19,25.0,27.0,84.0,70.0,70.0,73.0,69.0,71.0,72.0,69.0,71.0,60.0
20,27.0,28.0,85.0,71.0,71.0,72.0,69.0,72.0,72.0,69.0,71.0,61.0
21,26.0,28.0,84.0,74.0,70.0,73.0,70.0,72.0,73.0,70.0,71.0,60.0
22,28.0,28.0,84.0,75.0,73.0,72.0,71.0,72.0,72.0,70.0,71.0,62.0
23,25.0,28.0,87.0,80.0,74.0,73.0,70.0,72.0,72.0,70.0,71.0,62.0
24,27.0,25.0,89.0,84.0,76.0,74.0,71.0,72.0,71.0,70.0,71.0,62.0
25,30.0,26.0,89.0,87.0,78.0,76.0,71.0,73.0,72.0,70.0,71.0,62.0
26,29.0,28.0,94.0,89.0,83.0,77.0,72.0,74.0,73.0,71.0,72.0,63.0
27,26.0,25.0,98.0,87.0,87.0,80.0,73.0,73.0,73.0,70.0,72.0,61.0
28,24.0,25.0,94.0,88.0,85.0,79.0,72.0,72.0,72.0,70.0,71.0,62.0
29,25.0,26.0,95.0,88.0,80.0,79.0,73.0,73.0,72.0,71.0,72.0,62.0
30,23.0,23.0,95.0,92.0,87.0,79.0,74.0,73.0,72.0,71.0,72.0,63.0
31,20.0,21.0,96.0,94.0,84.0,84.0,74.0,72.0,73.0,71.0,73.0,62.0
32,17.0,20.0,97.0,97.0,87.0,88.0,75.0,73.0,73.0,71.0,72.0,62.0
33,17.0,20.0,95.0,100.0,85.0,90.0,77.0,72.0,72.0,70.0,72.0,61.0
34,17.0,20.0,100.0,101.0,85.0,96.0,75.0,73.0,73.0,71.0,72.0,60.0
35,15.0,19.0,98.0,101.0,85.0,90.0,81.0,73.0,74.0,70.0,72.0,61.0
36,17.0,20.0,97.0,99.0,84.0,92.0,81.0,76.0,73.0,70.0,72.0,61.0
37,12.0,16.0,96.0,98.0,85.0,87.0,84.0,76.0,72.0,71.0,72.0,62.0
38,16.0,18.0,95.0,97.0,82.0,92.0,82.0,76.0,72.0,71.0,72.0,62.0
