,0,1,2
0,0.0,0.0,0.0
1,0.005,0.0,1.0017826924538336
2,0.01,0.0,1.0037422138532035
3,0.005,0.0,1.0060094661780654
4,0.0,28.0,0.9583386114715786
5,0.42,81.0,0.8101697849028566
6,1.775,1.0,0.7836992420241867
7,0.01,2.0,0.7483818826456305
8,0.05,33.0,0.7046383754101868
9,0.46,56.0,0.7390195280320776
10,0.965,82.0,0.9244207720155381
11,1.3,88.0,1.3736494191427702
12,1.65,81.0,2.1868641929856225
13,1.205,81.0,3.4341822948417957
14,1.255,85.0,5.195994948143135
15,1.135,76.0,7.581053107438555
16,1.055,71.0,10.65895345776954
17,0.965,64.0,14.489104261631939
18,0.91,54.0,19.095304605059216
19,0.735,32.0,24.463804398013682
20,0.025,0.0,30.511613186703947
21,0.005,33.0,36.94878996772555
22,0.34,1.0,43.626543320703426
23,0.01,14.0,50.12167635536752
24,0.075,28.0,56.034970076927706
25,0.365,41.0,60.947832541219505
26,0.58,21.0,64.5265847814528
27,0.24,23.0,66.43106518936324
28,0.24,6.0,66.53533381750182
29,0.07,10.0,64.81427307636207
30,0.13,3.0,61.473908497052236
31,0.01,0.0,56.840749501471706
32,0.53,52.0,51.255765551600454
33,0.89,23.0,45.32905387665887
34,0.15,3.0,39.54121037608193
35,0.105,43.0,34.22270963885156
36,0.74,55.0,29.454587391558814
37,0.815,0.0,25.612454001219394
38,0.02,23.0,22.627566870713366
39,0.355,46.0,20.43980979268348
40,0.675,38.0,19.019710935184314
41,0.475,1.0,18.280927561645058
42,0.185,1.0,18.04548208736659
