,0,1,2
0,0.0,0.0,0.0
1,1.0,2953.727372,80.6
2,2.0,2975.733662,79.6
3,3.0,2997.726821,80.2
4,4.0,3019.765079,80.8
5,5.0,3041.726119,79.8
6,6.0,3063.724926,80.6
7,7.0,3085.73217,83.2
8,8.0,3107.730404,80.2
9,9.0,3129.717359,78.4
10,10.0,3151.733882,78.8
11,11.0,3173.728202,80.2
12,12.0,3195.726115,82.2
13,13.0,3217.727063,81.2
14,14.0,3239.734368,79.2
15,15.0,3261.72729,79.6
16,16.0,3283.731974,80.0
17,17.0,3305.762373,79.8
18,18.0,3327.736328,79.4
19,19.0,3349.731687,81.0
20,20.0,3371.727721,80.4
21,21.0,3393.728349,80.6
22,22.0,3415.726685,82.0
23,23.0,3437.71712,80.2
24,24.0,3459.740061,78.4
25,25.0,3481.728549,78.4
26,26.0,3503.762038,78.4
27,27.0,3525.720662,79.2
28,28.0,3547.725989,82.4
29,29.0,3569.725273,78.6
30,30.0,3591.726185,80.6
31,31.0,13.724706,81.0
32,32.0,35.726136,80.8
33,33.0,57.727265,80.8
34,34.0,79.7276,78.6
35,35.0,101.734278,78.2
36,36.0,123.7171,79.2
37,37.0,145.718127,79.2
38,38.0,167.717893,79.2
39,39.0,189.725336,79.4
40,40.0,211.726598,79.8
41,41.0,233.747198,80.0
42,42.0,255.718345,79.6
43,43.0,277.752535,81.8
44,44.0,299.725383,78.8
45,45.0,321.724646,78.2
46,46.0,343.719201,79.6
47,47.0,365.72586,77.8
48,48.0,387.731259,79.6
49,49.0,409.717282,79.2
50,50.0,431.738601,78.8
51,51.0,453.717134,80.0
52,52.0,475.756919,78.2
53,53.0,497.72437,79.0
54,54.0,519.730077,79.6
55,55.0,541.725666,79.0
56,56.0,563.728564,77.8
57,57.0,585.718501,78.8
58,58.0,607.725329,79.8
