,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,255.0,83.0,91.0,95.0,102.0,101.0,97.0,86.0,97.0,98.0,98.0,98.0
2,255.0,22.0,18.0,19.0,15.0,25.0,19.0,19.0,97.0,98.0,98.0,98.0
3,198.0,25.0,22.0,20.0,15.0,21.0,16.0,14.0,97.0,98.0,98.0,98.0
4,9.0,34.0,21.0,18.0,13.0,18.0,13.0,12.0,97.0,98.0,98.0,98.0
5,159.0,22.0,13.0,15.0,12.0,15.0,12.0,11.0,97.0,98.0,98.0,98.0
6,83.0,77.0,16.0,14.0,11.0,14.0,10.0,9.0,97.0,98.0,98.0,98.0
7,10.0,143.0,29.0,15.0,11.0,13.0,11.0,9.0,97.0,98.0,98.0,97.0
8,157.0,45.0,22.0,14.0,10.0,13.0,10.0,9.0,97.0,98.0,98.0,98.0
9,10.0,17.0,9.0,11.0,10.0,12.0,10.0,8.0,97.0,98.0,98.0,98.0
10,11.0,21.0,8.0,11.0,9.0,11.0,9.0,8.0,97.0,98.0,98.0,98.0
11,11.0,22.0,12.0,11.0,9.0,11.0,10.0,8.0,97.0,98.0,98.0,98.0
12,10.0,28.0,8.0,10.0,9.0,11.0,9.0,8.0,97.0,98.0,98.0,98.0
13,28.0,45.0,14.0,11.0,9.0,10.0,9.0,8.0,97.0,98.0,98.0,98.0
14,11.0,16.0,9.0,10.0,8.0,9.0,8.0,8.0,97.0,98.0,98.0,98.0
15,10.0,43.0,9.0,10.0,8.0,10.0,9.0,8.0,97.0,98.0,98.0,98.0
16,255.0,86.0,21.0,11.0,8.0,9.0,9.0,8.0,97.0,98.0,98.0,98.0
17,35.0,23.0,12.0,10.0,8.0,9.0,9.0,7.0,97.0,98.0,98.0,98.0
18,11.0,119.0,27.0,12.0,8.0,9.0,8.0,8.0,97.0,98.0,98.0,98.0
19,11.0,25.0,12.0,10.0,8.0,9.0,8.0,7.0,97.0,98.0,98.0,98.0
20,10.0,18.0,9.0,9.0,8.0,9.0,8.0,7.0,97.0,98.0,98.0,98.0
