,0,1,2
0,0.0,0.0,0.0
1,1.0,1579.161037,74.0
2,2.0,1601.159999,73.8
3,3.0,1623.167186,74.2
4,4.0,1645.158407,71.2
5,5.0,1667.200541,74.0
6,6.0,1689.157875,74.8
7,7.0,1711.168632,74.6
8,8.0,1733.158023,74.2
9,9.0,1755.165442,74.6
10,10.0,1777.175667,74.0
11,11.0,1799.169008,74.6
12,12.0,1821.162456,74.8
13,13.0,1843.158775,74.0
14,14.0,1865.168327,75.2
15,15.0,1887.157205,74.8
16,16.0,1909.166567,73.6
17,17.0,1931.194467,75.2
18,18.0,1953.212419,75.4
19,19.0,1975.191473,74.4
20,20.0,1997.175446,74.6
21,21.0,2019.166074,75.6
22,22.0,2041.171962,74.8
23,23.0,2063.167184,75.2
24,24.0,2085.195472,75.2
25,25.0,2107.174559,75.2
26,26.0,2129.162781,74.2
27,27.0,2151.181098,74.2
28,28.0,2173.157783,74.8
29,29.0,2195.165037,71.0
30,30.0,2217.165305,72.2
31,31.0,2239.165651,71.6
32,32.0,2261.169189,71.2
33,33.0,2283.169873,71.8
34,34.0,2305.166404,71.4
35,35.0,2327.157923,71.6
36,36.0,2349.16018,71.2
37,37.0,2371.166589,72.2
38,38.0,2393.165638,72.0
39,39.0,2415.167258,72.2
40,40.0,2437.158034,71.8
41,41.0,2459.160567,72.4
42,42.0,2481.191168,70.8
43,43.0,2503.189034,71.4
44,44.0,2525.17112,72.2
45,45.0,2547.166206,72.2
46,46.0,2569.158429,73.0
47,47.0,2591.166168,74.0
48,48.0,2613.165365,71.4
49,49.0,2635.161649,73.2
