,0,1,2
0,0.0,0.0,0.0
1,1.0,3323.97842,65.8
2,2.0,3345.974777,65.4
3,3.0,3367.979768,67.2
4,4.0,3389.981415,67.2
5,5.0,3412.019313,67.2
6,6.0,3433.972222,67.0
7,7.0,3455.981288,66.6
8,8.0,3477.99989,66.6
9,9.0,3499.974469,66.8
10,10.0,3521.992054,65.8
11,11.0,3543.994019,65.2
12,12.0,3565.974296,65.6
13,13.0,3587.978611,66.4
14,14.0,9.973259,65.4
15,15.0,31.976095,66.0
16,16.0,53.983195,66.2
17,17.0,75.990324,66.6
18,18.0,97.987353,66.0
19,19.0,120.000582,65.0
20,20.0,141.97277,66.2
21,21.0,163.973486,66.2
22,22.0,185.983955,66.0
23,23.0,207.973751,67.0
24,24.0,229.975204,65.8
25,25.0,252.012079,67.4
26,26.0,273.972201,64.8
27,27.0,295.974075,65.8
28,28.0,317.973115,65.2
29,29.0,339.972606,64.2
30,30.0,361.988585,65.6
31,31.0,383.974507,64.2
32,32.0,405.980132,66.0
33,33.0,427.974842,66.4
34,34.0,449.977075,65.2
35,35.0,471.974808,66.0
36,36.0,493.974655,65.8
37,37.0,515.997469,65.2
38,38.0,537.991619,65.8
39,39.0,559.974628,64.8
40,40.0,581.973851,66.8
41,41.0,603.97298,65.8
42,42.0,625.976923,65.0
43,43.0,647.974659,65.8
44,44.0,669.973046,65.0
45,45.0,692.013631,65.2
46,46.0,713.97304,64.0
47,47.0,735.974113,66.0
48,48.0,757.974869,65.6
49,49.0,779.974534,65.4
50,50.0,801.971934,64.8
51,51.0,823.973219,65.0
52,52.0,845.99582,65.4
53,53.0,867.973113,65.2
54,54.0,889.972775,64.8
55,55.0,911.97305,63.6
