,0,1,2
0,0.0,0.0,0.0
1,1.0,878.597264,69.4
2,2.0,900.593219,68.4
3,3.0,922.592846,68.6
4,4.0,944.607364,69.2
5,5.0,966.594463,64.8
6,6.0,988.591862,72.0
7,7.0,1010.592847,71.6
8,8.0,1032.592102,70.8
9,9.0,1054.610904,71.0
10,10.0,1076.592718,72.8
11,11.0,1098.592911,72.0
12,12.0,1120.592989,72.2
13,13.0,1142.593988,72.8
14,14.0,1164.594521,70.4
15,15.0,1186.619334,72.8
16,16.0,1208.592297,72.4
17,17.0,1230.593934,73.0
18,18.0,1252.592789,72.2
19,19.0,1274.592448,71.6
20,20.0,1296.591663,71.8
21,21.0,1318.593421,72.0
22,22.0,1340.592293,71.4
23,23.0,1362.592975,71.0
24,24.0,1384.611859,72.6
25,25.0,1406.591512,71.2
26,26.0,1428.590726,71.8
27,27.0,1450.591664,71.6
28,28.0,1472.612565,72.0
29,29.0,1494.591517,71.2
30,30.0,1516.599357,72.0
31,31.0,1538.6263,72.8
32,32.0,1560.599078,71.8
33,33.0,1582.590435,72.0
34,34.0,1604.603994,71.4
35,35.0,1626.592905,71.0
36,36.0,1648.610838,72.8
37,37.0,1670.628874,72.6
38,38.0,1692.59105,72.4
39,39.0,1714.600549,71.6
40,40.0,1736.606014,71.4
41,41.0,1758.599645,71.6
42,42.0,1780.591177,72.0
43,43.0,1802.598867,70.2
44,44.0,1824.591998,70.8
45,45.0,1846.599719,70.0
46,46.0,1868.621975,70.2
47,47.0,1890.61029,70.2
48,48.0,1912.611953,70.0
49,49.0,1934.590995,69.6
50,50.0,1956.598886,70.6
51,51.0,1978.591134,70.2
52,52.0,2000.591701,69.8
53,53.0,2022.5913,69.4
