,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,57.0,94.0,89.0,87.0,95.0,95.0,141.0,94.0,95.0,95.0,95.0,95.0
2,57.0,103.0,91.0,87.0,95.0,95.0,86.0,33.0,95.0,96.0,96.0,95.0
3,59.0,110.0,93.0,87.0,96.0,95.0,85.0,30.0,96.0,96.0,96.0,95.0
4,58.0,112.0,96.0,88.0,96.0,96.0,84.0,27.0,96.0,95.0,96.0,95.0
5,58.0,115.0,96.0,87.0,96.0,96.0,83.0,26.0,95.0,96.0,96.0,96.0
6,59.0,109.0,95.0,89.0,96.0,96.0,82.0,25.0,96.0,96.0,96.0,95.0
7,60.0,114.0,96.0,85.0,96.0,96.0,83.0,25.0,96.0,96.0,96.0,95.0
8,59.0,129.0,96.0,86.0,96.0,96.0,82.0,24.0,96.0,95.0,95.0,95.0
9,60.0,126.0,93.0,87.0,96.0,96.0,82.0,23.0,96.0,96.0,95.0,95.0
10,60.0,125.0,92.0,87.0,96.0,96.0,82.0,24.0,96.0,96.0,96.0,96.0
11,60.0,124.0,94.0,87.0,96.0,96.0,81.0,23.0,96.0,96.0,96.0,96.0
12,61.0,119.0,97.0,95.0,96.0,97.0,82.0,23.0,97.0,96.0,96.0,96.0
13,61.0,125.0,100.0,90.0,96.0,96.0,82.0,23.0,96.0,96.0,96.0,96.0
14,62.0,129.0,105.0,86.0,96.0,96.0,81.0,23.0,96.0,96.0,96.0,96.0
15,61.0,122.0,106.0,88.0,96.0,96.0,81.0,23.0,96.0,96.0,96.0,96.0
16,61.0,112.0,105.0,106.0,97.0,96.0,82.0,23.0,99.0,96.0,96.0,96.0
17,62.0,124.0,107.0,101.0,96.0,96.0,81.0,23.0,98.0,96.0,96.0,96.0
18,61.0,129.0,109.0,110.0,97.0,96.0,81.0,23.0,98.0,96.0,96.0,96.0
19,66.0,126.0,109.0,104.0,96.0,96.0,82.0,23.0,97.0,96.0,96.0,96.0
20,67.0,126.0,109.0,114.0,113.0,100.0,84.0,24.0,102.0,95.0,95.0,97.0
21,68.0,122.0,115.0,121.0,117.0,100.0,84.0,23.0,104.0,96.0,96.0,96.0
22,70.0,117.0,113.0,120.0,117.0,102.0,85.0,24.0,103.0,95.0,95.0,97.0
23,82.0,115.0,112.0,126.0,128.0,105.0,90.0,24.0,104.0,98.0,96.0,98.0
24,76.0,111.0,113.0,120.0,126.0,109.0,93.0,25.0,101.0,102.0,99.0,96.0
25,78.0,109.0,114.0,135.0,140.0,119.0,97.0,25.0,97.0,103.0,97.0,97.0
26,80.0,106.0,115.0,128.0,133.0,124.0,104.0,27.0,96.0,102.0,96.0,96.0
27,82.0,103.0,113.0,139.0,144.0,127.0,107.0,28.0,96.0,101.0,96.0,97.0
28,84.0,99.0,116.0,126.0,123.0,124.0,109.0,28.0,96.0,100.0,95.0,96.0
29,85.0,97.0,115.0,142.0,146.0,124.0,105.0,27.0,96.0,97.0,96.0,96.0
30,87.0,96.0,111.0,137.0,135.0,121.0,104.0,30.0,96.0,96.0,95.0,96.0
31,86.0,95.0,107.0,134.0,150.0,117.0,100.0,28.0,98.0,96.0,95.0,96.0
32,88.0,95.0,102.0,141.0,131.0,120.0,103.0,30.0,98.0,96.0,95.0,96.0
33,85.0,93.0,91.0,132.0,146.0,122.0,104.0,29.0,96.0,95.0,95.0,96.0
34,86.0,92.0,90.0,129.0,137.0,121.0,104.0,29.0,96.0,95.0,95.0,96.0
35,86.0,92.0,90.0,128.0,151.0,121.0,105.0,30.0,122.0,97.0,96.0,96.0
36,87.0,92.0,89.0,126.0,142.0,117.0,102.0,29.0,123.0,98.0,95.0,96.0
37,81.0,92.0,89.0,123.0,140.0,113.0,97.0,29.0,120.0,91.0,95.0,96.0
38,87.0,92.0,88.0,121.0,138.0,116.0,96.0,28.0,132.0,103.0,97.0,97.0
39,90.0,89.0,89.0,119.0,136.0,119.0,101.0,29.0,131.0,116.0,100.0,96.0
40,93.0,92.0,88.0,116.0,135.0,126.0,105.0,29.0,128.0,128.0,99.0,98.0
41,93.0,91.0,87.0,114.0,133.0,120.0,103.0,29.0,124.0,128.0,111.0,97.0
42,96.0,90.0,87.0,111.0,129.0,112.0,97.0,28.0,123.0,128.0,113.0,99.0
43,102.0,90.0,87.0,109.0,126.0,97.0,78.0,24.0,123.0,130.0,117.0,100.0
44,106.0,90.0,87.0,107.0,125.0,97.0,79.0,20.0,133.0,126.0,117.0,101.0
45,91.0,89.0,84.0,100.0,117.0,95.0,79.0,19.0,120.0,123.0,112.0,99.0
46,74.0,91.0,88.0,95.0,111.0,93.0,78.0,21.0,115.0,117.0,105.0,94.0
47,65.0,90.0,85.0,93.0,106.0,92.0,78.0,21.0,109.0,113.0,100.0,92.0
48,59.0,88.0,85.0,88.0,100.0,93.0,78.0,21.0,104.0,109.0,97.0,90.0
49,57.0,88.0,86.0,92.0,99.0,92.0,78.0,21.0,101.0,106.0,97.0,91.0
50,56.0,91.0,87.0,88.0,98.0,90.0,77.0,21.0,100.0,103.0,95.0,92.0
51,52.0,91.0,86.0,87.0,95.0,91.0,76.0,21.0,99.0,100.0,94.0,90.0
52,50.0,92.0,86.0,86.0,96.0,92.0,78.0,21.0,97.0,100.0,94.0,92.0
53,51.0,92.0,87.0,86.0,96.0,92.0,78.0,21.0,96.0,100.0,95.0,92.0
54,53.0,92.0,90.0,87.0,95.0,93.0,78.0,21.0,95.0,99.0,95.0,92.0
55,53.0,92.0,88.0,86.0,95.0,94.0,79.0,22.0,96.0,96.0,94.0,93.0
56,53.0,93.0,88.0,89.0,96.0,93.0,79.0,22.0,96.0,95.0,95.0,92.0
57,51.0,93.0,87.0,85.0,96.0,93.0,79.0,22.0,96.0,96.0,94.0,93.0
58,52.0,93.0,88.0,87.0,97.0,94.0,79.0,22.0,96.0,96.0,95.0,93.0
59,55.0,93.0,87.0,87.0,96.0,93.0,78.0,21.0,96.0,95.0,94.0,93.0
60,52.0,93.0,87.0,87.0,96.0,93.0,79.0,22.0,95.0,95.0,95.0,94.0
61,53.0,94.0,89.0,84.0,96.0,93.0,79.0,22.0,96.0,96.0,95.0,93.0
62,53.0,94.0,88.0,89.0,96.0,94.0,79.0,21.0,96.0,96.0,95.0,94.0
63,54.0,94.0,88.0,87.0,96.0,94.0,79.0,22.0,96.0,97.0,95.0,94.0
64,54.0,94.0,89.0,87.0,96.0,93.0,79.0,22.0,96.0,95.0,95.0,94.0
65,54.0,94.0,89.0,86.0,96.0,94.0,79.0,21.0,96.0,96.0,95.0,95.0
66,54.0,94.0,89.0,92.0,95.0,94.0,80.0,22.0,96.0,96.0,95.0,94.0
67,54.0,95.0,89.0,87.0,95.0,94.0,80.0,22.0,96.0,96.0,95.0,95.0
68,55.0,94.0,89.0,86.0,96.0,94.0,79.0,22.0,96.0,96.0,95.0,95.0
69,56.0,94.0,89.0,89.0,97.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
70,57.0,95.0,89.0,85.0,96.0,95.0,80.0,21.0,96.0,96.0,95.0,95.0
71,57.0,94.0,89.0,87.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
72,57.0,94.0,89.0,87.0,96.0,95.0,80.0,21.0,96.0,96.0,95.0,95.0
73,57.0,95.0,89.0,89.0,95.0,95.0,80.0,21.0,96.0,96.0,95.0,95.0
74,57.0,95.0,89.0,84.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
75,57.0,94.0,89.0,88.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
76,57.0,95.0,89.0,87.0,96.0,95.0,79.0,22.0,96.0,96.0,95.0,95.0
77,57.0,94.0,89.0,86.0,96.0,95.0,80.0,22.0,96.0,95.0,95.0,95.0
78,57.0,95.0,89.0,87.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
79,58.0,95.0,89.0,92.0,96.0,95.0,79.0,22.0,96.0,96.0,95.0,95.0
80,57.0,95.0,89.0,87.0,96.0,95.0,80.0,22.0,96.0,95.0,95.0,95.0
81,57.0,95.0,89.0,86.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
82,54.0,94.0,89.0,89.0,96.0,95.0,80.0,21.0,96.0,96.0,95.0,95.0
83,57.0,95.0,89.0,86.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
84,57.0,95.0,89.0,87.0,96.0,95.0,80.0,21.0,96.0,96.0,95.0,95.0
85,57.0,94.0,89.0,87.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
86,57.0,95.0,89.0,89.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
87,57.0,95.0,89.0,83.0,96.0,95.0,79.0,22.0,96.0,96.0,95.0,95.0
88,57.0,94.0,89.0,91.0,96.0,95.0,80.0,23.0,96.0,96.0,95.0,95.0
89,57.0,95.0,89.0,87.0,96.0,95.0,79.0,22.0,96.0,96.0,95.0,95.0
90,58.0,95.0,89.0,87.0,96.0,95.0,79.0,21.0,96.0,96.0,95.0,95.0
91,57.0,95.0,89.0,87.0,96.0,95.0,80.0,22.0,96.0,95.0,95.0,95.0
92,58.0,94.0,89.0,90.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
93,57.0,94.0,89.0,87.0,96.0,95.0,79.0,22.0,96.0,96.0,95.0,95.0
94,56.0,94.0,89.0,86.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
95,57.0,95.0,89.0,89.0,96.0,95.0,80.0,21.0,96.0,96.0,95.0,95.0
96,57.0,95.0,89.0,84.0,96.0,95.0,80.0,21.0,96.0,96.0,95.0,95.0
97,56.0,95.0,89.0,87.0,96.0,95.0,80.0,22.0,96.0,95.0,95.0,95.0
98,56.0,94.0,89.0,87.0,96.0,95.0,80.0,21.0,96.0,96.0,95.0,95.0
99,57.0,95.0,89.0,88.0,96.0,95.0,80.0,22.0,96.0,95.0,95.0,95.0
100,57.0,95.0,89.0,84.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
101,57.0,95.0,89.0,90.0,96.0,95.0,79.0,22.0,96.0,96.0,95.0,95.0
102,57.0,95.0,89.0,88.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
103,57.0,94.0,89.0,86.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
104,57.0,95.0,89.0,87.0,96.0,95.0,79.0,21.0,96.0,95.0,95.0,95.0
105,57.0,95.0,89.0,87.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
106,56.0,95.0,89.0,87.0,96.0,95.0,79.0,22.0,96.0,96.0,95.0,95.0
107,57.0,95.0,89.0,86.0,96.0,95.0,79.0,22.0,96.0,96.0,95.0,95.0
108,57.0,95.0,89.0,89.0,96.0,95.0,80.0,22.0,96.0,95.0,95.0,95.0
109,57.0,95.0,89.0,84.0,96.0,95.0,80.0,21.0,96.0,96.0,95.0,95.0
110,57.0,95.0,89.0,87.0,96.0,95.0,80.0,21.0,96.0,96.0,95.0,95.0
111,57.0,95.0,89.0,87.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
112,57.0,95.0,89.0,88.0,96.0,95.0,79.0,22.0,96.0,96.0,95.0,95.0
113,56.0,95.0,89.0,85.0,96.0,95.0,80.0,22.0,96.0,95.0,95.0,95.0
114,57.0,94.0,89.0,92.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
115,56.0,95.0,89.0,88.0,96.0,95.0,79.0,21.0,96.0,96.0,95.0,95.0
116,58.0,94.0,89.0,86.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
117,58.0,95.0,89.0,87.0,96.0,95.0,80.0,22.0,96.0,95.0,95.0,95.0
118,57.0,94.0,89.0,88.0,96.0,95.0,79.0,21.0,96.0,96.0,95.0,95.0
119,57.0,95.0,89.0,87.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
120,57.0,94.0,89.0,86.0,96.0,95.0,80.0,21.0,96.0,96.0,95.0,95.0
121,57.0,95.0,89.0,89.0,96.0,95.0,79.0,22.0,96.0,95.0,95.0,95.0
122,57.0,95.0,89.0,84.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
123,57.0,94.0,89.0,87.0,96.0,95.0,80.0,21.0,96.0,96.0,95.0,95.0
124,57.0,94.0,89.0,87.0,96.0,95.0,80.0,21.0,96.0,96.0,95.0,95.0
125,57.0,95.0,89.0,87.0,96.0,95.0,80.0,22.0,96.0,95.0,95.0,95.0
126,56.0,95.0,89.0,84.0,96.0,95.0,79.0,22.0,96.0,96.0,95.0,95.0
127,57.0,94.0,89.0,92.0,96.0,95.0,80.0,21.0,96.0,96.0,95.0,95.0
128,57.0,95.0,89.0,87.0,96.0,95.0,80.0,22.0,96.0,95.0,95.0,95.0
129,56.0,94.0,89.0,86.0,96.0,95.0,79.0,21.0,96.0,96.0,95.0,95.0
130,57.0,95.0,89.0,88.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
131,57.0,95.0,89.0,87.0,96.0,95.0,80.0,21.0,96.0,96.0,95.0,95.0
132,57.0,95.0,89.0,87.0,96.0,95.0,79.0,21.0,96.0,96.0,95.0,95.0
133,57.0,94.0,89.0,86.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
134,59.0,95.0,89.0,89.0,95.0,95.0,80.0,21.0,96.0,96.0,95.0,95.0
135,57.0,95.0,89.0,84.0,96.0,95.0,79.0,22.0,96.0,96.0,95.0,95.0
136,57.0,95.0,89.0,87.0,97.0,94.0,80.0,22.0,96.0,96.0,95.0,95.0
137,57.0,94.0,89.0,87.0,96.0,95.0,79.0,21.0,96.0,96.0,95.0,95.0
138,57.0,95.0,89.0,87.0,96.0,95.0,80.0,21.0,96.0,96.0,95.0,95.0
139,57.0,95.0,89.0,85.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
140,57.0,94.0,89.0,91.0,96.0,95.0,79.0,21.0,96.0,95.0,95.0,95.0
141,57.0,95.0,89.0,87.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
142,57.0,95.0,89.0,86.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
143,57.0,95.0,89.0,88.0,95.0,95.0,79.0,21.0,96.0,95.0,95.0,95.0
144,58.0,95.0,89.0,89.0,96.0,95.0,80.0,22.0,96.0,96.0,95.0,95.0
145,57.0,95.0,89.0,87.0,96.0,95.0,80.0,21.0,96.0,95.0,95.0,95.0
146,57.0,94.0,89.0,86.0,96.0,95.0,79.0,21.0,96.0,96.0,95.0,95.0
147,57.0,95.0,89.0,89.0,96.0,95.0,80.0,22.0,96.0,95.0,95.0,95.0
148,57.0,95.0,89.0,87.0,96.0,95.0,136.0,88.0,96.0,96.0,95.0,95.0
149,58.0,103.0,95.0,88.0,96.0,95.0,90.0,37.0,97.0,96.0,95.0,95.0
150,58.0,109.0,94.0,88.0,96.0,95.0,84.0,28.0,96.0,96.0,95.0,95.0
151,58.0,120.0,93.0,86.0,96.0,95.0,83.0,26.0,96.0,96.0,96.0,95.0
152,61.0,124.0,95.0,87.0,96.0,95.0,82.0,24.0,96.0,96.0,96.0,96.0
153,61.0,123.0,96.0,84.0,95.0,95.0,82.0,24.0,96.0,96.0,95.0,96.0
154,62.0,121.0,94.0,86.0,96.0,95.0,81.0,23.0,96.0,96.0,96.0,96.0
155,62.0,117.0,94.0,87.0,96.0,95.0,81.0,23.0,96.0,95.0,96.0,96.0
156,62.0,122.0,95.0,88.0,96.0,95.0,81.0,23.0,96.0,95.0,96.0,96.0
157,63.0,129.0,92.0,85.0,95.0,96.0,81.0,23.0,96.0,96.0,96.0,96.0
158,64.0,125.0,93.0,91.0,96.0,96.0,81.0,23.0,96.0,97.0,96.0,96.0
159,63.0,111.0,99.0,90.0,96.0,96.0,81.0,23.0,97.0,96.0,96.0,96.0
160,62.0,125.0,99.0,89.0,96.0,96.0,81.0,23.0,96.0,96.0,95.0,96.0
161,63.0,129.0,100.0,89.0,96.0,96.0,80.0,22.0,96.0,96.0,96.0,96.0
162,62.0,114.0,106.0,89.0,96.0,96.0,81.0,23.0,96.0,96.0,96.0,96.0
