,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,237.0,93.0,81.0,82.0,94.0,156.0,103.0,82.0,73.0,75.0,86.0,107.0
2,61.0,21.0,17.0,24.0,95.0,100.0,37.0,13.0,9.0,10.0,14.0,30.0
3,65.0,26.0,26.0,35.0,94.0,103.0,45.0,26.0,23.0,25.0,27.0,30.0
4,48.0,19.0,20.0,28.0,94.0,95.0,37.0,20.0,18.0,19.0,22.0,22.0
5,39.0,16.0,17.0,23.0,94.0,90.0,33.0,18.0,15.0,16.0,19.0,18.0
6,33.0,14.0,15.0,20.0,94.0,86.0,30.0,16.0,13.0,14.0,17.0,15.0
7,28.0,12.0,12.0,18.0,94.0,83.0,28.0,14.0,12.0,13.0,15.0,13.0
8,26.0,12.0,12.0,16.0,94.0,81.0,27.0,14.0,12.0,12.0,14.0,12.0
9,24.0,11.0,11.0,15.0,94.0,79.0,26.0,13.0,10.0,11.0,13.0,10.0
10,21.0,10.0,10.0,13.0,94.0,78.0,25.0,12.0,10.0,10.0,13.0,10.0
11,21.0,10.0,10.0,13.0,94.0,77.0,25.0,12.0,10.0,10.0,12.0,9.0
12,19.0,9.0,9.0,12.0,94.0,76.0,24.0,11.0,9.0,9.0,12.0,8.0
13,18.0,8.0,8.0,12.0,94.0,76.0,24.0,11.0,9.0,9.0,12.0,8.0
14,18.0,9.0,9.0,12.0,94.0,76.0,23.0,11.0,9.0,9.0,11.0,7.0
15,16.0,8.0,8.0,10.0,94.0,74.0,23.0,11.0,8.0,8.0,11.0,7.0
16,16.0,8.0,8.0,10.0,94.0,75.0,23.0,11.0,8.0,9.0,11.0,7.0
17,16.0,8.0,8.0,10.0,94.0,74.0,23.0,10.0,8.0,8.0,10.0,7.0
18,14.0,7.0,7.0,10.0,94.0,73.0,22.0,10.0,7.0,8.0,10.0,6.0
19,14.0,8.0,7.0,10.0,94.0,73.0,23.0,10.0,8.0,8.0,10.0,6.0
20,14.0,8.0,7.0,10.0,94.0,73.0,22.0,10.0,7.0,8.0,9.0,6.0
21,13.0,7.0,7.0,9.0,94.0,73.0,22.0,9.0,7.0,8.0,9.0,6.0
22,14.0,7.0,7.0,10.0,94.0,73.0,22.0,10.0,7.0,8.0,9.0,6.0
23,13.0,7.0,7.0,9.0,94.0,72.0,22.0,9.0,7.0,8.0,9.0,6.0
24,12.0,7.0,6.0,9.0,94.0,72.0,22.0,9.0,7.0,8.0,9.0,6.0
25,13.0,7.0,7.0,9.0,94.0,73.0,22.0,9.0,7.0,8.0,9.0,6.0
26,12.0,7.0,6.0,8.0,94.0,72.0,21.0,9.0,7.0,7.0,9.0,5.0
27,12.0,7.0,6.0,8.0,94.0,72.0,22.0,9.0,7.0,8.0,9.0,5.0
28,13.0,7.0,7.0,9.0,94.0,72.0,21.0,9.0,7.0,7.0,9.0,5.0
29,12.0,6.0,6.0,8.0,94.0,71.0,21.0,9.0,6.0,7.0,8.0,5.0
30,12.0,6.0,6.0,8.0,94.0,72.0,21.0,9.0,7.0,7.0,9.0,5.0
31,12.0,7.0,7.0,8.0,94.0,71.0,22.0,9.0,6.0,7.0,8.0,5.0
32,11.0,6.0,6.0,8.0,94.0,71.0,21.0,9.0,6.0,7.0,8.0,5.0
33,12.0,7.0,6.0,8.0,94.0,71.0,22.0,9.0,7.0,7.0,8.0,5.0
34,11.0,7.0,6.0,8.0,94.0,71.0,21.0,9.0,6.0,7.0,8.0,5.0
35,11.0,6.0,5.0,8.0,94.0,71.0,21.0,9.0,6.0,7.0,8.0,5.0
36,11.0,7.0,6.0,8.0,94.0,71.0,21.0,9.0,6.0,7.0,8.0,5.0
37,11.0,6.0,6.0,8.0,94.0,71.0,21.0,8.0,6.0,7.0,7.0,5.0
38,10.0,6.0,5.0,7.0,94.0,71.0,21.0,9.0,6.0,7.0,8.0,5.0
39,11.0,7.0,6.0,8.0,94.0,71.0,21.0,9.0,6.0,7.0,8.0,4.0
40,10.0,6.0,5.0,7.0,94.0,71.0,21.0,8.0,6.0,7.0,7.0,5.0
41,10.0,6.0,5.0,8.0,94.0,71.0,21.0,9.0,6.0,7.0,8.0,5.0
42,11.0,6.0,6.0,8.0,94.0,71.0,21.0,8.0,6.0,7.0,7.0,4.0
43,10.0,6.0,5.0,7.0,94.0,71.0,21.0,8.0,6.0,6.0,7.0,4.0
44,10.0,6.0,5.0,8.0,94.0,71.0,21.0,9.0,6.0,7.0,7.0,5.0
45,10.0,6.0,6.0,7.0,94.0,71.0,21.0,8.0,6.0,6.0,7.0,4.0
46,9.0,6.0,5.0,7.0,94.0,71.0,21.0,8.0,6.0,6.0,7.0,4.0
47,10.0,6.0,6.0,7.0,94.0,71.0,21.0,9.0,6.0,7.0,7.0,5.0
48,10.0,6.0,5.0,7.0,94.0,71.0,21.0,8.0,6.0,6.0,7.0,4.0
49,9.0,6.0,5.0,7.0,94.0,71.0,21.0,8.0,6.0,7.0,7.0,4.0
50,10.0,6.0,6.0,7.0,94.0,71.0,21.0,8.0,6.0,6.0,7.0,4.0
51,10.0,6.0,5.0,7.0,94.0,70.0,21.0,8.0,5.0,6.0,7.0,4.0
52,9.0,6.0,5.0,7.0,95.0,70.0,21.0,8.0,6.0,6.0,7.0,4.0
53,10.0,6.0,5.0,7.0,94.0,71.0,21.0,8.0,6.0,6.0,7.0,4.0
54,9.0,6.0,5.0,7.0,94.0,70.0,20.0,8.0,5.0,6.0,7.0,4.0
55,9.0,6.0,5.0,7.0,94.0,70.0,21.0,8.0,6.0,6.0,7.0,4.0
56,10.0,6.0,5.0,7.0,94.0,71.0,21.0,8.0,5.0,6.0,7.0,4.0
57,9.0,5.0,5.0,7.0,94.0,70.0,20.0,8.0,5.0,6.0,7.0,4.0
58,9.0,6.0,5.0,7.0,94.0,71.0,21.0,8.0,6.0,6.0,7.0,4.0
59,10.0,6.0,5.0,7.0,94.0,70.0,20.0,8.0,5.0,6.0,7.0,4.0
60,9.0,5.0,5.0,7.0,95.0,70.0,20.0,8.0,5.0,6.0,7.0,4.0
61,9.0,6.0,5.0,7.0,95.0,71.0,21.0,8.0,6.0,6.0,7.0,4.0
62,9.0,6.0,5.0,7.0,94.0,70.0,20.0,8.0,5.0,6.0,6.0,4.0
63,9.0,5.0,5.0,7.0,94.0,70.0,21.0,8.0,5.0,6.0,7.0,4.0
