,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1003.951126,121.0,122.0,120.0,122.0,120.0
2,2.0,1025.857823,120.0,118.0,117.0,119.0,119.0
3,3.0,1047.862719,120.0,119.0,118.0,122.0,119.0
4,4.0,1069.879846,119.0,119.0,119.0,117.0,120.0
5,5.0,1091.866246,123.0,118.0,116.0,117.0,117.0
6,6.0,1113.856921,117.0,116.0,120.0,118.0,118.0
7,7.0,1135.861031,119.0,120.0,120.0,120.0,120.0
8,8.0,1157.886395,118.0,116.0,118.0,119.0,122.0
9,9.0,1179.865249,118.0,120.0,118.0,118.0,117.0
10,10.0,1201.952725,117.0,115.0,118.0,120.0,119.0
11,11.0,1223.845786,121.0,117.0,118.0,119.0,120.0
12,12.0,1245.844339,116.0,118.0,121.0,119.0,119.0
13,13.0,1267.84924,118.0,116.0,116.0,118.0,115.0
14,14.0,1289.84941,118.0,116.0,118.0,119.0,117.0
15,15.0,1311.931455,116.0,115.0,116.0,115.0,116.0
16,16.0,1333.853166,116.0,114.0,116.0,115.0,117.0
17,17.0,1355.856486,114.0,117.0,114.0,115.0,115.0
18,18.0,1377.869862,114.0,115.0,115.0,115.0,114.0
19,19.0,1399.893644,112.0,113.0,115.0,113.0,114.0
20,20.0,1421.905572,112.0,114.0,117.0,113.0,110.0
21,21.0,1443.862375,112.0,114.0,110.0,109.0,110.0
22,22.0,1465.850674,112.0,109.0,111.0,109.0,109.0
23,23.0,1487.890379,108.0,107.0,111.0,109.0,109.0
24,24.0,1509.864857,107.0,105.0,108.0,108.0,104.0
25,25.0,1531.852197,104.0,106.0,105.0,103.0,105.0
26,26.0,1553.889099,101.0,100.0,104.0,100.0,105.0
27,27.0,1575.904644,101.0,100.0,101.0,102.0,100.0
28,28.0,1597.884642,98.0,99.0,98.0,96.0,97.0
29,29.0,1619.879676,94.0,96.0,97.0,96.0,96.0
30,30.0,1641.864842,92.0,96.0,95.0,93.0,96.0
31,31.0,1663.846161,91.0,92.0,90.0,91.0,92.0
32,32.0,1685.889798,91.0,89.0,91.0,91.0,89.0
33,33.0,1707.849434,88.0,88.0,89.0,88.0,89.0
34,34.0,1729.871932,87.0,90.0,87.0,84.0,87.0
35,35.0,1751.890687,87.0,85.0,85.0,85.0,85.0
36,36.0,1773.876762,84.0,83.0,85.0,82.0,83.0
37,37.0,1795.899525,81.0,85.0,82.0,83.0,83.0
38,38.0,1817.845037,84.0,82.0,83.0,82.0,85.0
39,39.0,1839.853512,80.0,82.0,82.0,82.0,83.0
40,40.0,1861.863523,81.0,81.0,81.0,85.0,84.0
41,41.0,1883.889651,80.0,82.0,83.0,79.0,80.0
42,42.0,1905.844614,79.0,81.0,78.0,82.0,82.0
43,43.0,1927.866625,79.0,81.0,80.0,79.0,81.0
44,44.0,1949.853898,80.0,80.0,81.0,79.0,81.0
45,45.0,1971.859105,80.0,79.0,82.0,81.0,80.0
46,46.0,1993.848459,77.0,77.0,79.0,80.0,79.0
47,47.0,2015.862673,77.0,78.0,78.0,80.0,78.0
48,48.0,2037.865504,79.0,79.0,80.0,81.0,78.0
49,49.0,2059.867593,80.0,79.0,79.0,79.0,78.0
50,50.0,2081.862417,80.0,79.0,80.0,76.0,79.0
51,51.0,2103.87478,79.0,78.0,78.0,79.0,80.0
52,52.0,2125.874609,81.0,78.0,78.0,79.0,80.0
53,53.0,2147.899365,77.0,78.0,79.0,79.0,78.0
54,54.0,2169.845575,78.0,76.0,77.0,78.0,75.0
55,55.0,2191.866221,78.0,77.0,78.0,77.0,77.0
56,56.0,2213.871336,77.0,79.0,77.0,76.0,76.0
57,57.0,2235.847641,77.0,78.0,76.0,77.0,80.0
58,58.0,2257.845317,76.0,76.0,78.0,76.0,76.0
59,59.0,2279.877082,77.0,76.0,75.0,75.0,73.0
