,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,3578.440951,107.0,108.0,105.0,108.0,109.0
2,2.0,3593.386605,108.0,108.0,107.0,109.0,108.0
3,3.0,8.4221,103.0,104.0,104.0,103.0,102.0
4,4.0,23.376928,101.0,101.0,101.0,101.0,100.0
5,5.0,38.441621,99.0,99.0,98.0,98.0,102.0
6,6.0,53.415443,97.0,98.0,96.0,98.0,97.0
7,7.0,68.378552,98.0,96.0,97.0,97.0,99.0
8,8.0,83.421837,98.0,98.0,95.0,96.0,95.0
9,9.0,98.375104,94.0,93.0,98.0,95.0,98.0
10,10.0,113.391782,93.0,91.0,94.0,94.0,90.0
11,11.0,128.388709,94.0,92.0,93.0,92.0,90.0
12,12.0,143.39345,89.0,89.0,89.0,89.0,90.0
13,13.0,158.380166,89.0,86.0,88.0,90.0,89.0
14,14.0,173.398466,87.0,89.0,90.0,92.0,86.0
15,15.0,188.403243,86.0,91.0,87.0,87.0,88.0
16,16.0,203.384135,88.0,87.0,88.0,87.0,87.0
17,17.0,218.410769,91.0,87.0,87.0,88.0,87.0
18,18.0,233.385834,87.0,90.0,89.0,86.0,89.0
19,19.0,248.393695,86.0,86.0,87.0,87.0,89.0
20,20.0,263.403036,88.0,90.0,89.0,89.0,91.0
21,21.0,278.376893,86.0,89.0,87.0,88.0,90.0
22,22.0,293.387939,90.0,88.0,90.0,89.0,87.0
23,23.0,308.390205,89.0,88.0,89.0,88.0,89.0
24,24.0,323.383397,85.0,87.0,87.0,88.0,88.0
25,25.0,338.384054,87.0,88.0,87.0,89.0,88.0
26,26.0,353.382727,87.0,87.0,86.0,88.0,87.0
27,27.0,368.372546,90.0,88.0,88.0,90.0,90.0
28,28.0,383.400905,86.0,86.0,88.0,87.0,86.0
29,29.0,398.382536,88.0,88.0,87.0,89.0,86.0
30,30.0,413.388826,88.0,90.0,86.0,90.0,88.0
31,31.0,428.4819,86.0,87.0,87.0,88.0,87.0
32,32.0,443.448276,89.0,89.0,87.0,87.0,90.0
33,33.0,458.350515,90.0,86.0,87.0,88.0,86.0
34,34.0,473.455957,89.0,87.0,89.0,88.0,88.0
35,35.0,488.372611,88.0,86.0,89.0,86.0,84.0
36,36.0,503.380363,84.0,89.0,90.0,88.0,89.0
37,37.0,518.377246,90.0,93.0,90.0,88.0,88.0
38,38.0,533.378872,88.0,88.0,86.0,84.0,88.0
39,39.0,548.379726,89.0,92.0,89.0,87.0,88.0
40,40.0,563.392573,90.0,90.0,89.0,87.0,90.0
41,41.0,578.38262,87.0,86.0,87.0,90.0,86.0
42,42.0,593.407266,89.0,88.0,89.0,88.0,86.0
43,43.0,608.380076,88.0,89.0,90.0,87.0,89.0
44,44.0,623.390097,84.0,84.0,85.0,88.0,88.0
45,45.0,638.392358,89.0,87.0,87.0,87.0,90.0
46,46.0,653.385724,89.0,90.0,88.0,90.0,86.0
47,47.0,668.394034,88.0,87.0,86.0,89.0,86.0
48,48.0,683.386978,88.0,89.0,87.0,87.0,87.0
49,49.0,698.381087,88.0,87.0,89.0,88.0,87.0
50,50.0,713.373455,86.0,88.0,88.0,89.0,88.0
