,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,403.383513,29.0,29.0,30.0,29.0,29.0
2,2.0,424.366746,30.0,30.0,30.0,30.0,29.0
3,3.0,445.376046,31.0,29.0,29.0,32.0,29.0
4,4.0,466.38172,31.0,30.0,30.0,31.0,30.0
5,5.0,487.365483,30.0,32.0,32.0,30.0,30.0
6,6.0,508.392851,30.0,32.0,30.0,32.0,34.0
7,7.0,529.34533,31.0,33.0,33.0,33.0,32.0
8,8.0,550.352516,31.0,32.0,34.0,32.0,35.0
9,9.0,571.382148,33.0,32.0,32.0,33.0,32.0
10,10.0,592.388522,32.0,33.0,30.0,33.0,34.0
11,11.0,613.345978,33.0,34.0,34.0,34.0,35.0
12,12.0,634.358056,34.0,34.0,34.0,35.0,35.0
13,13.0,655.367734,32.0,32.0,33.0,35.0,34.0
14,14.0,676.377032,35.0,34.0,33.0,34.0,36.0
15,15.0,697.354156,36.0,35.0,38.0,35.0,37.0
16,16.0,718.38242,36.0,37.0,36.0,36.0,36.0
17,17.0,739.376811,38.0,38.0,37.0,36.0,34.0
18,18.0,760.385823,37.0,39.0,37.0,35.0,39.0
19,19.0,781.366809,35.0,38.0,39.0,40.0,37.0
20,20.0,802.361981,39.0,40.0,38.0,38.0,38.0
21,21.0,823.372134,40.0,38.0,38.0,39.0,39.0
22,22.0,844.366516,40.0,41.0,38.0,42.0,39.0
23,23.0,865.357359,41.0,40.0,40.0,42.0,39.0
24,24.0,886.359107,40.0,37.0,40.0,38.0,41.0
25,25.0,907.352939,41.0,41.0,41.0,40.0,39.0
26,26.0,928.361512,41.0,41.0,43.0,40.0,41.0
27,27.0,949.353309,40.0,42.0,41.0,40.0,41.0
28,28.0,970.383794,41.0,41.0,42.0,38.0,39.0
29,29.0,991.387005,43.0,42.0,44.0,40.0,44.0
30,30.0,1012.361525,44.0,42.0,43.0,44.0,42.0
31,31.0,1033.344857,43.0,43.0,45.0,44.0,45.0
32,32.0,1054.369818,42.0,46.0,44.0,43.0,43.0
33,33.0,1075.381168,45.0,43.0,43.0,45.0,46.0
34,34.0,1096.384575,45.0,43.0,45.0,43.0,45.0
35,35.0,1117.344955,46.0,44.0,44.0,43.0,45.0
36,36.0,1138.375456,46.0,47.0,47.0,44.0,44.0
37,37.0,1159.393497,44.0,45.0,47.0,46.0,47.0
38,38.0,1180.366555,48.0,44.0,46.0,47.0,47.0
39,39.0,1201.354484,45.0,48.0,46.0,47.0,48.0
40,40.0,1222.361141,48.0,46.0,47.0,48.0,46.0
41,41.0,1243.364194,46.0,47.0,49.0,49.0,46.0
42,42.0,1264.344938,47.0,45.0,48.0,49.0,48.0
43,43.0,1285.370895,49.0,48.0,50.0,46.0,48.0
44,44.0,1306.356914,48.0,46.0,49.0,49.0,48.0
45,45.0,1327.343997,49.0,50.0,50.0,49.0,47.0
46,46.0,1348.380022,47.0,50.0,50.0,49.0,51.0
47,47.0,1369.386742,49.0,48.0,48.0,49.0,50.0
48,48.0,1390.385326,49.0,49.0,48.0,49.0,48.0
49,49.0,1411.345286,49.0,51.0,49.0,49.0,48.0
50,50.0,1432.349386,50.0,51.0,50.0,50.0,51.0
51,51.0,1453.370601,52.0,50.0,50.0,48.0,53.0
52,52.0,1474.35785,52.0,52.0,54.0,52.0,53.0
53,53.0,1495.383973,49.0,53.0,51.0,51.0,49.0
54,54.0,1516.339032,56.0,54.0,53.0,53.0,53.0
55,55.0,1537.345013,53.0,53.0,52.0,53.0,53.0
56,56.0,1558.362747,53.0,56.0,53.0,53.0,56.0
57,57.0,1579.360133,55.0,55.0,54.0,55.0,56.0
58,58.0,1600.367956,54.0,54.0,58.0,58.0,56.0
59,59.0,1621.378538,56.0,54.0,54.0,54.0,56.0
60,60.0,1642.353236,56.0,56.0,55.0,56.0,56.0
