,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,646.756978,35.0,36.0,35.0,37.0,37.0
2,2.0,667.755091,39.0,37.0,36.0,39.0,39.0
3,3.0,688.721116,40.0,40.0,40.0,38.0,40.0
4,4.0,709.736874,39.0,41.0,39.0,40.0,39.0
5,5.0,730.762479,42.0,42.0,43.0,42.0,41.0
6,6.0,751.752087,45.0,44.0,44.0,42.0,44.0
7,7.0,772.739355,44.0,44.0,43.0,41.0,43.0
8,8.0,793.724677,45.0,44.0,44.0,42.0,46.0
9,9.0,814.731108,46.0,45.0,44.0,45.0,45.0
10,10.0,835.718344,47.0,45.0,44.0,45.0,46.0
11,11.0,856.72082,47.0,48.0,49.0,47.0,48.0
12,12.0,877.723398,48.0,50.0,50.0,48.0,47.0
13,13.0,898.720217,48.0,48.0,50.0,49.0,51.0
14,14.0,919.727217,47.0,49.0,50.0,48.0,47.0
15,15.0,940.72102,49.0,51.0,50.0,51.0,49.0
16,16.0,961.723378,50.0,50.0,48.0,49.0,54.0
17,17.0,982.720827,50.0,51.0,50.0,53.0,51.0
18,18.0,1003.718243,52.0,49.0,51.0,51.0,50.0
19,19.0,1024.716296,53.0,49.0,54.0,53.0,51.0
20,20.0,1045.715755,52.0,53.0,52.0,54.0,52.0
21,21.0,1066.717432,51.0,53.0,53.0,52.0,55.0
22,22.0,1087.719094,52.0,52.0,53.0,53.0,53.0
23,23.0,1108.733042,54.0,52.0,53.0,53.0,57.0
24,24.0,1129.732151,55.0,52.0,55.0,53.0,52.0
25,25.0,1150.725614,54.0,54.0,54.0,54.0,56.0
26,26.0,1171.74209,54.0,55.0,54.0,54.0,56.0
27,27.0,1192.718639,58.0,56.0,56.0,56.0,56.0
28,28.0,1213.726864,54.0,54.0,57.0,54.0,57.0
29,29.0,1234.720928,58.0,55.0,58.0,56.0,58.0
30,30.0,1255.720079,58.0,59.0,57.0,57.0,56.0
31,31.0,1276.729208,58.0,60.0,59.0,56.0,56.0
32,32.0,1297.690711,60.0,56.0,58.0,58.0,59.0
33,33.0,1318.759115,59.0,59.0,60.0,59.0,59.0
34,34.0,1339.745129,58.0,60.0,58.0,60.0,60.0
35,35.0,1360.717836,60.0,60.0,60.0,59.0,62.0
36,36.0,1381.718078,58.0,60.0,61.0,59.0,61.0
37,37.0,1402.721772,59.0,59.0,60.0,59.0,58.0
38,38.0,1423.730644,60.0,61.0,59.0,59.0,62.0
39,39.0,1444.722775,62.0,60.0,62.0,59.0,59.0
40,40.0,1465.730537,61.0,61.0,61.0,61.0,59.0
41,41.0,1486.72291,62.0,61.0,62.0,62.0,60.0
42,42.0,1507.738799,62.0,64.0,61.0,63.0,61.0
43,43.0,1528.72861,64.0,61.0,62.0,60.0,62.0
44,44.0,1549.725849,65.0,61.0,63.0,63.0,61.0
45,45.0,1570.731225,64.0,66.0,63.0,63.0,63.0
46,46.0,1591.718543,61.0,63.0,63.0,64.0,62.0
47,47.0,1612.738766,64.0,63.0,63.0,63.0,65.0
48,48.0,1633.722496,62.0,62.0,62.0,63.0,65.0
49,49.0,1654.719117,66.0,65.0,65.0,65.0,66.0
50,50.0,1675.731122,64.0,65.0,66.0,66.0,65.0
51,51.0,1696.72315,65.0,64.0,64.0,66.0,65.0
52,52.0,1717.726401,64.0,66.0,65.0,68.0,63.0
53,53.0,1738.729682,66.0,65.0,65.0,64.0,65.0
54,54.0,1759.72038,66.0,65.0,66.0,65.0,64.0
55,55.0,1780.717136,68.0,67.0,66.0,69.0,65.0
56,56.0,1801.752394,67.0,67.0,70.0,68.0,65.0
57,57.0,1822.722243,69.0,68.0,68.0,66.0,67.0
58,58.0,1843.733465,66.0,65.0,67.0,67.0,67.0
59,59.0,1864.748874,67.0,66.0,69.0,67.0,69.0
60,60.0,1885.74677,68.0,69.0,68.0,70.0,71.0
61,61.0,1906.749818,69.0,68.0,69.0,67.0,68.0
62,62.0,1927.75585,69.0,69.0,71.0,70.0,70.0
63,63.0,1948.787101,70.0,66.0,69.0,68.0,67.0
64,64.0,1969.785668,70.0,73.0,70.0,70.0,73.0
65,65.0,1990.742696,70.0,74.0,71.0,72.0,72.0
66,66.0,2011.759596,69.0,72.0,72.0,71.0,73.0
67,67.0,2032.743972,73.0,70.0,73.0,75.0,72.0
68,68.0,2053.764405,73.0,75.0,76.0,74.0,73.0
69,69.0,2074.736623,77.0,74.0,74.0,76.0,73.0
70,70.0,2095.732983,73.0,74.0,75.0,78.0,77.0
71,71.0,2116.719333,74.0,73.0,75.0,78.0,75.0
72,72.0,2137.718036,76.0,75.0,76.0,75.0,74.0
73,73.0,2158.734223,76.0,76.0,72.0,78.0,73.0
74,74.0,2179.79045,78.0,77.0,74.0,76.0,77.0
75,75.0,2200.719055,76.0,75.0,77.0,76.0,80.0
76,76.0,2221.739881,78.0,75.0,76.0,77.0,76.0
77,77.0,2242.719014,76.0,74.0,79.0,77.0,78.0
78,78.0,2263.735558,78.0,79.0,77.0,76.0,77.0
79,79.0,2284.724444,76.0,79.0,79.0,81.0,78.0
80,80.0,2305.726312,76.0,80.0,80.0,78.0,79.0
81,81.0,2326.724569,80.0,81.0,80.0,79.0,79.0
82,82.0,2347.763604,81.0,80.0,78.0,80.0,81.0
83,83.0,2368.761684,80.0,81.0,79.0,81.0,80.0
84,84.0,2389.749685,79.0,80.0,79.0,79.0,80.0
85,85.0,2410.725702,80.0,79.0,79.0,79.0,79.0
86,86.0,2431.71925,84.0,82.0,79.0,80.0,82.0
87,87.0,2452.723392,79.0,82.0,80.0,79.0,81.0
88,88.0,2473.717233,81.0,82.0,78.0,83.0,83.0
89,89.0,2494.718015,84.0,82.0,82.0,85.0,81.0
90,90.0,2515.728043,81.0,80.0,77.0,81.0,82.0
91,91.0,2536.727272,79.0,84.0,84.0,85.0,84.0
92,92.0,2557.723861,80.0,83.0,83.0,87.0,84.0
93,93.0,2578.718644,80.0,85.0,82.0,83.0,82.0
94,94.0,2599.745765,82.0,85.0,84.0,83.0,82.0
95,95.0,2620.744194,82.0,84.0,83.0,86.0,82.0
96,96.0,2641.726256,83.0,84.0,85.0,80.0,83.0
97,97.0,2662.739814,82.0,83.0,85.0,84.0,80.0
98,98.0,2683.758784,82.0,86.0,86.0,82.0,87.0
99,99.0,2704.764563,83.0,84.0,85.0,84.0,84.0
100,100.0,2725.72797,82.0,80.0,78.0,80.0,82.0
101,101.0,2746.728907,80.0,80.0,80.0,80.0,79.0
102,102.0,2767.730474,89.0,86.0,88.0,86.0,89.0
103,103.0,2788.776798,87.0,86.0,88.0,86.0,91.0
104,104.0,2809.730188,86.0,89.0,88.0,88.0,88.0
105,105.0,2830.726692,86.0,86.0,84.0,85.0,84.0
106,106.0,2851.771138,74.0,76.0,77.0,75.0,76.0
107,107.0,2872.764747,87.0,88.0,89.0,90.0,88.0
108,108.0,2893.722429,80.0,83.0,81.0,87.0,81.0
109,109.0,2914.729265,81.0,82.0,83.0,84.0,86.0
110,110.0,2935.76841,84.0,86.0,87.0,86.0,85.0
