,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,374.261292,31.0,31.0,30.0,29.0,28.0
2,2.0,396.212995,31.0,30.0,30.0,28.0,32.0
3,3.0,418.259359,30.0,30.0,29.0,31.0,31.0
4,4.0,440.20924,32.0,30.0,30.0,30.0,30.0
5,5.0,462.24353,28.0,30.0,29.0,29.0,28.0
6,6.0,484.206292,29.0,29.0,29.0,28.0,28.0
7,7.0,506.267711,30.0,30.0,30.0,30.0,32.0
8,8.0,528.242273,30.0,28.0,30.0,29.0,29.0
9,9.0,550.258013,31.0,29.0,29.0,30.0,29.0
10,10.0,572.224146,30.0,30.0,29.0,31.0,30.0
11,11.0,594.256882,31.0,29.0,30.0,32.0,28.0
12,12.0,616.276584,30.0,32.0,30.0,27.0,32.0
13,13.0,638.243876,30.0,30.0,27.0,30.0,31.0
14,14.0,660.280336,28.0,29.0,30.0,29.0,29.0
15,15.0,682.284732,30.0,30.0,30.0,28.0,29.0
16,16.0,704.214791,32.0,32.0,29.0,29.0,30.0
17,17.0,726.233058,29.0,29.0,30.0,28.0,28.0
18,18.0,748.207767,28.0,30.0,28.0,27.0,29.0
19,19.0,770.264694,29.0,30.0,29.0,28.0,30.0
20,20.0,792.245986,30.0,30.0,30.0,31.0,30.0
21,21.0,814.212635,29.0,30.0,28.0,29.0,29.0
22,22.0,836.226033,29.0,29.0,27.0,29.0,29.0
23,23.0,858.2099,31.0,27.0,29.0,29.0,29.0
24,24.0,880.254706,29.0,29.0,30.0,29.0,30.0
25,25.0,902.23113,31.0,32.0,32.0,31.0,30.0
26,26.0,924.228287,31.0,29.0,30.0,30.0,29.0
27,27.0,946.274922,29.0,30.0,29.0,30.0,29.0
28,28.0,968.261143,31.0,30.0,31.0,31.0,30.0
29,29.0,990.241485,28.0,32.0,31.0,31.0,30.0
30,30.0,1012.200053,32.0,30.0,32.0,30.0,31.0
31,31.0,1034.263256,30.0,30.0,29.0,29.0,29.0
