,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1719.480527,57.0,59.0,59.0,60.0,60.0
2,2.0,1741.40232,58.0,58.0,59.0,59.0,58.0
3,3.0,1763.357835,55.0,57.0,58.0,55.0,56.0
4,4.0,1785.383553,55.0,55.0,56.0,57.0,55.0
5,5.0,1807.350593,54.0,54.0,56.0,56.0,54.0
6,6.0,1829.366539,53.0,54.0,51.0,54.0,54.0
7,7.0,1851.356218,55.0,53.0,53.0,52.0,51.0
8,8.0,1873.4611,51.0,52.0,51.0,51.0,49.0
9,9.0,1895.345113,52.0,52.0,52.0,54.0,51.0
10,10.0,1917.336121,51.0,50.0,51.0,53.0,51.0
11,11.0,1939.386765,47.0,50.0,50.0,51.0,50.0
12,12.0,1961.338599,50.0,50.0,50.0,49.0,50.0
13,13.0,1983.384785,48.0,50.0,49.0,48.0,49.0
14,14.0,2005.354702,47.0,48.0,48.0,49.0,50.0
15,15.0,2027.402777,48.0,49.0,48.0,49.0,49.0
16,16.0,2049.350885,47.0,47.0,46.0,46.0,48.0
17,17.0,2071.359716,48.0,46.0,48.0,49.0,48.0
18,18.0,2093.345125,48.0,48.0,49.0,48.0,47.0
19,19.0,2115.431251,47.0,46.0,48.0,50.0,48.0
20,20.0,2137.36995,47.0,45.0,47.0,48.0,49.0
21,21.0,2159.37686,49.0,47.0,46.0,48.0,47.0
22,22.0,2181.359288,47.0,48.0,46.0,47.0,46.0
23,23.0,2203.356619,47.0,48.0,47.0,47.0,47.0
24,24.0,2225.377217,46.0,48.0,47.0,47.0,47.0
25,25.0,2247.356843,46.0,45.0,47.0,47.0,48.0
26,26.0,2269.379255,47.0,48.0,46.0,48.0,45.0
27,27.0,2291.355848,46.0,46.0,45.0,47.0,48.0
28,28.0,2313.391623,48.0,44.0,44.0,46.0,46.0
29,29.0,2335.34253,45.0,44.0,44.0,45.0,46.0
30,30.0,2357.347555,47.0,49.0,44.0,47.0,46.0
31,31.0,2379.355719,47.0,45.0,45.0,46.0,47.0
32,32.0,2401.360242,47.0,49.0,45.0,44.0,45.0
33,33.0,2423.348944,44.0,45.0,43.0,46.0,44.0
34,34.0,2445.347215,46.0,44.0,44.0,43.0,43.0
35,35.0,2467.346599,45.0,45.0,43.0,44.0,47.0
36,36.0,2489.359733,44.0,42.0,42.0,44.0,43.0
37,37.0,2511.340288,45.0,45.0,45.0,42.0,44.0
38,38.0,2533.337364,43.0,44.0,44.0,43.0,45.0
39,39.0,2555.330682,45.0,45.0,45.0,43.0,44.0
40,40.0,2577.374655,45.0,44.0,42.0,44.0,42.0
41,41.0,2599.351864,44.0,43.0,45.0,44.0,43.0
42,42.0,2621.362168,39.0,42.0,43.0,41.0,43.0
43,43.0,2643.386489,43.0,43.0,44.0,42.0,41.0
44,44.0,2665.367204,43.0,44.0,42.0,42.0,41.0
45,45.0,2687.34375,41.0,42.0,44.0,45.0,45.0
46,46.0,2709.386752,45.0,41.0,43.0,44.0,44.0
47,47.0,2731.374955,43.0,41.0,42.0,45.0,44.0
48,48.0,2753.344182,43.0,44.0,43.0,42.0,43.0
49,49.0,2775.354128,42.0,43.0,44.0,42.0,41.0
50,50.0,2797.355318,43.0,43.0,41.0,43.0,43.0
51,51.0,2819.343193,42.0,44.0,42.0,42.0,44.0
52,52.0,2841.339295,45.0,45.0,43.0,42.0,43.0
53,53.0,2863.340044,44.0,44.0,44.0,44.0,43.0
54,54.0,2885.364231,43.0,41.0,42.0,44.0,43.0
55,55.0,2907.351121,44.0,43.0,44.0,45.0,42.0
56,56.0,2929.395458,44.0,44.0,46.0,43.0,43.0
57,57.0,2951.345574,43.0,43.0,43.0,43.0,43.0
58,58.0,2973.387644,42.0,44.0,43.0,43.0,42.0
59,59.0,2995.389328,43.0,43.0,43.0,44.0,42.0
60,60.0,3017.386986,43.0,43.0,43.0,41.0,42.0
61,61.0,3039.367789,44.0,43.0,43.0,41.0,44.0
62,62.0,3061.369327,43.0,44.0,45.0,41.0,43.0
63,63.0,3083.385641,42.0,41.0,45.0,44.0,44.0
64,64.0,3105.388427,43.0,44.0,41.0,44.0,46.0
65,65.0,3127.346975,43.0,44.0,42.0,42.0,43.0
66,66.0,3149.381986,44.0,42.0,43.0,44.0,44.0
67,67.0,3171.336842,44.0,45.0,43.0,43.0,42.0
68,68.0,3193.341044,41.0,42.0,41.0,42.0,45.0
69,69.0,3215.347033,46.0,44.0,43.0,43.0,43.0
70,70.0,3237.338752,45.0,44.0,42.0,44.0,42.0
71,71.0,3259.37435,43.0,43.0,43.0,43.0,43.0
72,72.0,3281.345624,43.0,43.0,45.0,43.0,42.0
