,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,3158.947502,99.0,103.0,102.0,99.0,101.0
2,2.0,3173.88144,102.0,100.0,100.0,100.0,100.0
3,3.0,3188.905657,100.0,99.0,101.0,99.0,100.0
4,4.0,3202.878752,100.0,98.0,102.0,101.0,99.0
5,5.0,3217.895716,102.0,101.0,100.0,103.0,102.0
6,6.0,3232.914091,103.0,100.0,102.0,101.0,103.0
7,7.0,3247.898341,98.0,103.0,102.0,99.0,102.0
8,8.0,3262.897897,101.0,102.0,100.0,100.0,99.0
9,9.0,3277.883268,103.0,103.0,100.0,103.0,99.0
10,10.0,3292.901813,101.0,101.0,103.0,99.0,101.0
11,11.0,3307.924649,101.0,101.0,103.0,100.0,99.0
12,12.0,3322.980568,102.0,101.0,102.0,100.0,103.0
13,13.0,3337.876884,102.0,100.0,101.0,99.0,102.0
14,14.0,3352.916046,98.0,100.0,103.0,103.0,100.0
15,15.0,3367.890429,97.0,99.0,100.0,101.0,101.0
16,16.0,3382.894814,100.0,100.0,100.0,100.0,101.0
17,17.0,3397.89946,100.0,100.0,100.0,101.0,100.0
18,18.0,3412.875933,101.0,100.0,100.0,104.0,101.0
19,19.0,3427.89346,102.0,98.0,98.0,100.0,102.0
20,20.0,3442.875919,103.0,97.0,101.0,100.0,101.0
21,21.0,3457.906086,101.0,101.0,100.0,99.0,98.0
22,22.0,3472.877707,101.0,97.0,100.0,98.0,102.0
23,23.0,3487.902581,104.0,98.0,99.0,101.0,102.0
24,24.0,3502.901474,102.0,101.0,101.0,100.0,101.0
25,25.0,3517.876773,101.0,102.0,101.0,103.0,100.0
26,26.0,3532.880602,101.0,101.0,100.0,99.0,102.0
27,27.0,3547.954582,103.0,104.0,98.0,102.0,100.0
28,28.0,3562.886143,103.0,100.0,99.0,100.0,100.0
29,29.0,3577.900561,103.0,99.0,99.0,102.0,99.0
30,30.0,3592.919308,102.0,104.0,100.0,103.0,100.0
31,31.0,7.922507,99.0,102.0,99.0,104.0,100.0
32,32.0,22.943681,101.0,101.0,101.0,101.0,99.0
33,33.0,37.898555,103.0,101.0,101.0,99.0,102.0
34,34.0,52.908918,101.0,99.0,101.0,101.0,99.0
35,35.0,67.886517,100.0,100.0,101.0,101.0,101.0
36,36.0,82.878637,101.0,101.0,102.0,102.0,101.0
37,37.0,97.879508,100.0,100.0,100.0,98.0,101.0
38,38.0,112.908999,99.0,102.0,98.0,102.0,102.0
39,39.0,127.935669,101.0,98.0,100.0,99.0,100.0
40,40.0,142.88522,102.0,100.0,102.0,101.0,99.0
41,41.0,157.918011,101.0,100.0,101.0,103.0,100.0
42,42.0,172.924417,103.0,102.0,101.0,100.0,98.0
43,43.0,187.896665,101.0,100.0,101.0,102.0,101.0
44,44.0,202.904455,104.0,97.0,99.0,100.0,102.0
45,45.0,217.924305,101.0,101.0,98.0,100.0,101.0
46,46.0,232.918424,101.0,101.0,101.0,101.0,101.0
47,47.0,247.900699,102.0,101.0,103.0,100.0,98.0
48,48.0,262.962323,100.0,101.0,97.0,101.0,99.0
49,49.0,277.935611,99.0,101.0,100.0,102.0,101.0
50,50.0,292.887944,100.0,99.0,101.0,100.0,100.0
51,51.0,307.902355,102.0,101.0,98.0,102.0,97.0
52,52.0,322.882982,100.0,101.0,100.0,100.0,102.0
53,53.0,337.93947,100.0,97.0,101.0,98.0,103.0
54,54.0,352.873189,103.0,100.0,100.0,103.0,101.0
55,55.0,367.894779,100.0,99.0,102.0,101.0,97.0
56,56.0,382.931385,99.0,100.0,100.0,98.0,101.0
57,57.0,397.888832,101.0,102.0,101.0,101.0,105.0
58,58.0,412.899159,101.0,103.0,101.0,99.0,101.0
59,59.0,427.923959,102.0,101.0,102.0,102.0,101.0
60,60.0,442.881774,99.0,100.0,102.0,100.0,101.0
61,61.0,457.894992,98.0,98.0,100.0,103.0,99.0
62,62.0,472.895871,100.0,99.0,104.0,98.0,103.0
63,63.0,487.913879,98.0,99.0,100.0,100.0,98.0
64,64.0,502.900317,101.0,102.0,100.0,103.0,100.0
65,65.0,517.924416,101.0,101.0,100.0,99.0,99.0
66,66.0,532.89684,100.0,99.0,100.0,99.0,103.0
67,67.0,547.875166,102.0,99.0,98.0,103.0,98.0
68,68.0,562.901134,100.0,100.0,103.0,101.0,101.0
69,69.0,577.886321,100.0,100.0,100.0,102.0,99.0
70,70.0,592.928039,100.0,102.0,98.0,101.0,99.0
71,71.0,607.960972,100.0,100.0,100.0,99.0,102.0
72,72.0,622.927282,100.0,102.0,102.0,98.0,101.0
73,73.0,637.89818,101.0,101.0,103.0,100.0,102.0
74,74.0,652.917712,100.0,101.0,102.0,101.0,99.0
75,75.0,667.881999,102.0,104.0,100.0,99.0,102.0
76,76.0,682.924263,102.0,99.0,100.0,99.0,99.0
77,77.0,697.858618,96.0,99.0,102.0,102.0,101.0
78,78.0,712.929263,100.0,102.0,101.0,100.0,100.0
79,79.0,727.883266,101.0,100.0,99.0,103.0,101.0
80,80.0,742.916699,101.0,98.0,100.0,102.0,102.0
81,81.0,757.921114,100.0,102.0,99.0,102.0,99.0
