,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1626.777192,107.0,107.0,107.0,108.0,107.0
2,2.0,1648.762491,103.0,106.0,106.0,102.0,104.0
3,3.0,1670.751507,106.0,103.0,105.0,105.0,107.0
4,4.0,1692.966123,106.0,106.0,105.0,106.0,106.0
5,5.0,1714.774918,106.0,104.0,107.0,105.0,104.0
6,6.0,1737.040815,103.0,105.0,102.0,107.0,106.0
7,7.0,1758.776237,106.0,105.0,104.0,102.0,104.0
8,8.0,1780.739367,105.0,106.0,106.0,106.0,104.0
9,9.0,1802.832767,103.0,104.0,106.0,106.0,102.0
10,10.0,1824.78152,104.0,101.0,102.0,105.0,105.0
11,11.0,1846.792719,105.0,105.0,106.0,105.0,107.0
12,12.0,1868.758981,105.0,105.0,105.0,106.0,105.0
13,13.0,1890.764733,106.0,104.0,104.0,105.0,105.0
14,14.0,1912.779449,105.0,105.0,107.0,103.0,106.0
15,15.0,1934.753997,103.0,105.0,104.0,105.0,104.0
16,16.0,1956.780959,104.0,103.0,104.0,106.0,105.0
17,17.0,1978.746908,106.0,104.0,105.0,104.0,104.0
18,18.0,2000.747061,107.0,105.0,108.0,105.0,106.0
19,19.0,2022.726389,106.0,106.0,101.0,104.0,108.0
20,20.0,2044.792391,108.0,105.0,104.0,108.0,105.0
21,21.0,2066.811904,106.0,105.0,106.0,105.0,106.0
22,22.0,2088.825391,105.0,106.0,106.0,107.0,107.0
23,23.0,2110.757206,103.0,100.0,104.0,101.0,104.0
24,24.0,2132.742161,104.0,103.0,101.0,100.0,102.0
25,25.0,2154.74702,99.0,101.0,101.0,100.0,99.0
26,26.0,2176.749375,103.0,102.0,100.0,101.0,99.0
27,27.0,2198.737535,103.0,101.0,103.0,103.0,100.0
28,28.0,2220.855001,101.0,99.0,100.0,98.0,102.0
29,29.0,2242.81574,100.0,101.0,99.0,103.0,102.0
30,30.0,2264.719705,100.0,102.0,99.0,101.0,101.0
31,31.0,2286.770383,98.0,100.0,101.0,100.0,102.0
32,32.0,2308.741935,100.0,99.0,99.0,99.0,101.0
33,33.0,2330.729949,102.0,101.0,102.0,101.0,99.0
34,34.0,2352.755249,101.0,99.0,100.0,101.0,100.0
35,35.0,2374.735035,99.0,99.0,101.0,98.0,101.0
36,36.0,2396.721407,98.0,101.0,97.0,99.0,101.0
37,37.0,2418.733914,99.0,99.0,101.0,99.0,98.0
38,38.0,2440.772448,101.0,101.0,98.0,98.0,100.0
39,39.0,2462.746794,100.0,100.0,100.0,97.0,100.0
40,40.0,2484.73694,100.0,98.0,97.0,101.0,100.0
41,41.0,2506.742153,100.0,98.0,97.0,99.0,99.0
42,42.0,2528.736913,99.0,99.0,101.0,101.0,98.0
43,43.0,2550.727072,101.0,100.0,98.0,102.0,99.0
44,44.0,2572.746492,100.0,101.0,101.0,98.0,98.0
45,45.0,2594.725895,98.0,101.0,99.0,101.0,100.0
46,46.0,2616.743058,101.0,99.0,99.0,99.0,99.0
47,47.0,2638.788046,101.0,100.0,101.0,98.0,100.0
48,48.0,2660.733724,101.0,101.0,100.0,100.0,101.0
49,49.0,2682.753103,100.0,99.0,100.0,100.0,101.0
50,50.0,2704.740271,98.0,99.0,99.0,99.0,100.0
