,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,795.897137,106.0,103.0,102.0,103.0,106.0
2,2.0,817.847071,106.0,104.0,105.0,105.0,104.0
3,3.0,839.850274,103.0,104.0,104.0,105.0,102.0
4,4.0,861.87132,107.0,105.0,105.0,107.0,105.0
5,5.0,883.866434,105.0,103.0,104.0,104.0,105.0
6,6.0,905.847516,106.0,103.0,106.0,107.0,103.0
7,7.0,927.848818,104.0,105.0,103.0,104.0,107.0
8,8.0,949.854646,104.0,105.0,104.0,105.0,105.0
9,9.0,971.868962,106.0,105.0,106.0,103.0,105.0
10,10.0,993.893288,106.0,109.0,106.0,102.0,104.0
11,11.0,1015.830479,105.0,105.0,104.0,105.0,105.0
12,12.0,1037.916679,104.0,106.0,104.0,107.0,103.0
13,13.0,1059.877797,107.0,106.0,103.0,105.0,107.0
14,14.0,1081.844506,105.0,108.0,104.0,104.0,106.0
15,15.0,1103.874954,103.0,104.0,106.0,106.0,106.0
16,16.0,1125.861379,104.0,106.0,104.0,103.0,107.0
17,17.0,1147.860766,105.0,104.0,104.0,106.0,103.0
18,18.0,1169.827102,107.0,103.0,106.0,105.0,105.0
19,19.0,1191.82773,102.0,105.0,107.0,107.0,105.0
20,20.0,1213.887752,107.0,105.0,107.0,104.0,104.0
21,21.0,1235.8646,106.0,104.0,106.0,104.0,107.0
22,22.0,1257.839213,103.0,105.0,105.0,103.0,103.0
23,23.0,1279.837075,105.0,105.0,103.0,103.0,105.0
24,24.0,1301.836303,102.0,102.0,107.0,107.0,104.0
25,25.0,1323.85828,102.0,105.0,105.0,107.0,105.0
26,26.0,1345.821761,110.0,107.0,104.0,103.0,106.0
27,27.0,1367.884323,105.0,106.0,106.0,104.0,107.0
28,28.0,1389.846809,106.0,104.0,106.0,107.0,103.0
29,29.0,1411.842195,104.0,104.0,104.0,105.0,103.0
30,30.0,1433.85576,107.0,107.0,104.0,107.0,107.0
31,31.0,1455.870231,106.0,106.0,103.0,107.0,103.0
32,32.0,1477.838584,105.0,108.0,105.0,104.0,104.0
33,33.0,1499.85907,108.0,104.0,108.0,104.0,108.0
