,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,2761.316148,152.0,147.0,152.0,153.0,151.0
2,2.0,2776.2623,150.0,154.0,149.0,156.0,151.0
3,3.0,2790.255652,153.0,154.0,152.0,152.0,154.0
4,4.0,2804.295706,153.0,150.0,151.0,154.0,149.0
5,5.0,2818.253723,153.0,153.0,153.0,153.0,150.0
6,6.0,2832.269474,153.0,154.0,156.0,152.0,151.0
7,7.0,2847.26381,157.0,153.0,150.0,147.0,151.0
8,8.0,2861.235419,152.0,151.0,149.0,148.0,155.0
9,9.0,2875.292535,151.0,156.0,152.0,151.0,153.0
10,10.0,2890.269829,155.0,153.0,154.0,153.0,153.0
11,11.0,2904.247627,154.0,153.0,151.0,153.0,154.0
12,12.0,2918.234321,153.0,148.0,152.0,154.0,152.0
13,13.0,2932.249217,156.0,156.0,152.0,151.0,154.0
14,14.0,2946.255824,151.0,153.0,156.0,150.0,153.0
15,15.0,2960.281729,151.0,153.0,153.0,150.0,152.0
16,16.0,2975.272883,151.0,151.0,150.0,151.0,154.0
17,17.0,2989.229412,151.0,156.0,153.0,153.0,152.0
18,18.0,3003.297087,154.0,150.0,150.0,153.0,155.0
19,19.0,3018.26939,153.0,152.0,155.0,155.0,157.0
20,20.0,3032.269732,150.0,150.0,151.0,151.0,154.0
21,21.0,3046.231217,150.0,153.0,152.0,152.0,153.0
22,22.0,3060.314073,153.0,153.0,155.0,152.0,154.0
23,23.0,3075.276528,154.0,155.0,153.0,152.0,152.0
24,24.0,3090.272816,154.0,156.0,151.0,151.0,156.0
25,25.0,3104.275427,153.0,154.0,156.0,150.0,153.0
26,26.0,3118.258092,155.0,156.0,155.0,154.0,151.0
27,27.0,3132.253825,151.0,150.0,155.0,153.0,150.0
28,28.0,3146.270944,157.0,151.0,151.0,153.0,154.0
29,29.0,3160.26855,155.0,151.0,154.0,154.0,152.0
30,30.0,3175.250354,154.0,152.0,155.0,154.0,152.0
31,31.0,3189.293525,151.0,153.0,152.0,154.0,155.0
32,32.0,3204.261096,152.0,152.0,155.0,158.0,151.0
33,33.0,3218.255978,158.0,153.0,151.0,152.0,157.0
34,34.0,3233.24383,151.0,157.0,150.0,154.0,154.0
35,35.0,3248.266656,154.0,156.0,155.0,154.0,154.0
36,36.0,3263.267349,153.0,151.0,154.0,153.0,153.0
37,37.0,3277.272878,152.0,154.0,150.0,154.0,152.0
38,38.0,3291.270713,151.0,153.0,149.0,152.0,155.0
39,39.0,3305.248987,153.0,151.0,154.0,152.0,156.0
40,40.0,3319.297646,153.0,153.0,151.0,156.0,152.0
41,41.0,3334.319486,154.0,153.0,152.0,157.0,150.0
42,42.0,3349.29644,150.0,155.0,153.0,156.0,151.0
43,43.0,3364.325026,154.0,154.0,156.0,152.0,154.0
44,44.0,3379.285049,157.0,156.0,153.0,156.0,153.0
45,45.0,3394.265596,154.0,152.0,150.0,156.0,157.0
46,46.0,3409.262507,153.0,154.0,152.0,158.0,153.0
47,47.0,3423.273078,156.0,154.0,153.0,155.0,153.0
48,48.0,3438.299763,152.0,151.0,152.0,150.0,151.0
49,49.0,3453.291899,152.0,149.0,153.0,151.0,150.0
50,50.0,3468.275946,153.0,152.0,151.0,157.0,153.0
51,51.0,3483.268094,152.0,152.0,151.0,153.0,152.0
52,52.0,3497.281636,156.0,154.0,151.0,155.0,152.0
53,53.0,3512.28391,154.0,154.0,153.0,155.0,151.0
54,54.0,3527.287525,152.0,149.0,154.0,150.0,153.0
55,55.0,3542.300025,154.0,154.0,153.0,155.0,152.0
56,56.0,3556.255958,155.0,153.0,151.0,151.0,155.0
57,57.0,3571.246266,153.0,155.0,153.0,152.0,154.0
58,58.0,3585.284473,150.0,156.0,154.0,151.0,151.0
59,59.0,0.283952,151.0,152.0,153.0,152.0,152.0
60,60.0,15.290319,150.0,153.0,151.0,153.0,150.0
61,61.0,30.303627,154.0,153.0,151.0,154.0,152.0
62,62.0,45.296821,153.0,154.0,152.0,151.0,152.0
