,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,278.97264,113.0,109.0,110.0,111.0,109.0
2,2.0,300.943721,108.0,110.0,108.0,108.0,110.0
3,3.0,322.895948,107.0,106.0,106.0,108.0,106.0
4,4.0,344.930752,107.0,109.0,111.0,106.0,108.0
5,5.0,366.919914,108.0,105.0,105.0,106.0,105.0
6,6.0,388.993819,105.0,105.0,106.0,105.0,105.0
7,7.0,410.973908,106.0,106.0,109.0,108.0,106.0
8,8.0,432.952747,108.0,106.0,106.0,106.0,108.0
9,9.0,455.004558,109.0,107.0,110.0,105.0,107.0
10,10.0,476.941584,108.0,107.0,105.0,108.0,107.0
11,11.0,498.927339,106.0,107.0,109.0,107.0,107.0
12,12.0,520.951907,108.0,107.0,107.0,106.0,107.0
13,13.0,542.94183,106.0,107.0,106.0,106.0,106.0
14,14.0,564.966025,108.0,106.0,108.0,105.0,108.0
15,15.0,587.00863,108.0,109.0,106.0,105.0,107.0
16,16.0,608.940602,105.0,107.0,107.0,106.0,107.0
17,17.0,630.987854,109.0,103.0,105.0,105.0,108.0
18,18.0,652.941555,107.0,106.0,107.0,107.0,107.0
19,19.0,674.913831,107.0,106.0,108.0,107.0,105.0
20,20.0,696.977242,106.0,107.0,107.0,109.0,109.0
21,21.0,718.944084,107.0,108.0,106.0,107.0,107.0
22,22.0,740.926945,107.0,106.0,111.0,107.0,109.0
23,23.0,762.988999,109.0,107.0,108.0,105.0,107.0
24,24.0,784.960215,109.0,106.0,107.0,108.0,107.0
25,25.0,806.944248,108.0,108.0,107.0,108.0,108.0
26,26.0,828.967434,107.0,105.0,109.0,106.0,108.0
27,27.0,850.920155,107.0,108.0,108.0,107.0,109.0
28,28.0,872.957675,106.0,108.0,105.0,107.0,107.0
29,29.0,894.927094,110.0,107.0,106.0,110.0,109.0
30,30.0,916.940349,109.0,104.0,107.0,109.0,108.0
31,31.0,938.940233,109.0,107.0,108.0,110.0,107.0
32,32.0,960.952104,108.0,109.0,106.0,108.0,107.0
33,33.0,982.953112,108.0,110.0,107.0,106.0,110.0
34,34.0,1004.915017,111.0,109.0,110.0,110.0,107.0
35,35.0,1026.949645,106.0,110.0,108.0,108.0,108.0
36,36.0,1048.937819,108.0,109.0,111.0,106.0,109.0
37,37.0,1070.934953,107.0,109.0,107.0,107.0,108.0
38,38.0,1093.00507,110.0,106.0,105.0,106.0,110.0
39,39.0,1114.953824,107.0,107.0,108.0,105.0,105.0
40,40.0,1136.924371,107.0,108.0,109.0,105.0,108.0
41,41.0,1158.916841,108.0,107.0,107.0,109.0,109.0
42,42.0,1180.95288,107.0,107.0,108.0,108.0,109.0
43,43.0,1202.971502,108.0,109.0,110.0,107.0,109.0
44,44.0,1224.954084,106.0,108.0,108.0,109.0,107.0
45,45.0,1246.918221,106.0,106.0,107.0,108.0,107.0
46,46.0,1268.954745,107.0,109.0,109.0,109.0,107.0
47,47.0,1290.969914,108.0,107.0,108.0,108.0,107.0
48,48.0,1312.966722,107.0,109.0,106.0,107.0,108.0
49,49.0,1334.930145,106.0,105.0,109.0,108.0,108.0
50,50.0,1356.952107,110.0,108.0,106.0,108.0,107.0
